"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","USD","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","-7160000000","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"2020-09-30","USD","69043000000","15208000000","None","1858000000","28606000000","31386000000","None","1059000000","24037000000","26266000000","8842000000","23338000000","3788000000","4480000000","10257000000","214000000","214000000","-18917000000","8620000000","17390000000","803000000","1682000000","251000000","5649000000","18349000000","5152000000","10043000000","None","None","24037000000","None","26266000000","-9873000000","None","None","None","3684000000","None","18349000000","None","18349000000","None","None","None","None","69043000000","4731000000","-9352000000","None"
"2020-06-30","USD","68776000000","15783000000","None","1842000000","29143000000","30578000000","None","907000000","23893000000","25669000000","8835000000","23082000000","3656000000","4763000000","10959000000","1495000000","1495000000","-18984000000","8343000000","17221000000","776000000","548000000","274000000","5140000000","18184000000","5202000000","9464000000","None","None","23893000000","None","25669000000","-9904000000","None","None","None","3571000000","None","18184000000","None","18184000000","None","None","None","None","68776000000","5037000000","-9031000000","None"
"2020-03-31","USD","66777000000","16265000000","None","1970000000","27612000000","30218000000","None","991000000","23731000000","25786000000","8738000000","22927000000","3463000000","3377000000","10808000000","1468000000","1468000000","-19299000000","7907000000","15498000000","790000000","-236000000","291000000","5292000000","16804000000","4568000000","9340000000","None","None","23731000000","None","25786000000","-9913000000","None","51214000000","None","3390000000","None","16804000000","None","16804000000","None","None","None","None","66777000000","3668000000","-8800000000","1781000000"
"2019-12-31","USD","67887000000","17025000000","None","1786000000","27524000000","31088000000","None","861000000","23853000000","25847000000","8307000000","23195000000","2443000000","3860000000","10863000000","1478000000","1478000000","-18612000000","8038000000","15667000000","883000000","-70000000","280000000","5425000000","16661000000","4316000000","9385000000","None","None","23853000000","None","25847000000","-10147000000","None","52220000000","None","3079000000","755000000","16661000000","3944000000","16661000000","None","None","None","None","67887000000","4140000000","-8761000000","1781000000"
"2019-09-30","USD","68539000000","17500000000","None","1942000000","36520000000","31817000000","None","729000000","23771000000","25440000000","7688000000","23046000000","2585000000","4091000000","10491000000","1458000000","1458000000","-7763000000","8706000000","16119000000","874000000","-8694000000","244000000","5450000000","17639000000","4392000000","3029000000","None","None","23771000000","None","25440000000","-9631000000","None","52455000000","None","52455000000","None","17639000000","None","26029000000","None","None","None","None","68539000000","4335000000","-8518000000","1784000000"
"2019-06-30","USD","68427000000","18091000000","None","179000000","36741000000","31686000000","None","728000000","23665000000","25045000000","7819000000","23329000000","2286000000","3137000000","9062000000","204000000","212000000","-7365000000","8675000000","15195000000","851000000","-9734000000","239000000","5548000000","18982000000","4352000000","3222000000","None","None","None","None","None","-9659000000","None","53232000000","None","53232000000","None","18982000000","None","27471000000","None","None","None","None","None","3376000000","None","1781000000"
"2019-03-31","USD","67610000000","18472000000","None","1718000000","27958000000","30925000000","None","932000000","23461000000","24613000000","7811000000","23209000000","2522000000","3022000000","9113000000","209000000","209000000","-17149000000","7626000000","14409000000","867000000","-2233000000","239000000","5345000000","18845000000","4085000000","8904000000","None","None","23461000000","None","24613000000","-9679000000","None","53201000000","None","3027000000","None","18845000000","None","18845000000","None","None","None","None","67610000000","3261000000","-8279000000","1777000000"
"2018-12-31","USD","67173000000","18942000000","None","1568000000","28371000000","30524000000","None","868000000","23512000000","24560000000","8080000000","23254000000","2192000000","3844000000","9012000000","207000000","7000000","-17548000000","7563000000","14632000000","897000000","-3592000000","242000000","5182000000","19359000000","3796000000","8805000000","None","None","23512000000","None","24560000000","None","None","17000000","None","1868000000","None","19359000000","None","19359000000","None","None","None","None","67173000000","4086000000","-8143000000","1770000000"
"2018-09-30","USD","71637000000","19477000000","None","1594000000","32060000000","30705000000","0","820000000","23428000000","24144000000","8407000000","23416000000","2479000000","7369000000","12776000000","4274000000","4063000000","-16867000000","7448000000","18196000000","971000000","-3509000000","181000000","5271000000","19284000000","3781000000","8502000000","0","0","23428000000","0","24144000000","-9858000000","None","19000000","None","2110000000","None","19284000000","None","19284000000","None","None","None","None","71637000000","7550000000","-8072000000","1772000000"
