"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","None","None","None","None","None","None","None","None","2162000000","None","None","None","None","None","None","None","None","None","0","None","None","None"
"2020-09-30","USD","17000000","0","-472000000","7000000","-1357000000","-1915000000","-11000000","247000000","1232000000","-321000000","2066000000","247000000","808000000","-639000000","81000000","149000000","-470000000","100000000","496000000","-470000000","None","-321000000"
"2020-06-30","USD","4000000","0","-619000000","19000000","1258000000","658000000","-11000000","164000000","537000000","1361000000","1322000000","164000000","825000000","-642000000","53000000","-550000000","231000000","115000000","642000000","231000000","None","1361000000"
"2020-03-31","USD","-36000000","0","-393000000","3000000","50000000","-735000000","-11000000","-369000000","564000000","-413000000","715000000","-369000000","828000000","-638000000","-147000000","-437000000","-104000000","233000000","360000000","-104000000","None","-413000000"
"2019-12-31","USD","-489000000","220000000","-489000000","4000000","-1128000000","-4289000000","-11000000","385000000","3687000000","16000000","2416000000","None","1078000000","-2270000000","-420000000","137000000","82000000","332000000","1638000000","None","None","None"
"2019-09-30","USD","-432000000","0","-1326000000","-122000000","10000000","-2104000000","-11000000","352000000","2638000000","247000000","3720000000","None","805000000","-1702000000","69000000","-190000000","-22000000","94000000","1204000000","None","None","None"
"2019-06-30","USD","-498000000","0","-894000000","-91000000","6000000","-1591000000","None","-392000000","1678000000","-707000000","1772000000","None","535000000","-1133000000","23000000","-254000000","-165000000","114000000","803000000","None","None","None"
"2019-03-31","USD","2000000","0","-396000000","-63000000","-487000000","-1142000000","None","-483000000","672000000","-826000000","712000000","-483000000","753000000","-565000000","-90000000","-286000000","-170000000","226000000","335000000","-170000000","None","-826000000"
"2018-12-31","USD","-35000000","533000000","-496000000","6000000","-4204000000","-4776000000","None","-585000000","654000000","-3507000000","1765000000","-459000000","763000000","-495000000","-77000000","-64000000","90000000","248000000","467000000","90000000","None","-3507000000"
"2018-09-30","USD","19000000","0","-323000000","12000000","2894000000","2471000000","22000000","981000000","563000000","4331000000","2183000000","981000000","813000000","-494000000","71000000","-114000000","-143000000","83000000","354000000","-143000000","None","4331000000"
"2018-06-30","USD","-37000000","0","-299000000","36000000","-1167000000","-1631000000","140000000","-191000000","733000000","-686000000","1244000000","-191000000","850000000","-494000000","30000000","-165000000","-84000000","101000000","298000000","-84000000","None","-721000000"
"2018-03-31","USD","-5000000","0","-238000000","42000000","-5973000000","-6455000000","6000000","-182000000","418000000","-5585000000","1108000000","-150000000","852000000","-491000000","9000000","-171000000","-53000000","212000000","275000000","-53000000","35000000","-5550000000"
"2017-12-31","USD","744000000","1764000000","-3152000000","-3551000000","998000000","-112000000","-13000000","109000000","-828000000","-1624000000","1640000000","-339000000","848000000","-464000000","-646000000","210000000","-207000000","23000000","345000000","-38000000","19000000","-1605000000"
"2017-09-30","USD","-17000000","0","-306000000","-26000000","-4000000","-386000000","-8000000","512000000","603000000","1313000000","2005000000","530000000","756000000","-463000000","81000000","166000000","169000000","63000000","263000000","-113000000","24000000","1337000000"
"2017-06-30","USD","226000000","0","-6000000","23000000","24000000","-384000000","-8000000","-51000000","283000000","961000000","1351000000","379000000","648000000","-462000000","54000000","35000000","56000000","92000000","255000000","-86000000","8000000","969000000"
"2017-03-31","USD","1670000000","1764000000","-6154000000","-7552000000","-3960000000","-4399000000","-13000000","101000000","419000000","-9979000000","574000000","493000000","774000000","-460000000","34000000","-162000000","30000000","-980000000","272000000","30000000","65000000","-9914000000"
"2016-12-31","USD","1868000000","-1351000000","1550000000","1000000","13848000000","13504000000","-195000000","113000000","798000000","16224000000","1170000000","1200000000","484000000","-386000000","42000000","54000000","-177000000","46000000","319000000","-61000000","-104000000","16120000000"
"2016-09-30","USD","-182000000","-1351000000","-554000000","-60000000","-398000000","-746000000","-13000000","175000000","-329000000","-78000000","1217000000","175000000","340000000","-384000000","74000000","-3000000","116000000","1000000000","312000000","34000000","5000000","-78000000"
"2016-06-30","USD","-1246000000","-1351000000","-1470000000","23000000","163000000","-179000000","-13000000","85000000","615000000","-740000000","909000000","85000000","347000000","-384000000","42000000","-54000000","150000000","62000000","247000000","-146000000","-16000000","-756000000"
"2016-03-31","USD","446000000","-1351000000","226000000","23000000","-590000000","-1432000000","-25000000","-1261000000","316000000","-1299000000","-93000000","-1261000000","347000000","-385000000","-432000000","-95000000","4000000","604000000","243000000","-4000000","-368000000","-1667000000"
"2015-12-31","USD","1805000000","215000000","1566000000","9000000","717000000","-497000000","-17000000","57000000","767000000","1897000000","828000000","-496000000","366000000","-360000000","-837000000","-44000000","-171000000","40000000","248000000","-20000000","-28000000","1869000000"
