"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","10701000000","8269000000","4493000000","6208000000","3023000000","2162000000","698000000","None","2388000000","None","2570000000","None","2432000000","None","127000000","230000000","-122000000","-127000000","4000000","None","None","230000000","83000000","4000000","2158000000","2162000000","None"
"2020-09-30","USD","8853000000","3392000000","3966000000","4887000000","1558000000","1232000000","580000000","None","1421000000","209000000","2302000000","63000000","1495000000","510000000","137000000","189000000","-120000000","-127000000","None","None","None","189000000","53000000","4000000","1232000000","1232000000","None"
"2020-06-30","USD","7328000000","3393000000","3263000000","4065000000","1484000000","537000000","564000000","None","526000000","220000000","2276000000","-12000000","672000000","553000000","134000000","-11000000","9000000","-125000000","None","None","None","-11000000","-21000000","4000000","537000000","537000000","None"
"2020-03-31","USD","7726000000","3687000000","3281000000","4445000000","1605000000","564000000","578000000","None","633000000","209000000","2548000000","14000000","758000000","561000000","139000000","89000000","18000000","-121000000","20000000","None","None","89000000","-4000000","20000000","544000000","564000000","None"
"2019-12-31","USD","8314000000","6925000000","3434000000","4880000000","2221000000","1049000000","595000000","None","1240000000","213000000","2413000000","None","1326000000","None","164000000","199000000","-137000000","-139000000","8000000","None","None","191000000","-10000000","20000000","1049000000","1044000000","None"
"2019-09-30","USD","8076000000","6878000000","3358000000","4718000000","2031000000","960000000","596000000","None","1103000000","202000000","2440000000","72000000","1198000000","484000000","167000000","143000000","24000000","-143000000","None","None","None","143000000","48000000","20000000","960000000","954000000","None"
"2019-06-30","USD","7979000000","6773000000","3279000000","4700000000","2017000000","1006000000","577000000","None","1102000000","208000000","2434000000","None","1206000000","None","168000000","96000000","-142000000","-146000000","None","None","None","96000000","42000000","20000000","1006000000","1006000000","None"
"2019-03-31","USD","7535000000","3636000000","3160000000","4375000000","1562000000","672000000","672000000","None","632000000","204000000","2478000000","64000000","739000000","486000000","171000000","-40000000","23000000","-148000000","78000000","None","None","-40000000","41000000","None","672000000","672000000","None"
"2018-12-31","USD","7765000000","3409000000","3191000000","4574000000","2008000000","654000000","562000000","0","947000000","198000000","2359000000","-32000000","1165000000","488000000","186000000","None","None","None","0","0","0","292000000","-275000000","-1000000","655000000","654000000","None"
"2018-09-30","USD","7656000000","3495000000","3166000000","4490000000","1812000000","563000000","574000000","0","718000000","193000000","2377000000","-74000000","995000000","544000000","203000000","None","None","None","0","0","0","166000000","-277000000","11000000","552000000","563000000","None"
"2018-06-30","USD","7767000000","3603000000","3282000000","4485000000","1831000000","733000000","575000000","0","777000000","197000000","2466000000","105000000","882000000","562000000","210000000","None","None","None","0","0","0","59000000","-105000000","15000000","718000000","733000000","None"
"2018-03-31","USD","7390000000","3715000000","3067000000","4323000000","1521000000","418000000","589000000","0","431000000","7000000","2542000000","50000000","608000000","584000000","227000000","None","None","None","0","0","0","22000000","-254000000","9000000","409000000","418000000","None"
"2017-12-31","USD","7589000000","3635000000","3263000000","4326000000","1663000000","-828000000","613000000","0","574000000","9000000","2462000000","129000000","691000000","560000000","246000000","None","None","None","0","0","0","1438000000","-709000000","36000000","-864000000","-828000000","None"
"2017-09-30","USD","6829000000","3162000000","2857000000","3972000000","1594000000","603000000","562000000","0","626000000","8000000","2099000000","34000000","810000000","501000000","218000000","None","None","None","0","0","0","65000000","0","42000000","561000000","603000000","None"
"2017-06-30","USD","6637000000","3037000000","3173000000","3464000000","1145000000","283000000","513000000","0","295000000","5000000","2132000000","82000000","427000000","392000000","214000000","None","None","None","0","0","0","25000000","0","13000000","270000000","283000000","None"
"2017-03-31","USD","6335000000","3493000000","3044000000","3291000000","1720000000","419000000","547000000","0","736000000","3000000","2424000000","1164000000","-202000000","522000000","226000000","None","None","None","0","0","0","350000000","0","33000000","386000000","419000000","None"
"2016-12-31","USD","5333000000","2361000000","2312000000","3021000000","1028000000","798000000","343000000","0","875000000","7000000","1609000000","80000000","948000000","409000000","153000000","None","None","None","0","0","0","110000000","-1864000000","33000000","765000000","798000000","None"
"2016-09-30","USD","5302000000","2120000000","2285000000","3017000000","-62000000","-329000000","352000000","0","-179000000","5000000","1628000000","-959000000","897000000","140000000","117000000","None","None","None","0","0","0","178000000","0","28000000","-357000000","-329000000","None"
"2016-06-30","USD","5333000000","2230000000","2287000000","3046000000","818000000","615000000","348000000","0","715000000","4000000","1737000000","2000000","816000000","145000000","103000000","None","None","None","0","0","0","116000000","0","16000000","599000000","615000000","None"
"2016-03-31","USD","4885000000","1933000000","2140000000","2745000000","60000000","316000000","379000000","0","2000000","4000000","1698000000","-464000000","524000000","-144000000","58000000","None","None","None","0","0","0","-54000000","0","260000000","56000000","316000000","None"
"2015-12-31","USD","3451000000","2167000000","2206000000","1245000000","871000000","767000000","369000000","0","830000000","5000000","1655000000","56000000","815000000","143000000","41000000","None","None","None","0","0","0","135000000","221000000","1809000000","695000000","767000000","None"
