"date","open","high","low","close","volume"
"2021-02-05","123.2400","124.8200","118.7900","124.0300","30730468"
"2021-01-29","113.0600","124.7200","113.0100","123.5900","40228160"
"2021-01-22","111.7400","113.5400","110.2600","112.8400","18964626"
"2021-01-15","111.2100","112.9000","108.2500","111.3000","23869178"
"2021-01-08","109.5300","112.5500","107.2551","111.6100","25866019"
"2020-12-31","108.9600","109.6400","107.2600","109.4900","10265280"
"2020-12-24","107.5600","109.6792","105.3700","108.3500","12572105"
"2020-12-18","107.5000","109.6100","106.4000","108.9700","30559685"
"2020-12-11","107.7200","108.3000","105.3200","107.0200","28861665"
"2020-12-04","107.7700","109.6000","106.9300","107.9000","21804525"
"2020-11-27","111.4300","111.5200","105.6300","107.6200","19441728"
"2020-11-20","112.0500","114.6200","109.2600","110.8900","20107056"
"2020-11-13","111.8000","113.2100","106.1900","112.6000","29964974"
"2020-11-06","107.0900","115.1400","106.1100","114.4200","27982744"
"2020-10-30","107.5700","109.7495","103.1300","105.1100","27593208"
"2020-10-23","109.9000","111.0350","104.7548","107.7900","22345319"
"2020-10-16","110.2500","111.5700","106.3100","109.6700","21050030"
"2020-10-09","107.1800","109.9700","106.0500","109.6500","18988022"
"2020-10-02","104.2400","110.3300","103.8200","106.5000","32305810"
"2020-09-25","105.8000","106.4600","100.3400","103.4500","25444550"
"2020-09-18","105.5900","107.9900","104.3922","106.8600","23629664"
"2020-09-11","103.1700","106.9299","102.4300","104.7000","17965287"
"2020-09-04","110.7000","111.7400","102.4200","104.1600","31879509"
"2020-08-28","102.7000","114.1950","100.7000","110.7900","62331245"
"2020-08-21","100.3000","102.5400","99.7500","102.4000","18276757"
"2020-08-14","100.9400","101.2693","98.6700","99.9900","15961064"
"2020-08-07","101.0800","102.3600","99.2800","101.2300","17902669"
"2020-07-31","98.5500","102.8931","98.4111","100.6400","20357719"
"2020-07-24","100.0000","101.9800","97.7600","98.9500","25842515"
"2020-07-17","93.1400","100.0000","91.7100","99.2500","30477487"
"2020-07-10","92.7600","94.8800","91.5000","93.0400","20622366"
"2020-07-02","89.5800","93.0600","88.0900","92.2300","17128927"
"2020-06-26","90.3300","92.3000","86.1600","88.7100","29671816"
"2020-06-19","87.5200","92.4000","87.0500","90.6800","31519603"
"2020-06-12","88.9800","92.8200","86.9400","89.0200","29866515"
"2020-06-05","92.9500","93.9600","87.3200","89.8600","40883120"
"2020-05-29","92.9500","95.5900","88.1700","94.9200","27118202"
"2020-05-22","91.9000","93.0000","88.0300","91.4700","34190150"
"2020-05-15","93.2200","96.6800","88.7900","89.8900","46004798"
"2020-05-08","89.7900","94.9400","88.7100","93.7000","29444099"
"2020-05-01","95.4800","95.9000","88.7500","89.8500","36501303"
"2020-04-24","94.8200","100.0000","92.7800","94.0600","57165080"
"2020-04-17","86.3200","97.7500","83.5200","96.0100","73562025"
"2020-04-09","81.0800","86.5000","79.6100","86.0400","42953971"
"2020-04-03","82.8300","84.4000","75.3500","79.4500","102397670"
"2020-03-27","67.0700","77.5000","61.6100","74.5600","52122749"
"2020-03-20","70.6500","81.9900","67.9500","68.0000","74786869"
"2020-03-13","76.6100","82.6700","72.0100","81.6500","63063146"
"2020-03-06","77.8800","83.5000","77.2500","81.7400","49588310"
"2020-02-28","85.4500","85.6700","74.0200","77.0300","45277296"
"2020-02-21","89.4200","89.9300","87.1600","87.4500","17185533"
"2020-02-14","87.2100","89.7100","87.2100","89.6600","18639331"
"2020-02-07","87.7800","90.0800","86.7500","87.8700","20888275"
