"date","open","high","low","close","volume"
"2021-02-05","4.2500","5.4200","3.8600","5.2700","31341523"
"2021-01-29","4.0900","5.0600","3.8200","3.9400","8859514"
"2020-12-31","4.4100","5.2500","4.0000","4.0900","8080044"
"2020-11-30","5.2400","5.7600","3.8800","4.4400","6394936"
"2020-10-30","4.9100","5.7000","4.6600","5.1600","3560139"
"2020-09-30","5.1200","6.4739","4.3201","4.8600","8653436"
"2020-08-31","5.3100","5.9400","4.8700","5.1400","4346284"
"2020-07-31","5.6000","6.5100","5.0700","5.2800","7555703"
"2020-06-30","4.8200","7.3996","4.7200","5.5400","13000922"
"2020-05-29","3.6600","5.3500","3.5600","4.8000","5679686"
"2020-04-30","3.1200","4.2800","2.8600","3.7300","3433406"
"2020-03-31","4.7700","5.0900","2.2900","3.2800","6595904"
"2020-02-28","6.2700","7.0100","4.3500","4.7300","15181445"
"2020-01-31","4.5100","10.4200","4.1000","6.2800","62964579"
"2019-12-31","2.7200","5.4900","2.6100","4.5200","6895616"
"2019-11-29","3.0400","3.3200","2.6900","2.7400","1631001"
"2019-10-31","4.1900","4.2400","2.7875","3.0300","1910510"
"2019-09-30","3.3100","4.6100","2.8800","4.1600","5635551"
"2019-08-30","3.8800","4.0400","2.5200","3.1600","2416682"
"2019-07-31","3.8000","4.1900","3.5500","3.8600","1505942"
"2019-06-28","3.7300","4.1602","3.5600","3.7900","772240"
"2019-05-31","4.4300","4.6100","3.5400","3.6500","950690"
"2019-04-30","4.2700","4.9500","4.1800","4.4700","1351895"
"2019-03-29","3.8300","4.7400","3.7700","4.1900","2824542"
"2019-02-28","2.9900","4.0500","2.9100","3.8000","1266360"
"2019-01-31","2.4500","3.2500","2.3900","2.9600","2090742"
"2018-12-31","6.5800","6.8700","2.2600","2.4900","5384486"
"2018-11-30","6.3300","7.4800","6.2000","6.4900","1700740"
"2018-10-31","7.3000","7.5000","6.0800","6.2800","2971418"
"2018-09-28","4.4000","7.5000","3.8500","7.3000","5685734"
"2018-08-31","4.0000","4.6500","3.9000","4.4500","1640727"
"2018-07-31","3.7000","4.5000","3.7000","4.0000","2078646"
"2018-06-29","4.5000","5.1000","3.7000","3.7000","2040872"
"2018-05-31","4.4500","5.7500","4.0500","4.5000","1971657"
"2018-04-30","3.7500","5.5000","3.6000","4.5750","2149203"
"2018-03-29","3.9000","5.0000","3.7500","3.8500","1966112"
"2018-02-28","4.9000","4.9000","3.6000","3.8500","1717484"
"2018-01-31","3.6000","5.5050","3.5500","4.9500","2614847"
"2017-12-29","3.7000","4.0000","3.4500","3.6000","2257370"
"2017-11-30","3.4000","4.0750","3.2500","3.7500","1799556"
"2017-10-31","4.0000","4.2500","3.4000","3.4000","2803746"
"2017-09-29","4.5500","5.1000","3.5000","3.9500","5167773"
"2017-08-31","4.7500","5.3000","4.5000","4.6000","2719925"
"2017-07-31","5.1000","5.3000","4.6000","4.7500","3221515"
"2017-06-30","5.1500","6.0500","4.7000","5.1000","5748592"
"2017-05-31","5.6000","6.0500","5.0000","5.2000","2974052"
"2017-04-28","6.9500","7.0500","5.4500","5.6000","3109808"
"2017-03-31","7.9000","8.4000","6.5000","6.9000","3248364"
"2017-02-28","7.4000","8.3000","6.0750","7.7500","4434288"
"2017-01-31","9.4500","10.1500","7.1000","7.2500","2331868"
"2016-12-30","9.2000","10.1500","8.5500","9.3500","2610231"
"2016-11-30","7.1500","10.8500","6.3500","9.2000","3472506"
"2016-10-31","9.7200","10.3300","7.1000","7.1500","3998914"
"2016-09-30","12.8200","13.3500","8.5000","9.7800","7835329"
"2016-08-31","15.1000","17.0000","12.6300","12.7800","1671562"
"2016-07-29","14.1700","16.5700","14.1700","15.0300","1607383"
"2016-06-30","17.1200","17.4100","12.7600","14.1300","2806858"
"2016-05-31","15.7500","17.2450","13.3400","17.2000","2152881"
"2016-04-29","13.7300","19.8600","13.5300","15.7100","2594240"
"2016-03-31","13.3200","15.1600","12.8155","13.9800","3151623"
"2016-02-29","14.5800","15.6200","11.1350","13.2700","2721639"
"2016-01-29","20.0700","20.1300","13.6500","14.6100","3099957"
"2015-12-31","17.0600","21.4300","15.3800","20.4000","5067980"
"2015-11-30","12.0000","17.2500","10.8900","17.0400","2972550"
"2015-10-30","13.0500","14.2000","11.7200","12.0000","2729129"
"2015-09-30","16.0900","17.2300","12.4300","13.1400","3252550"
"2015-08-31","18.8200","19.0000","14.4500","16.4300","2172743"
"2015-07-31","15.6000","20.1000","15.5300","18.4600","6480539"
"2015-06-30","20.0000","20.1500","14.4000","15.3400","1675454"
"2015-05-29","19.1600","20.2300","15.6100","20.0500","2120057"
"2015-04-30","19.9900","22.9900","18.3101","19.1400","1926980"
"2015-03-31","20.2299","23.0700","19.3000","19.9900","1149717"
"2015-02-27","25.1800","25.4200","20.2200","20.2900","1775394"
"2015-01-30","21.0600","25.1100","19.2600","24.9800","2331546"
"2014-12-31","19.6600","22.2400","19.1500","21.0200","1149605"
"2014-11-28","20.0800","28.2400","19.2600","20.1900","1345177"
"2014-10-31","18.5000","20.9910","16.2000","20.1000","1494945"
"2014-09-30","17.0800","19.4620","15.1100","18.6100","1347738"
"2014-08-29","16.0500","21.6500","14.6950","17.1000","984300"
"2014-07-31","22.9700","25.4600","14.9100","16.0000","2032000"
"2014-06-30","13.6600","34.3700","13.6600","23.1000","2558400"
"2014-05-30","11.6310","13.7400","11.1000","13.7000","293700"
"2014-04-30","15.1800","18.3900","11.1701","12.5300","1233000"
