"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-09-30","USD","85615000","1136000","None","1984000","29413000","56202000","None","1112000","25000","-196820000","2718000","None","151000","31570000","13012000","None","None","-211000","4314000","68541000","8067000","55066000","34987000","None","9759000","None","11900000","None","None","25000","None","-196820000","None","None","3557000","None","17074000","5036000","9759000","6642000","16401000","None","None","None","253208000","85615000","66557000","None","25860000"
"2020-06-30","USD","100319000","1098000","None","1000000","29303000","71016000","None","1106000","25000","-181440000","2555000","None","348000","38463000","12963000","None","None","-88000","7813000","82964000","8096000","69918000","41995000","0","9677000","None","1355000","None","None","25000","None","-181440000","None","None","348000","None","17355000","5214000","9677000","2555000","16340000","None","None","None","252519000","100319000","80458000","None","25793000"
"2020-03-31","USD","105104000","1176000","None","2942000","20285000","84819000","None","1101000","25000","-166937000","2357000","None","544000","58491000","13548000","None","None","-88000","4216000","87459000","8115000","83643000","26026000","None","None","None","12447000","None","None","25000","None","-166937000","-88000","None","4138000","None","17645000","5481000","51000","6737000","6737000","None","None","None","251819000","105104000","84517000","None","25764000"
"2019-12-31","USD","82251000","1127000","None","1993000","22212000","60039000","None","705000","18000","-155748000","2336000","None","6741000","18076000","14931000","None","None","-88000","4053000","64717000","1930000","58912000","44479000","169000","None","None","14226000","None","None","18000","None","-155748000","-88000","None","10424000","None","17534000","5650000","63000","7281000","7281000","None","None","None","215857000","82251000","62555000","None","18219000"
"2019-09-30","USD","84625000","1062000","None","2054000","16652000","67973000","None","687000","18000","-147125000","2315000","None","544000","16272000","9210000","None","None","-88000","4137000","73178000","1936000","66911000","54839000","13000","None","None","8523000","None","None","18000","None","-147125000","-88000","None","4312000","None","11447000","5814000","75000","7442000","7442000","None","None","None","215168000","84625000","71111000","None","18218000"
"2019-06-30","USD","92216000","1013000","None","2276000","13507000","78709000","None","None","18000","-135548000","4152000","None","544000","26703000","9355000","None","None","-85000","4430000","84284000","1945000","77696000","55292000","13000","None","None","9355000","None","None","18000","None","-135548000","-85000","None","544000","None","7932000","None","None","4152000","4152000","None","None","None","214324000","92216000","81995000","None","18207000"
"2019-03-31","USD","100915000","994000","None","3942000","12613000","88302000","None","None","18000","-125034000","4139000","None","1260000","21570000","8474000","None","None","-77000","4500000","92209000","1952000","88302000","69617000","1286000","None","None","12613000","None","None","18000","None","-125034000","-77000","None","1260000","None","4500000","None","None","4139000","4139000","None","None","None","213395000","100915000","91187000","None","18168000"
"2018-12-31","USD","108103000","954000","None","3913000","32128000","75975000","None","20432000","18000","-136523000","11940000","None","1260000","23978000","20188000","None","None","-70000","4778000","99150000","1961000","75975000","74058000","1376000","None","None","11696000","None","None","18000","None","-136523000","-70000","None","None","None","4778000","None","None","None","None","None","None","None","212550000","108103000","98036000","None","18164000"
"2018-09-30","USD","117328000","949000","None","2527000","38389000","78939000","0","16319000","18000","-132342000","13364000","0","1205000","26472000","25025000","None","None","-57000","5016000","108186000","1972000","77990000","78968000","219000","0","0","8706000","0","0","18000","0","-132342000","-57000","None","1205000","None","9142000","None","None","13364000","13364000","None","None","None","211320000","117328000","105440000","None","18130000"
"2018-06-30","USD","118532000","968000","None","4009000","19350000","99182000","610000","6295000","18000","-110926000","4955000","0","1206000","31065000","14395000","None","None","None","5254000","109124000","1980000","98214000","73840000","210000","0","0","8100000","0","0","18000","0","-110926000","-49000","None","1206000","None","9408000","None","None","4345000","4955000","None","None","None","210139000","118532000","104905000","None","18126425"
