"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-09-30","USD","16000000","684000","6244000","-9102000","-129000","-220000","-134000","974000","-15380000","-6893000","-12917000","637000","467000","None","43000","None","None","675000","654000","None","None","-6893000"
"2020-06-30","USD","9000000","-938000","-16012000","-24881000","9847000","9750000","-12000","959000","-14503000","-20028000","-13766000","607000","423000","None","-63000","None","0","645000","131000","None","None","-20028000"
"2020-03-31","USD","19000000","2105000","14011000","-4611000","-11000","35222000","-33000","76000","-11189000","40415000","-8818000","-1030000","242000","None","35233000","None","169000","885000","378000","169000","None","40415000"
"2019-12-31","USD","23000000","1755000","10136000","-12674000","-11000","-11000","-3000","1171000","-8623000","1804000","-8321000","-2214000","222000","None","34000","None","-156000","695000","190000","-156000","None","1804000"
"2019-09-30","USD","17500000","-257000","264000","-16992000","-11000","20000","-3000","-366000","-11577000","-10431000","-10715000","150000","149000","None","34000","None","0","820000","244000","None","None","-10431000"
"2019-06-30","USD","22500000","611000","12503000","-9915000","-13000","167000","-36000","2122000","-10514000","5133000","-7537000","1334000","104000","None","216000","None","113000","815000","82000","113000","None","5133000"
"2019-03-31","USD","25000000","951000","4577000","-20423000","-13000","-41000","-168000","1176000","11489000","-2408000","-6944000","-20422000","93000","None","-28000","None","90000","855000","229000","90000","None","-2408000"
"2018-12-31","USD","21883000","-1268000","6997000","-14846000","-13000","68000","-55000","-335000","-4181000","-2494000","-9559000","-5425000","107000","None","81000","None","-8000","1216000","40000","-8000","None","-2494000"
"2018-09-30","USD","24736000","637000","-5050000","-29745000","-13000","-126000","-113000","-724000","1200000","-4593000","583000","-2244000","179000","0","-113000","0","-9000","820000","41000","-9000","None","-4593000"
"2018-06-30","USD","12717000","-1611000","-9735000","-22444000","-14000","-90000","-85000","1004000","-6612000","-16568000","-6743000","43000","265000","0","-76000","0","-77000","1249000","8000","-77000","None","-16568000"
"2018-03-31","USD","29895000","-1021000","-15404000","-44779000","-11000","-31000","-17000","1339000","-8101000","-22712000","-7277000","-199000","308000","0","-20000","0","70000","1666000","520000","70000","None","-22712000"
"2017-12-31","USD","31481000","-4601000","31477000","0","-18000","-17000","-17000","-1173000","-5190000","21611000","-9849000","-1739000","371000","0","1000","0","-21000","1331000","4000","-21000","None","21611000"
"2017-09-30","USD","26807000","-9023000","26677000","0","-18000","2000","-17000","-747000","-1397000","18028000","-8651000","-8000","316000","0","2000","0","0","1469000","130000","-8000","None","18028000"
"2017-06-30","USD","22423000","-7824000","5199000","-17045000","-43000","1000","-102000","-592000","-4479000","-4794000","-9994000","485000","657000","0","1000","0","780000","1172000","179000","-5000","None","-4794000"
"2017-03-31","USD","14552000","-7603000","1217000","-13338000","-18000","3000","None","-1281000","-820000","-6999000","-8219000","-1497000","223000","0","3000","0","785000","1569000","3000","-91000","None","-6999000"
"2016-12-31","USD","28911000","-10845000","-6493000","-34862000","None","5000","None","290000","2081000","-13481000","-6993000","90000","233000","0","5000","0","876000","1492000","542000","-44000","None","-13481000"
"2016-09-30","USD","35358000","-12643000","32888000","-2449000","None","19000","None","None","3625000","27112000","-5795000","682000","201000","0","19000","0","920000","1420000","21000","920000","None","27112000"
"2016-06-30","USD","78544000","-11433000","18335000","-59977000","-43000","48000","-102000","1501000","2728000","10984000","-7399000","-345000","192000","0","48000","0","409000","1402000","232000","57000","None","10984000"
"2016-03-31","USD","11080000","-11110000","-18664000","-27611000","None","19446000","None","None","1969000","-26518000","-7854000","107000","179000","0","19211000","0","352000","1116000","2133000","-115000","None","-26518000"
"2015-12-31","USD","7314000","-18709000","-87378000","-94586000","None","235000","None","None","3045000","-95858000","-8715000","5017000","99000","0","235000","0","467000","1366000","106000","467000","None","-95858000"
"2015-09-30","USD","13030000","108119000","-13097000","-26127000","None","19211000","None","None","-9123000","101073000","94959000","-5257000","97000","0","19211000","0","0","1123000","0","None","None","101073000"
