"date","open","high","low","close","volume"
"2021-02-05","4.2500","5.4200","3.8600","5.2700","31341523"
"2021-01-29","4.8200","5.0600","3.8200","3.9400","6203030"
"2021-01-22","4.6100","4.8200","4.5100","4.7400","713661"
"2021-01-15","4.4700","4.7200","4.4000","4.5300","778220"
"2021-01-08","4.0900","4.7500","4.0300","4.5400","1164603"
"2020-12-31","4.6700","4.6700","4.0000","4.0900","1000165"
"2020-12-24","4.6300","4.9150","4.4860","4.5900","973769"
"2020-12-18","4.7400","4.8800","4.5600","4.6400","1165871"
"2020-12-11","4.7600","4.7900","4.0900","4.6700","1954789"
"2020-12-04","4.3600","5.2500","4.2400","4.6900","3256095"
"2020-11-27","4.1500","4.4200","4.0600","4.3400","1198415"
"2020-11-20","5.0700","5.0850","3.8800","3.9900","2797904"
"2020-11-13","5.2900","5.7600","4.9200","4.9600","961196"
"2020-11-06","5.2400","5.7200","5.0100","5.2700","1166776"
"2020-10-30","5.4400","5.4600","4.9600","5.1600","466734"
"2020-10-23","5.4900","5.6400","5.2100","5.4600","531935"
"2020-10-16","5.5400","5.7000","5.2400","5.4400","720170"
"2020-10-09","4.9800","5.7000","4.9400","5.5500","1187704"
"2020-10-02","4.9100","5.1500","4.6600","4.9200","1222667"
"2020-09-25","5.4400","5.4800","4.5750","4.8700","814971"
"2020-09-18","4.5500","5.5600","4.3201","5.4900","1856636"
"2020-09-11","5.8500","6.2900","4.4800","4.5500","2657690"
"2020-09-04","5.1500","6.4739","4.9400","5.8600","2891029"
"2020-08-28","5.6000","5.6429","4.8700","5.1700","618374"
"2020-08-21","5.8000","5.9200","5.3900","5.5300","1685722"
"2020-08-14","5.5700","5.9400","5.4100","5.7700","926016"
"2020-08-07","5.3100","5.5900","5.2400","5.5200","980211"
"2020-07-31","5.8400","5.9899","5.0700","5.2800","1150152"
"2020-07-24","5.9500","6.3100","5.6000","5.8200","1532351"
"2020-07-17","5.9300","6.1000","5.3300","5.9600","1331700"
"2020-07-10","6.4800","6.5100","5.5400","5.8400","1990600"
"2020-07-02","6.1500","6.5100","5.3700","6.4300","2592200"
"2020-06-26","6.3100","7.3996","5.8100","6.1900","5842556"
"2020-06-19","5.0100","6.2400","4.8900","6.1600","1746002"
"2020-06-12","5.3000","5.7600","4.8000","5.0200","2818196"
"2020-06-05","4.8200","5.4400","4.7200","5.2200","1552868"
"2020-05-29","4.7100","5.3500","4.6000","4.8000","1647461"
"2020-05-22","4.2000","4.6001","4.1000","4.6000","1163168"
"2020-05-15","4.0500","4.9600","4.0500","4.1000","1747757"
"2020-05-08","3.9300","4.3400","3.8700","4.0800","842305"
"2020-05-01","3.9800","4.2000","3.5600","3.9500","1157631"
"2020-04-24","4.1100","4.1700","3.8498","3.8900","637055"
"2020-04-17","3.7000","4.2800","3.5700","4.0500","791976"
"2020-04-09","3.1000","3.7065","3.1000","3.6250","606777"
"2020-04-03","3.3400","3.4000","2.8600","3.0000","829893"
"2020-03-27","3.0000","3.7599","2.8040","3.3300","1164738"
"2020-03-20","2.8000","3.5800","2.2900","2.9100","1712489"
"2020-03-13","4.0000","4.8000","2.9400","3.1300","1642458"
"2020-03-06","4.7700","5.0900","4.1100","4.2800","1765288"
"2020-02-28","5.2800","5.2964","4.3500","4.7300","2471802"
"2020-02-21","5.2800","5.7500","5.2500","5.3500","4304912"
"2020-02-14","5.1400","5.3250","4.8400","5.1200","3048124"
"2020-02-07","6.2700","7.0100","4.9900","5.0000","5356607"
"2020-01-31","7.1100","8.4500","6.2271","6.2800","2632051"
"2020-01-24","8.0200","10.4200","6.5122","7.4000","6730469"
"2020-01-17","8.0300","8.6300","7.3600","8.1600","4008559"
"2020-01-10","4.2200","9.5000","4.1100","7.8400","49173985"
"2020-01-03","4.7200","4.8473","4.1000","4.1800","962864"
"2019-12-27","3.7600","5.4900","3.7600","4.7400","2677157"
"2019-12-20","2.8000","3.9900","2.7000","3.8400","2523355"
"2019-12-13","2.9000","2.9700","2.6500","2.7500","487205"
"2019-12-06","2.7200","3.0800","2.6100","2.8700","664550"
"2019-11-29","2.6900","2.8500","2.6900","2.7400","286484"
"2019-11-22","2.8000","3.0500","2.7000","2.7300","412831"
"2019-11-15","3.2300","3.2300","2.7300","2.7700","461228"
"2019-11-08","3.0100","3.3200","2.8800","3.0800","426776"
"2019-11-01","2.8800","3.1000","2.7875","3.0400","221655"
"2019-10-25","3.0100","3.1300","2.8000","2.8600","354392"
"2019-10-18","3.0700","3.3400","2.9100","3.0800","396422"
"2019-10-11","3.5300","3.6600","3.0500","3.0600","448589"
"2019-10-04","4.0000","4.2400","3.5200","3.5300","984767"
"2019-09-27","3.4900","4.6100","3.2700","3.9900","3623482"
"2019-09-20","3.7100","3.9200","3.3500","3.4200","370891"
"2019-09-13","3.8700","4.0300","3.3800","3.6800","678345"
"2019-09-06","3.3100","3.9000","2.8800","3.7600","511200"
"2019-08-30","2.8800","3.2300","2.5200","3.1600","505894"
"2019-08-23","3.1000","3.2400","2.8500","2.8800","444019"
"2019-08-16","3.7500","3.8500","2.7507","3.0800","981427"
"2019-08-09","3.9600","4.0000","3.6800","3.8300","393688"
"2019-08-02","3.9200","4.1900","3.8500","3.9500","209243"
"2019-07-26","3.9800","4.1600","3.8600","3.9500","451625"
"2019-07-19","3.6700","4.0742","3.6700","3.8800","527201"
"2019-07-12","3.8200","3.9809","3.6500","3.6700","243224"
"2019-07-05","3.8000","3.8390","3.5500","3.7800","166303"
"2019-06-28","3.8800","3.8900","3.6400","3.7900","144139"
"2019-06-21","3.9600","4.1602","3.7600","3.8000","283168"
"2019-06-14","3.6400","3.9000","3.6157","3.8800","150953"
"2019-06-07","3.7300","3.8800","3.5600","3.6300","193980"
"2019-05-31","3.9600","3.9600","3.6072","3.6500","278464"
"2019-05-24","3.8800","4.0900","3.6000","3.8000","193741"
"2019-05-17","4.1000","4.2300","3.5400","3.8200","232293"
"2019-05-10","4.3000","4.4800","4.0557","4.0800","170728"
"2019-05-03","4.5400","4.6100","4.0100","4.3000","154306"
