"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","USD","8962000000","229000000","None","875000000","2924000000","5837000000","None","75000000","12000000","-4605000000","177000000","289000000","1618000000","1658000000","2417000000","None","None","17000000","641000000","6143000000","63000000","6038000000","695000000","3694000000","330000000","1399000000","2342000000","None","None","12000000","None","-4605000000","-131000000","None","373000000","None","641000000","201000000","330000000","177000000","507000000","None","None","None","10544000000","8962000000","2353000000","None","1211000000"
"2020-09-30","USD","7023000000","194000000","None","299000000","2951000000","3867000000","None","72000000","12000000","-6386000000","161000000","289000000","170000000","1296000000","2417000000","None","None","5000000","595000000","5500000000","60000000","3783000000","475000000","2138000000","373000000","1292000000","2345000000","None","None","12000000","None","-6386000000","-126000000","None","579000000","None","1523000000","205000000","373000000","161000000","534000000","None","None","None","10362000000","7023000000","1771000000","None","1202000000"
"2020-06-30","USD","6583000000","174000000","None","211000000","3074000000","3305000000","None","68000000","12000000","-6776000000","150000000","289000000","152000000","1775000000","2434000000","200000000","200000000","-4000000","585000000","5109000000","59000000","3220000000","0","1799000000","490000000","1324000000","2166000000","None","None","12000000","None","-6776000000","-54000000","None","541000000","None","1474000000","204000000","490000000","150000000","640000000","None","None","None","10127000000","6583000000","1775000000","None","1174000000"
"2020-03-31","USD","5864000000","194000000","None","241000000","2616000000","3037000000","None","75000000","12000000","-6933000000","143000000","289000000","172000000","1330000000","1985000000","None","None","-14000000","540000000","4390000000","58000000","2959000000","55000000","1708000000","488000000","1056000000","1910000000","None","None","12000000","None","-6933000000","-54000000","None","587000000","None","1474000000","211000000","488000000","143000000","631000000","None","None","None","10026000000","5864000000","1385000000","None","1171000000"
"2019-12-31","USD","6028000000","210000000","None","253000000","3002000000","2827000000","None","74000000","12000000","-7095000000","157000000","289000000","169000000","1466000000","2359000000","None","None","None","500000000","4597000000","58000000","2737000000","37000000","1859000000","486000000","982000000","2285000000","None","None","12000000","None","-7095000000","-53000000","None","584000000","None","1431000000","242000000","486000000","157000000","643000000","None","None","None","9963000000","6028000000","1503000000","None","1170000000"
"2019-09-30","USD","5253000000","220000000","None","253000000","2876000000","2176000000","None","49000000","11000000","-7265000000","140000000","289000000","115000000","1156000000","1864000000","None","None","-7000000","453000000","3912000000","59000000","2088000000","53000000","1410000000","872000000","1040000000","1815000000","None","None","11000000","None","-7265000000","-53000000","None","540000000","None","1341000000","239000000","872000000","140000000","1012000000","None","None","None","9490000000","5253000000","1209000000","None","1114000000"
"2019-06-30","USD","5102000000","231000000","None","248000000","2990000000","1901000000","None","48000000","11000000","-7385000000","155000000","289000000","100000000","963000000","1804000000","None","None","None","458000000","3754000000","58000000","1823000000","165000000","1363000000","1031000000","1015000000","1756000000","None","None","11000000","None","-7385000000","-50000000","None","543000000","None","1348000000","249000000","1031000000","155000000","1186000000","None","None","None","9325000000","5102000000","1128000000","None","1086000000"
"2019-03-31","USD","4931000000","222000000","None","237000000","2930000000","1788000000","None","45000000","11000000","-7420000000","142000000","289000000","95000000","978000000","1764000000","70000000","70000000","-1000000","377000000","3677000000","57000000","1712000000","216000000","1291000000","1024000000","955000000","1649000000","None","None","11000000","None","-7420000000","-48000000","None","531000000","None","1254000000","251000000","1024000000","142000000","1166000000","None","None","None","9246000000","4931000000","1194000000","None","1082000000"
"2018-12-31","USD","4556000000","226000000","None","304000000","3290000000","1266000000","None","24000000","10000000","-7436000000","192000000","289000000","95000000","1078000000","1984000000","136000000","136000000","-8000000","348000000","3540000000","58000000","977000000","78000000","1235000000","1114000000","845000000","1824000000","None","None","10000000","None","-7436000000","-50000000","None","321000000","None","1016000000","None","1114000000","192000000","1306000000","None","None","None","8750000000","4556000000","1156000000","None","1005000000"
"2018-09-30","USD","4347000000","274000000","None","260000000","3222000000","1125000000","0","13000000","10000000","-7474000000","177000000","289000000","94000000","1046000000","1878000000","136000000","136000000","-10000000","318000000","3314000000","58000000","836000000","10000000","1260000000","1167000000","738000000","1729000000","0","0","10000000","0","-7474000000","-67000000","None","368000000","None","1033000000","None","1167000000","177000000","1344000000","None","None","None","8666000000","4347000000","1056000000","None","999000000"
"2018-06-30","USD","4103000000","292000000","None","223000000","3224000000","879000000","0","73000000","10000000","-7576000000","186000000","289000000","71000000","948000000","1868000000","223000000","223000000","-10000000","295000000","3099000000","57000000","590000000","35000000","1143000000","1170000000","750000000","1572000000","0","0","10000000","0","-7576000000","-109000000","None","363000000","None","1004000000","None","1170000000","186000000","1356000000","None","None","None","8564000000","4103000000","983000000","None","975000000"
"2018-03-31","USD","3763000000","308000000","None","235000000","3048000000","715000000","0","159000000","10000000","-7692000000","186000000","289000000","68000000","1045000000","1697000000","223000000","223000000","3000000","290000000","2751000000","57000000","426000000","3000000","756000000","1165000000","715000000","1315000000","0","0","10000000","0","-7692000000","-108000000","None","376000000","None","1012000000","None","1165000000","186000000","1351000000","None","None","None","8502000000","3763000000","1045000000","None","969000000"
"2017-12-31","USD","3540000000","528000000","None","298000000","2929000000","611000000","0","79000000","9000000","-7760000000","107000000","289000000","657000000","1185000000","1486000000","70000000","70000000","6000000","261000000","2622000000","58000000","322000000","2000000","400000000","1325000000","739000000","1337000000","0","0","9000000","0","-7760000000","-108000000","None","310000000","None","918000000","None","1325000000","118000000","1443000000","None","None","None","8464000000","3540000000","1185000000","None","967000000"
"2017-09-30","USD","3586000000","537000000","None","229000000","3066000000","520000000","0","145000000","10000000","-7821000000","119000000","289000000","651000000","879000000","1591000000","70000000","1426000000","2000000","236000000","2699000000","57000000","231000000","2000000","797000000","1356000000","794000000","1376000000","0","0","10000000","0","-7821000000","-108000000","None","305000000","None","887000000","None","1356000000","119000000","1475000000","None","None","None","8437000000","3586000000","879000000","None","965000000"
"2017-06-30","USD","3370000000","542000000","None","210000000","2953000000","417000000","0","120000000","9000000","-7892000000","129000000","289000000","659000000","760000000","1449000000","42000000","1417000000","None","200000000","2511000000","58000000","128000000","84000000","624000000","1375000000","833000000","1287000000","0","0","9000000","0","-7892000000","-105000000","None","312000000","None","859000000","None","1375000000","129000000","1504000000","None","None","None","8405000000","3370000000","844000000","None","947000000"
"2017-03-31","USD","3299000000","511000000","None","191000000","2890000000","409000000","0","129000000","9000000","-7876000000","110000000","289000000","621000000","722000000","1372000000","1408000000","1408000000","-4000000","180000000","2498000000","58000000","120000000","221000000","525000000","1408000000","839000000","1243000000","0","0","9000000","0","-7876000000","-99000000","None","274000000","None","801000000","None","1408000000","110000000","1518000000","None","None","None","8379000000","3299000000","943000000","None","942000000"
"2016-12-31","USD","3321000000","521000000","None","204000000","2905000000","416000000","0","132000000","9000000","-7803000000","113000000","289000000","627000000","1264000000","1346000000","1435000000","1435000000","-5000000","164000000","2530000000","59000000","127000000","0","311000000","1435000000","751000000","1214000000","0","0","9000000","0","-7803000000","-119000000","None","279000000","None","791000000","None","1435000000","124000000","1559000000","None","None","None","8334000000","3321000000","1264000000","None","935000000"
"2016-09-30","USD","3616000000","524000000","None","154000000","3231000000","385000000","0","79000000","9000000","-7752000000","126000000","289000000","631000000","1258000000","1473000000","None","None","-3000000","161000000","2824000000","60000000","96000000","0","640000000","1632000000","772000000","1394000000","0","0","9000000","0","-7752000000","-127000000","None","282000000","None","792000000","None","1632000000","126000000","1758000000","None","None","None","8258000000","3616000000","1258000000","None","926000000"
"2016-06-30","USD","3316000000","520000000","None","135000000","3729000000","-413000000","0","103000000","8000000","-7346000000","136000000","289000000","641000000","957000000","1581000000","226000000","226000000","-3000000","169000000","2506000000","62000000","-702000000","0","671000000","2012000000","743000000","1252000000","0","0","8000000","0","-7346000000","-125000000","None","290000000","None","810000000","None","2012000000","136000000","2148000000","None","None","None","7053000000","3316000000","957000000","None","795000000"
"2016-03-31","USD","2981000000","523000000","None","327000000","3484000000","-503000000","0","194000000","8000000","-7415000000","150000000","278000000","579000000","716000000","1328000000","230000000","230000000","-6000000","176000000","2226000000","None","-781000000","0","508000000","2006000000","675000000","904000000","0","0","8000000","0","-7415000000","-123000000","None","301000000","None","755000000","None","2006000000","150000000","2156000000","None","None","None","7033000000","2981000000","716000000","None","793000000"
"2015-12-31","USD","3109000000","467000000","None","324000000","3521000000","-412000000","0","177000000","8000000","-7306000000","86000000","278000000","601000000","785000000","1403000000","230000000","2237000000","-8000000","188000000","2320000000","7000000","-690000000","0","533000000","2032000000","678000000","996000000","0","0","8000000","0","-7306000000","-123000000","None","323000000","None","789000000","None","2032000000","86000000","2118000000","None","None","None","7017000000","3109000000","785000000","None","792000000"
