"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","-220000000","-97000000","-294000000","None","None","35000000","-5000000","472000000","1781000000","295000000","554000000","-38000000","92000000","None","40000000","-107000000","68000000","-1129000000","74000000","52000000","None","295000000"
"2020-09-30","USD","-475000000","205000000","-549000000","None","-200000000","-269000000","-72000000","-231000000","390000000","-479000000","339000000","-149000000","86000000","None","3000000","32000000","-351000000","120000000","74000000","-345000000","None","-479000000"
"2020-06-30","USD","55000000","273000000","-36000000","None","200000000","238000000","-1000000","31000000","157000000","445000000","243000000","29000000","76000000","None","39000000","-268000000","-104000000","73000000","91000000","-97000000","None","445000000"
"2020-03-31","USD","-18000000","-455000000","-73000000","-18000000","200000000","2000000","-1000000","-54000000","162000000","-136000000","-65000000","-21000000","72000000","None","3000000","-74000000","168000000","80000000","55000000","171000000","None","-136000000"
"2019-12-31","USD","16000000","551000000","-26000000","68000000","-142000000","-107000000","-1000000","-148000000","170000000","309000000","442000000","-121000000","69000000","None","36000000","58000000","-465000000","197000000","42000000","-482000000","None","309000000"
"2019-09-30","USD","112000000","22000000","57000000","52000000","-97000000","-98000000","-4000000","4000000","120000000","193000000","234000000","-14000000","67000000","None","3000000","-25000000","-60000000","111000000","55000000","-47000000","None","193000000"
"2019-06-30","USD","51000000","21000000","-7000000","-60000000","-70000000","-38000000","-2000000","85000000","35000000","-15000000","30000000","20000000","61000000","None","34000000","-60000000","-93000000","44000000","58000000","-91000000","None","-15000000"
"2019-03-31","USD","-113000000","-214000000","-173000000","2000000","-164000000","286000000","-2000000","-96000000","16000000","-100000000","-213000000","-11000000","55000000","None","450000000","-110000000","-5000000","54000000","62000000","-3000000","None","-100000000"
"2018-12-31","USD","3000000","86000000","-38000000","71000000","-26000000","286000000","-2000000","-52000000","38000000","32000000","70000000","-72000000","52000000","None","26000000","-107000000","-53000000","106000000","41000000","-33000000","None","32000000"
"2018-09-30","USD","25000000","70000000","-8000000","71000000","-26000000","8000000","-1000000","-37000000","102000000","95000000","95000000","-67000000","50000000","0","9000000","12000000","-89000000","45000000","33000000","-117000000","None","95000000"
"2018-06-30","USD","-35000000","171000000","-78000000","71000000","-1000000","28000000","-1000000","101000000","116000000","-95000000","-45000000","7000000","52000000","0","29000000","-35000000","-380000000","31000000","43000000","-387000000","None","-95000000"
"2018-03-31","USD","-35000000","1000000","-46000000","71000000","-14000000","-8000000","-1000000","11000000","81000000","-140000000","-86000000","34000000","54000000","0","6000000","-21000000","-284000000","34000000","46000000","-269000000","None","-140000000"
"2017-12-31","USD","1000000","-107000000","-43000000","58000000","-40000000","-34000000","1000000","-144000000","61000000","306000000","383000000","-59000000","48000000","0","5000000","55000000","-103000000","20000000","44000000","365000000","None","306000000"
"2017-09-30","USD","84000000","76000000","51000000","1000000","-40000000","2000000","-3000000","28000000","71000000","119000000","66000000","-26000000","45000000","0","5000000","39000000","460000000","34000000","34000000","-173000000","None","119000000"
"2017-06-30","USD","137000000","-14000000","124000000","-1000000","-40000000","-4000000","-6000000","40000000","-16000000","38000000","-82000000","-26000000","44000000","0","2000000","6000000","303000000","23000000","12000000","-99000000","None","38000000"
"2017-03-31","USD","-221000000","-1000000","-246000000","-2000000","-40000000","3000000","-5000000","-29000000","-73000000","-542000000","-299000000","-30000000","43000000","0","8000000","-88000000","183000000","32000000","23000000","-182000000","None","-542000000"
"2016-12-31","USD","-4000000","-138000000","-26000000","-1000000","-164000000","-156000000","1000000","-24000000","-51000000","6000000","188000000","-51000000","44000000","0","7000000","21000000","222000000","34000000","21000000","329000000","None","6000000"
"2016-09-30","USD","-5000000","82000000","-10000000","4000000","-393000000","282000000","-3000000","-18000000","-406000000","301000000","29000000","-18000000","37000000","0","678000000","-28000000","107000000","331000000","9000000","31000000","None","301000000"
"2016-06-30","USD","351000000","291000000","329000000","-1000000","-4000000","-3000000","-1000000","-125000000","69000000","241000000","-85000000","-125000000","36000000","0","2000000","-69000000","138000000","-123000000","21000000","-164000000","None","241000000"
"2016-03-31","USD","351000000","-39000000","-26000000","0","-4000000","-1000000","-1000000","29000000","-109000000","-69000000","-42000000","29000000","37000000","0","0","3000000","26000000","11000000","26000000","26000000","None","-69000000"
"2015-12-31","USD","235000000","-64000000","-32000000","12000000","-8000000","-2000000","2000000","-24000000","-102000000","30000000","64000000","-11000000","37000000","0","4000000","82000000","280000000","6000000","32000000","116000000","None","30000000"
