"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","3244000000","881000000","1793000000","1451000000","558000000","1781000000","573000000","None","546000000","None","308000000","-12000000","570000000","None","9000000","-1232000000","None","-9000000","None","None","None","-1232000000","-15000000","None","1778000000","1781000000","None"
"2020-09-30","USD","2801000000","781000000","1571000000","1230000000","413000000","390000000","508000000","None","401000000","None","273000000","-36000000","449000000","None","11000000","12000000","None","-11000000","None","None","None","12000000","-37000000","None","389000000","390000000","None"
"2020-06-30","USD","1932000000","675000000","1084000000","848000000","247000000","157000000","460000000","None","160000000","None","215000000","2000000","173000000","None","14000000","4000000","-14000000","-14000000","None","None","None","4000000","1000000","None","156000000","157000000","None"
"2020-03-31","USD","1786000000","641000000","968000000","818000000","249000000","162000000","442000000","None","168000000","None","199000000","4000000","177000000","None","13000000","6000000","None","-13000000","None","None","None","6000000","4000000","None","162000000","162000000","None"
"2019-12-31","USD","2127000000","729000000","1178000000","949000000","300000000","170000000","395000000","None","205000000","None","206000000","-125000000","348000000","-60000000","18000000","35000000","None","-3000000","13000000","None","None","35000000","-140000000","None","170000000","170000000","None"
"2019-09-30","USD","1801000000","631000000","1024000000","777000000","211000000","120000000","406000000","None","126000000","None","185000000","-35000000","186000000","None","24000000","7000000","None","-24000000","None","None","None","7000000","-36000000","None","119000000","120000000","None"
"2019-06-30","USD","1531000000","562000000","910000000","621000000","62000000","35000000","373000000","None","37000000","None","189000000","3000000","59000000","None","25000000","2000000","None","-25000000","None","None","None","2000000","3000000","None","35000000","35000000","None"
"2019-03-31","USD","1272000000","491000000","751000000","521000000","30000000","16000000","373000000","None","4000000","None","110000000","-8000000","38000000","-60000000","27000000","-13000000","None","-27000000","None","None","None","-13000000","-7000000","None","17000000","16000000","None"
"2018-12-31","USD","1419000000","509000000","882000000","537000000","32000000","38000000","371000000","0","3000000","0","138000000","4000000","28000000","-60000000","29000000","None","None","None","-13000000","0","0","-35000000","-70000000","0","38000000","38000000","None"
"2018-09-30","USD","1653000000","511000000","992000000","661000000","144000000","102000000","363000000","0","114000000","0","148000000","-6000000","150000000","-60000000","30000000","None","None","None","0","0","0","12000000","-36000000","0","102000000","102000000","None"
"2018-06-30","USD","1756000000","499000000","1104000000","652000000","196000000","116000000","357000000","0","123000000","0","142000000","None","153000000","-60000000","31000000","None","None","None","0","0","0","6000000","-31000000","0","117000000","116000000","None"
"2018-03-31","USD","1647000000","477000000","1050000000","597000000","120000000","81000000","343000000","0","90000000","0","134000000","None","120000000","0","31000000","None","None","None","0","0","0","8000000","-31000000","0","82000000","81000000","None"
"2017-12-31","USD","1340000000","466000000","888000000","452000000","1169000000","61000000","300000000","0","53000000","0","133000000","2000000","82000000","-75000000","31000000","None","None","None","0","0","0","-8000000","-142000000","0","61000000","61000000","None"
"2017-09-30","USD","1643000000","447000000","1070000000","573000000","121000000","71000000","315000000","0","92000000","0","132000000","-5000000","126000000","-6000000","31000000","None","None","None","0","0","0","19000000","0","0","73000000","71000000","None"
"2017-06-30","USD","1151000000","387000000","765000000","386000000","28000000","-16000000","279000000","0","-10000000","0","100000000","-6000000","25000000","56000000","32000000","None","None","None","0","0","0","3000000","0","0","-13000000","-16000000","None"
"2017-03-31","USD","984000000","367000000","653000000","378000000","-36000000","-73000000","266000000","0","-66000000","0","94000000","-7000000","-29000000","-27000000","32000000","None","None","None","0","0","0","5000000","0","0","-71000000","-73000000","None"
"2016-12-31","USD","1106000000","354000000","755000000","351000000","-12000000","-51000000","264000000","0","-44000000","0","90000000","-9000000","-3000000","-88000000","34000000","None","None","None","0","-21000000","0","5000000","-76000000","0","-49000000","-51000000","None"
"2016-09-30","USD","1307000000","352000000","1248000000","59000000","-361000000","-406000000","259000000","0","-397000000","0","93000000","-68000000","-293000000","0","41000000","None","None","None","0","12000000","0","4000000","0","0","-401000000","-406000000","None"
"2016-06-30","USD","1027000000","327000000","708000000","319000000","139000000","69000000","243000000","0","101000000","0","91000000","147000000","-8000000","-7000000","41000000","None","None","None","0","2000000","0","29000000","0","0","72000000","69000000","None"
"2016-03-31","USD","832000000","337000000","563000000","269000000","-68000000","-109000000","242000000","0","-108000000","0","98000000","None","-68000000","-3000000","40000000","None","None","None","0","-3000000","0","1000000","0","0","-109000000","-109000000","None"
"2015-12-31","USD","958000000","332000000","675000000","283000000","-51000000","-102000000","229000000","0","-92000000","0","109000000","-2000000","-49000000","129000000","41000000","None","None","None","0","129000000","0","10000000","-294000000","0","-102000000","-102000000","None"
