"date","open","high","low","close","volume"
"2021-02-05","12.4000","17.5000","12.1200","16.6700","119453705"
"2021-01-29","7.0100","14.0100","7.0000","12.1800","386640445"
"2020-12-31","8.6500","8.8800","6.6500","6.9200","247641159"
"2020-11-30","4.5400","8.6800","4.5300","8.3800","291499286"
"2020-10-30","4.4500","6.4400","4.2800","4.5000","181852587"
"2020-09-30","4.8400","4.8700","4.1700","4.4300","61739319"
"2020-08-31","4.8200","4.9800","4.3800","4.8700","94262141"
"2020-07-31","4.3370","6.1500","4.1150","4.7750","176017456"
"2020-06-30","4.2000","5.2480","3.9600","4.2900","126042917"
"2020-05-29","3.5200","4.5300","2.7800","4.2300","159671660"
"2020-04-30","2.9500","4.3000","2.7900","3.5900","141441809"
"2020-03-31","3.6900","3.7200","1.9500","3.0600","116150683"
"2020-02-28","4.6800","4.8450","3.3100","3.6600","104522604"
"2020-01-31","5.3200","6.0000","4.5200","4.6600","164076795"
"2019-12-31","4.7500","5.6100","4.5200","5.2200","88294561"
"2019-11-29","5.0100","5.4100","3.7600","4.7400","101968617"
"2019-10-31","5.2000","5.6996","4.2300","5.0000","141888350"
"2019-09-30","6.2000","7.1400","5.1000","5.1900","63591104"
"2019-08-30","5.3500","7.6000","5.0200","6.2600","157912559"
"2019-07-31","7.0700","7.1100","5.2150","5.3800","63597331"
"2019-06-28","6.6400","7.6000","6.2900","7.0100","66619346"
"2019-05-31","7.6500","7.6800","6.3800","6.5900","93794293"
"2019-04-30","9.4400","10.1700","7.3300","7.6300","108444904"
"2019-03-29","10.4100","10.6800","8.7350","9.3200","94131512"
"2019-02-28","9.0500","10.9500","8.0800","10.3600","206362795"
"2019-01-31","5.6400","8.9300","5.4500","8.7400","134356119"
"2018-12-31","6.5000","6.9100","3.7500","5.6900","259556634"
"2018-11-30","12.2100","13.4500","7.6300","7.9000","53761673"
"2018-10-31","14.5774","16.1898","9.4500","11.9338","56735145"
"2018-09-28","13.4745","16.8598","12.1200","13.9352","55764118"
"2018-08-31","8.3000","13.0688","6.5900","12.9600","41071440"
"2018-07-31","9.1100","9.3200","7.7200","8.8276","12269706"
"2018-06-29","8.9900","10.1000","8.6194","9.0300","20324254"
"2018-05-31","7.8550","10.3200","7.4800","8.8600","17183162"
"2018-04-30","9.0100","10.0600","7.0400","7.8100","13810100"
"2018-03-29","10.5750","11.8690","8.8600","8.9599","10193325"
"2018-02-28","14.4200","14.7236","9.3287","10.4048","20208866"
"2018-01-31","15.5100","19.8690","13.3021","14.3010","33327756"
"2017-12-29","8.8550","15.8080","8.6447","14.7500","15142424"
"2017-11-30","6.0900","10.0800","5.8600","8.7724","15350406"
"2017-10-31","5.7700","6.4380","5.0679","5.9700","9615004"
"2017-09-29","4.8450","5.8000","4.7800","5.7000","4031877"
"2017-08-31","5.2030","5.2300","4.4600","4.7810","3254279"
"2017-07-31","4.1150","5.4500","3.9900","5.2000","4475722"
"2017-06-30","3.8550","4.3000","3.3953","4.1000","3662750"
"2017-05-31","4.5600","4.9700","3.8200","3.8700","4499539"
"2017-04-28","5.0300","6.6000","4.3000","4.5300","7663508"
"2017-03-31","5.0180","5.2094","4.4624","5.0400","3479155"
"2017-02-28","4.1000","5.2650","3.9150","5.0244","4328400"
"2017-01-31","3.7700","4.4000","3.7200","3.9700","2854330"
"2016-12-30","4.2206","4.2800","3.0500","3.7600","2509541"
"2016-11-30","2.8918","5.7900","2.7200","3.9100","4428575"
"2016-10-31","2.6100","3.1200","2.4919","2.8213","1871816"
"2016-09-30","1.9900","2.7200","1.9805","2.6100","791440"
"2016-08-31","1.7395","2.1605","1.7215","1.9700","1064615"
"2016-07-29","1.1870","1.9336","0.9800","1.7001","514770"
"2016-06-30","1.0350","1.4000","1.0350","1.1870","244480"
"2016-05-31","1.2168","1.2168","1.0400","1.0418","217922"
"2016-04-29","1.0360","1.3816","0.9928","1.1926","684777"
"2016-03-31","0.8931","1.0500","0.8676","1.0500","126387"
"2016-02-29","0.8536","0.9648","0.7686","0.8181","220924"
"2016-01-29","0.9261","0.9261","0.7896","0.8352","64606"
"2015-12-31","0.9573","0.9744","0.8643","0.9156","128419"
"2015-11-30","0.9485","1.1868","0.9345","0.9573","171968"
"2015-10-30","0.6500","0.9287","0.6500","0.8835","52684"
"2015-09-30","0.6500","0.6500","0.6500","0.6500","0"
"2015-08-31","0.6500","0.6500","0.6500","0.6500","100"
"2015-07-31","0.8307","0.8307","0.6500","0.6500","228"
"2015-06-30","0.8307","0.8307","0.8307","0.8307","0"
"2015-05-29","0.9500","0.9500","0.8307","0.8307","13250"
"2015-04-30","0.7250","0.9500","0.7250","0.9500","50000"
