"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-11-30","USD","2810801000","686440000","None","43201000","863810000","1892353000","None","93240000","2078343000","-215739000","45391000","752289000","3000000","187997000","292982000","None","20321000","29749000","655114000","692143000","21815000","453624000","None","108486000","480541000","321484000","81411000","None","None","None","None","None","None","None","None","None","2118658000","46663000","None","None","570828000","None","None","None","None","None","None","None","None"
"2020-08-31","USD","2490574000","362129000","None","30981000","640374000","1808770000","None","21587000","1860353000","-81933000","69698000","618052000","3000000","400019000","166014000","None","18739000","30350000","593558000","891526000","22309000","828589000","None","114527000","398923000","321347000","124410000","None","None","None","None","None","None","None","None","None","1599048000","7017000","None","None","474360000","None","None","None","None","None","None","None","None"
"2020-05-31","USD","2498439000","363037000","None","36164000","660097000","1812535000","None","7312000","1846938000","-61215000","83468000","617934000","None","497222000","170381000","None","9004000","26812000","587163000","903289000","27016000","831564000","0","82217000","400420000","264321000","152750000","None","None","None","None","None","None","None","None","None","1595150000","7143000","None","None","489716000","None","None","None","None","None","None","None","None"
"2020-02-29","USD","2602097000","382440000","None","37873000","737972000","1837098000","None","26449000","1767138000","29285000","89237000","669722000","4198000","515102000","178054000","6948000","13266000","40675000","589615000","924626000","31496000","784936000","None","122112000","465553000","225832000","137168000","None","None","None","None","None","None","None","1677471000","None","1677471000","6299000","470681000","None","559918000","None","None","None","None","None","515102000","None","258000000"
"2019-11-30","USD","2489059000","384671000","None","36989000","733713000","1727471000","None","25965000","1665744000","21764000","85106000","669663000","8365000","497694000","152488000","2443000","8610000","39963000","562963000","828420000","34977000","673137000","0","121064000","490270000","152196000","117161000","None","None","None","None","None","None","None","1660639000","None","1660639000","6601000","496119000","None","581225000","None","None","None","None","None","497694000","None","252000000"
"2019-08-31","CAD","2433569000","388367000","None","34021000","678247000","1727084000","None","24835000","1661641000","28715000","88632000","669618000","10030000","449205000","122968000","6280000","6280000","36728000","542200000","735941000","87413000","669099000","15114000","47264000","461363000","112980000","90773000","None","None","None","None","None","None","None","1697628000","None","1697628000","6364000","466647000","None","555279000","None","None","None","None","None","464319000","None","253000000"
"2019-05-31","CAD","2441592000","392056000","None","21058000","708439000","1704744000","0","26400000","1655273000","12103000","87633000","669846000","20730000","550797000","138545000","0","6332000","37368000","503898000","780829000","74233000","642842000","20199000","25488000","482261000","91529000","105813000","0","0","0","0","0","0","0","1660763000","0","1660763000","0","482261000","0","569894000","0","0","0","0","0","570996000","0","315000000"
"2019-02-28","CAD","2052647000","388125000","None","7261000","340211000","1682867000","0","6765000","549849406.78","-4817000","33502348.43","674412000","26724649.29","107502000","177203000","0","15101000","11472331.74","155107135.84","308481000","134929000","206321037.63","27234000","44142000","62279000","86227000","125598000","0","0","0","0","0","0","0","1744166000","0","0","0","20713923.08","0","163008000","0","0","0","0","0","44813037.14","0","250000000"
"2018-11-30","USD","1578293471.72","319820998.80","None","6210890.49","227711341.76","1336583935.02","0","41135679.90","1241032641.40","77472924.19","107521811.07","493410800.24","106388387.48","114375752.11","81708032.49","0","3002406.74","18078369.43","311344013.24","218232551.14","129096720.82","523352135.98","0","34588598.07","38481498.19","30341456.08","37569945.85","0","0","0","0","0","0","0","0","0","0","0","38481498.19","0","0","0","0","0","0","0","139004963.90","0","249000000"
"2018-08-31","USD","1625710000","235291000","None","23166000","165273000","1441616000","0","15868000","1370477000","48839000","58322000","524512000","0","273087000","54936000","0","3934000","22300000","360864000","418181000","86862000","681813000","0","43580000","52015000","34752000","35134000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230000000"
