"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-11-30","USD","-348284000","34367000","-348284000","5000000","-4975000","122630000","324000","1704000","-120598000","-212022000","3404000","None","15347000","None","None","-3679000","-8691000","88323000","19726000","None","None","None"
"2020-08-31","USD","-16986000","-18707000","-16986000","-3000000","8444000","8125000","-324000","-6810000","-5095000","-97203000","-69337000","None","13905000","None","-324000","-19078000","-26736000","-20473000","17304000","None","None","None"
"2020-05-31","USD","-1751000","909000","-1751000","26000000","-6740000","-6740000","-324000","-3216000","-98843000","-17880000","-9389000","None","14439000","None","None","-32448000","19098000","87142000","28027000","None","None","None"
"2020-02-29","USD","-28503000","22117000","-28503000","26000000","2690000","99053000","-324000","-6202000","5697000","17408000","-53142000","None","13301000","None","104979000","-49035000","-18199000","-21521000","38346000","None","None","None"
"2019-11-30","USD","4623000","39842000","4623000","26000000","80023000","84238000","-324000","-13401000","-7929000","48489000","-40372000","None","12313000","None","8616000","-29600000","-33302000","-8327000","26702000","None","None","None"
"2019-08-31","CAD","-68133000","-3123000","-68133000","26000000","-7007000","-2606000","None","-1696000","16441000","-101592000","-30853000","None","9218000","None","4401000","-8595000","-1905000","-40619000","39348000","None","None","None"
"2019-05-31","CAD","16290000","-23689000","-177885000","28080000","444714000","446055000","0","-6391000","15760000","443295000","-19050000","0","8611000","0","253697000","-1329000","18654000","-31820000","43771000","0","0","0"
"2019-02-28","CAD","-27576000","-4460815.62","-9171745.57","-1662994.20","690142.59","3387000","0","4612813.29","-108209000","-44572000","-20383000","0","5469000","0","83933312.55","-9937000","3654000","31350766.54","48795000","0","0","0"
"2018-11-30","USD","-51221419.98","28260379.06","-91031889.29","-3760529.48","-615974.73","1413959.09","0","-11707280.39","41195848.38","-91014590.85","-1396660.65","0","3105445.25","0","188811672.68","-4161401.93","-7520306.86","-53768802.65","41844163.66","0","0","0"
"2018-08-31","USD","24309000","217000","-45563000","-8058000","24883000","273228000","0","-3519000","21176000","213350000","-14315000","0","4676000","0","0","-5352000","149000","-31504000","57763000","0","0","0"
"2018-05-31","USD","29430863.54","597896.01","-36848558.24","-6098539.32","-5299326.42","-3625974.42","0","-3448876.11","-3778097.33","-45181260.88","-4706728.22","0","2839627.64","0","0","-2600469.23","1085294.79","119579.20","44615151.74","0","0","0"
"2018-02-28","USD","-22105673.32","2317643.39","-93790523.69","498753.12","-190928.93","164539432.67","8023690.77","-1018547.38","10087281.80","2609102.24","444202","None","1129208.23","0","0","-971789.28","-1084008.73","-9961034.91","119697630.92","None","None","None"
"2017-11-30","USD","16432112.89","2005117.47","-10307189.27","11501770.95","-146052.57","67916569.74","384585.56","-297754.52","5005815.31","60368736.92","321780.26","None","591635.26","0","0","-199730.17","-1088420.56","-3699541.75","45757928.2","None","None","None"
"2017-08-31","USD","-159025.80","-972560.49","-30873912.83","-11884180.42","-149524.11","526357.96","398173.37","-2265651.34","12049351.07","-33392533.25","-3045281.20","None","491882.71","0","0","-819907.07","-349514.50","-11191075.95","18983336","None","None","None"
"2017-05-31","USD","-98811939.86","3358269.76","-149638545.29","420709.58","23836012.15","192681282.87","-343678.25","-3913784.16","3109399.30","46986889.86","3944892.97","None","1388045.33","0","0","1799866.68","705873.64","83697.50","49193393.08","None","None","None"
"2017-02-28","USD","0","2503571.16","0","0","0","114955266.52","0","0","3721524.70","0","3943312.53","None","0","0","0","751.82","0","0","25993534.32","None","None","None"
"2016-11-30","USD","0","0","0","0","0","72785262.37","0","0","704131","0","1606996.65","None","0","0","0","0","0","0","8301451.43","None","None","None"
"2016-08-31","USD","0","0","0","0","0","33331298.64","0","0","682893.33","0","1165115.21","None","0","0","0","0","0","0","4754311","None","None","None"
"2016-05-31","USD","-1191538.11","243623.03","-4560090.12","24753.32","24576905.45","12509546.36","136283.79","488536.73","994348.56","7194711.32","-754646.40","None","685852.30","0","0","-594461.59","-1358392.39","-565270.35","3380174.13","None","None","None"
"2016-02-29","USD","0","491875.92","0","0","0","7669867.06","0","0","2954.21","0","0","None","0","0","0","0","0","0","2948301.33","None","None","None"
"2015-11-30","USD","0","493901.07","0","0","0","52383.45","0","0","0","0","0","None","0","0","0","0","0","0","2107311.23","None","None","None"
