"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-11-30","USD","160532000","181163000","121040000","39492000","-117250000","-120598000","279000","None","-139077000","54638000","54197000","None","-20631000","None","6480000","-18479000","406000","-6074000","None","None","None","-18479000","-112372000","None","-120598000","-120598000","None"
"2020-08-31","USD","144689000","121902000","70410000","74279000","17747000","-5095000","149000","None","-3787000","41430000","45934000","None","22787000","None","7629000","1308000","426000","-7203000","None","None","None","1308000","-19371000","None","-5095000","-5095000","None"
"2020-05-31","USD","152203000","80142000","133156000","19047000","-115802000","-98843000","576000","None","-100966000","25807000","44695000","None","-3372000","None","4827000","-2123000","-3905000","-8732000","None","None","None","-2123000","-88862000","None","-98843000","-98843000","None"
"2020-02-29","USD","144424000","10593000","125116000","19308000","27638000","5697000","710000","None","11211000","27027000","42320000","None","10643000","None","12646000","5514000","5294000","-7352000","None","None","None","5514000","7920000","None","5697000","5697000","None"
"2019-11-30","USD","120600000","27660000","102503000","18097000","9968000","-7929000","672000","None","-10001000","27875000","41893000","None","-9322000","None","7750000","-2072000","2744000","-5006000","None","None","None","-2072000","4327000","None","-7929000","-7929000","None"
"2019-08-31","CAD","13300000","4800000","9000000","4300000","55010000","16441000","610000","None","19039000","28238000","19700000","None","4728000","None","9153000","2598000","3896000","-5257000","None","None","None","2598000","19568000","None","16441000","16441000","None"
"2019-05-31","CAD","128568000","44901000","107660000","20908000","67504000","15760000","294000","0","16213000","28409000","37221000","0","-3664000","0","5740000","453000","2822000","-2918000","0","0","0","453000","22795000","0","15760000","15760000","0"
"2019-02-28","CAD","73582000","97080000","65758000","7824000","-140670000","-108209000","223000","0","-119672000","9834615.06","43682000","0","-30275000","0","854000","-11463000","4433000","3579000","0","0","0","-3812580.48","-92976000","0","-108209000","-35990187.74","0"
"2018-11-30","USD","34960000","-19363000","28878000","6082000","151131000","41195848.38","460288.81","0","47138989.17","13998194.95","42900000","0","-15367027.68","0","-562575.21","None","None","None","0","0","0","5943140.79","62506016.85","0","41195848.38","41195848.38","0"
"2018-08-31","USD","13292000","22778000","-472000","13764000","-9486000","21176000","262000","0","25138000","18821000","13592000","0","-9486000","0","-433000","None","None","None","0","0","0","3962000","34624000","0","21176000","21176000","0"
"2018-05-31","USD","12000000","10800000","5600000","6400000","-6390000","-3778097.33","158934.38","0","-5088170.74","7250435.18","18700000","0","-2598198.74","0","-252781.35","None","None","None","0","0","0","-1310073.41","-2489972","0","-3778097.33","-3778097.33","0"
"2018-02-28","USD","8001091.02","7319698.41","769170.82","8005331.20","-1176182.98","10087281.80","85723.19","0","13260598.50","7636377.81","9237842.89","None","-1176182.98","0","271976.31","None","None","None","0","0","0","3173316.71","23833697.79","0","16777718.20","10087281.80","None"
"2017-11-30","USD","8504000","137028.77","2302000","6202000","1135229","5005815.31","62029.93","0","5236101.42","-7597890.98","6992000","None","-3033823.37","0","256648.83","None","None","None","0","0","0","230286.11","-20900055.83","0","-18318474.06","5005815.31","None"
"2017-08-31","USD","6120359","3794774.07","-1784082","7904441","-5720422","12049351.07","72103.83","0","15069700.37","7850504.73","6191704","None","1107995.51","0","269187.63","None","None","None","0","0","0","3020349.30","13961224.96","0","12049485.66","12049351.07","None"
"2017-05-31","USD","5118516","13576772.09","1550447","3568069","-6092738","-556995.78","42959.78","0","-457743.87","7095770.68","4341179","None","1456188.43","0","111843.57","None","None","None","0","0","0","99251.91","1647285.39","0","3109399.30","-556995.78","None"
"2017-02-28","USD","3848582.81","0","987895.65","0","0","3721524.70","72175.02","0","3721524.70","0","3337343.06","None","-365386.06","0","69167.73","None","None","None","0","0","0","0","0","0","0","3721524.70","None"
"2016-11-30","USD","5226589","0","1105581","4121008","1256759","704131","66244.88","0","704131","0","3295405","None","361741.72","0","70710.83","None","None","None","0","0","0","0","0","0","0","704131","None"
"2016-08-31","USD","3338928.73","0","259423.16","0","0","682893.33","189989.32","0","682893.33","0","2131085","None","602014.34","0","37387.46","None","None","None","0","0","0","0","0","0","0","682893.33","None"
"2016-05-31","USD","2120054.99","7274011","322285.02","5015917.98","-832947.15","994348.56","107994.50","0","77898.27","7316328.09","1489231.71","None","-832947.15","0","-295555.22","None","None","None","0","0","0","-916450.28","220423.09","0","303926.23","994348.56","None"
"2016-02-29","USD","1979320.53","0","500000","0","0","2954.21","58345.64","0","2954.21","0","1353766.62","None","0","0","0","None","None","None","0","0","0","0","0","0","0","2954.21","None"
"2015-11-30","USD","1516874.95","0","451994.31","0","0","0","40410.09","0","0","0","1301354.49","None","0","0","0","None","None","None","0","0","0","0","0","0","0","0","None"
