"date","open","high","low","close","volume"
"2021-02-05","12.4000","17.5000","12.1200","16.6700","119453705"
"2021-01-29","12.8800","13.6786","11.8800","12.1800","83937254"
"2021-01-22","13.0000","13.8863","12.0100","12.9200","74753534"
"2021-01-15","8.5500","14.0100","8.4600","12.4200","150804762"
"2021-01-08","7.0100","9.3900","7.0000","8.5700","77144895"
"2020-12-31","7.2200","7.2200","6.6500","6.9200","23877064"
"2020-12-24","7.4000","7.5600","6.9500","7.1300","31655666"
"2020-12-18","8.1500","8.6500","7.5700","7.6500","82412244"
"2020-12-11","8.4400","8.5698","7.8100","7.9700","42056333"
"2020-12-04","8.1200","8.8800","7.5000","8.4900","94687713"
"2020-11-27","6.2500","7.7800","6.1500","7.7300","43905440"
"2020-11-20","5.7500","6.6000","5.6600","6.1300","54523001"
"2020-11-13","6.2700","6.2900","5.1800","5.6600","73542168"
"2020-11-06","4.5400","6.1300","4.5300","5.5000","92480816"
"2020-10-30","4.5400","4.7400","4.3100","4.5000","22105375"
"2020-10-23","4.6400","4.8600","4.4200","4.5500","35159359"
"2020-10-16","5.7500","6.4400","4.6400","4.6500","73141621"
"2020-10-09","4.4700","5.8800","4.4500","5.7500","47879007"
"2020-10-02","4.2600","4.4900","4.2100","4.4100","10881061"
"2020-09-25","4.5600","4.5900","4.1700","4.2300","18237429"
"2020-09-18","4.5500","4.7500","4.4850","4.6800","10250728"
"2020-09-11","4.4700","4.7283","4.4000","4.5000","13231478"
"2020-09-04","4.7000","4.9000","4.3750","4.5900","17237112"
"2020-08-28","4.4958","4.8400","4.3900","4.6900","16948218"
"2020-08-21","4.6000","4.7500","4.4310","4.4800","14223385"
"2020-08-14","4.6400","4.6900","4.4000","4.4900","22983549"
"2020-08-07","4.8200","4.9800","4.3800","4.4700","35575725"
"2020-07-31","5.1900","6.1500","4.5900","4.7750","81638683"
"2020-07-24","5.0980","5.2900","4.9300","5.1100","22887050"
"2020-07-17","4.4800","5.3380","4.4000","5.1000","50550353"
"2020-07-10","4.3300","4.4600","4.1150","4.3000","14727472"
"2020-07-02","4.0600","4.4600","3.9600","4.3000","14257661"
"2020-06-26","4.4000","4.6900","4.0200","4.0700","20886471"
"2020-06-19","4.1900","4.6400","4.1120","4.4400","19820774"
"2020-06-12","4.4200","5.2480","4.2400","4.3300","43997600"
"2020-06-05","4.2000","4.6200","4.1500","4.3900","33294309"
"2020-05-29","4.2600","4.5300","3.9600","4.2300","39453239"
"2020-05-22","3.5100","4.0900","3.3900","4.0400","50561789"
"2020-05-15","3.4500","3.4500","2.7800","3.3600","38601204"
"2020-05-08","3.4000","3.7800","3.3302","3.4400","26879903"
"2020-05-01","3.6400","3.8800","3.3200","3.3900","29618419"
"2020-04-24","3.5400","3.5700","3.2300","3.5400","35080128"
"2020-04-17","3.2200","4.3000","3.1500","3.6000","53798904"
"2020-04-09","2.9600","3.2900","2.8900","3.2000","17383328"
"2020-04-03","3.2100","3.2800","2.7900","2.8200","18330399"
"2020-03-27","2.7400","3.6050","2.4700","3.2900","31515593"
"2020-03-20","1.9700","2.7700","1.9500","2.5100","26284590"
"2020-03-13","2.8300","3.0801","2.0600","2.2500","24126005"
"2020-03-06","3.6900","3.7200","3.1000","3.1500","25630651"
"2020-02-28","3.9800","4.0250","3.3100","3.6600","32962517"
"2020-02-21","4.2900","4.4600","4.1300","4.1400","17107380"
"2020-02-14","4.2300","4.5300","4.0400","4.3100","28250068"
"2020-02-07","4.6800","4.8450","4.0900","4.2200","26202639"
"2020-01-31","5.1700","5.1700","4.6200","4.6600","31639322"
"2020-01-24","5.4800","6.0000","5.2100","5.2700","44320667"
"2020-01-17","4.9800","5.4900","4.8100","5.2700","49580315"
"2020-01-10","4.9400","5.0200","4.5200","4.9400","26194554"
"2020-01-03","4.8400","5.3600","4.6410","4.9600","26875927"
"2019-12-27","4.9700","5.0300","4.7800","4.9000","11649881"
"2019-12-20","5.5000","5.6100","4.7300","4.9900","24428696"
"2019-12-13","4.7400","5.5500","4.7300","5.5000","26931198"
"2019-12-06","4.7500","4.8600","4.5200","4.7200","10750796"
"2019-11-29","4.7500","4.8900","4.3800","4.7400","11582764"
"2019-11-22","4.2000","5.1849","3.7600","4.6700","41292107"
"2019-11-15","5.0500","5.0800","4.0800","4.2500","22492010"
"2019-11-08","5.3800","5.4100","4.7300","5.0700","23814246"
"2019-11-01","5.6200","5.6996","4.9100","5.1900","16439899"
"2019-10-25","4.6600","5.6200","4.5200","5.6000","26565853"
"2019-10-18","4.7300","5.5400","4.2300","4.7500","49204803"
"2019-10-11","5.3700","5.5250","4.4400","4.7100","30638495"
"2019-10-04","5.4500","5.5300","4.8500","5.3600","26006669"
"2019-09-27","6.0400","6.2397","5.3400","5.4700","17619580"
"2019-09-20","6.6200","6.7500","5.9300","6.1600","13664055"
"2019-09-13","7.1100","7.1400","6.5400","6.7200","13961430"
"2019-09-06","6.2000","7.1400","6.1400","7.0600","14166160"
"2019-08-30","6.6600","6.6600","5.7900","6.2600","19880600"
"2019-08-23","6.3400","6.8000","6.1000","6.5600","18982336"
"2019-08-16","6.3200","6.9599","5.8250","6.1800","25540286"
"2019-08-09","7.0700","7.6000","6.3400","6.3400","52569428"
"2019-08-02","5.5000","7.4500","5.0200","7.3300","51300879"
"2019-07-26","6.4000","6.4000","5.4249","5.5000","14880414"
"2019-07-19","6.1300","6.6800","6.0000","6.3900","19497421"
"2019-07-12","6.8100","6.8300","6.1400","6.2200","12438402"
"2019-07-05","7.0700","7.1100","6.7500","6.8500","6420124"
"2019-06-28","6.7300","7.2100","6.6365","7.0100","14381827"
"2019-06-21","6.8400","6.9600","6.3500","6.7300","12811871"
"2019-06-14","7.4500","7.6000","6.7400","6.7900","15463278"
"2019-06-07","6.6400","7.4816","6.2900","7.2700","23962370"
"2019-05-31","7.6700","7.6800","6.5262","6.5900","21022174"
"2019-05-24","6.8000","7.4300","6.3800","7.3500","22207658"
"2019-05-17","7.0200","7.1300","6.6800","6.8300","16131136"
"2019-05-10","6.7600","7.2200","6.6100","7.2200","21000356"
"2019-05-03","7.5500","7.6700","6.9300","6.9400","22538208"
"2019-04-26","7.6000","7.9200","7.5200","7.5500","20672561"
"2019-04-18","8.7400","9.1300","7.5500","7.6500","42429897"
"2019-04-12","10.0300","10.1150","9.5345","10.1000","15793936"
"2019-04-05","9.4400","10.1700","9.3600","10.0800","20443271"
"2019-03-29","9.5000","9.8300","8.7350","9.3200","17152094"
"2019-03-22","9.5000","10.6700","9.4500","9.5300","29085065"
"2019-03-15","9.5600","9.8600","9.3600","9.6000","15478347"
"2019-03-08","10.4700","10.6800","9.1500","9.5500","28080227"
"2019-03-01","10.0900","10.5600","9.6100","10.1400","30735259"
"2019-02-22","9.5000","10.5900","9.4600","10.1800","28621065"
"2019-02-15","9.4200","9.9100","8.0800","9.6000","41792041"
"2019-02-08","10.1000","10.9500","9.0700","9.4300","80861416"
"2019-02-01","7.1100","10.0000","6.9800","9.6200","57812010"
"2019-01-25","7.2000","7.4400","6.7817","7.1600","21461575"
"2019-01-18","7.0300","7.1400","6.2400","6.6800","23367147"
"2019-01-11","6.2500","7.2000","6.0600","6.9200","45383553"
"2019-01-04","5.9200","6.1900","5.4500","6.0400","24556718"
"2018-12-28","4.5500","6.3700","4.5500","6.2600","45756543"
"2018-12-21","5.4800","6.1700","4.7000","4.8500","35415062"
"2018-12-14","5.6000","6.2900","4.8500","5.6000","42582927"
"2018-12-07","6.5000","6.9100","3.7500","5.2300","126266011"
"2018-11-30","9.2000","9.2200","7.6300","7.9000","11969659"
"2018-11-23","9.6100","9.6100","8.3500","8.8400","6947049"
"2018-11-16","12.4400","12.5000","9.2600","9.7400","12724173"
"2018-11-09","12.2000","13.4500","11.5600","12.3100","18106163"
"2018-11-02","12.1450","12.7000","9.4500","12.0000","11171186"
"2018-10-26","13.9430","14.1900","10.5000","11.7900","12786273"
"2018-10-19","15.0110","16.1898","12.9100","13.9390","14214707"
"2018-10-12","12.9500","15.8940","12.6200","14.6500","14377497"
"2018-10-05","14.5774","14.9000","12.3000","12.5900","8200111"
