"date","open","high","low","close","volume"
"2021-02-05","13.7600","19.0000","12.1100","12.8350","195614052"
"2021-01-29","9.0500","13.6800","8.8000","12.7500","289063152"
"2020-12-31","12.3535","13.9400","8.6200","8.8500","247056675"
"2020-11-30","9.9405","12.9400","8.2600","12.2200","256721988"
"2020-10-30","11.7400","13.1100","9.7200","9.8500","157894470"
"2020-09-30","11.6000","18.6900","8.7800","11.6000","627322060"
"2020-08-31","19.5700","22.1300","11.3300","11.9900","326671173"
"2020-07-31","22.7500","28.5400","18.3500","19.4400","706030138"
"2020-06-30","14.7800","33.7900","11.1300","26.9500","1025572309"
"2020-05-29","11.0000","16.9200","9.5300","14.7500","598093390"
"2020-04-30","7.3200","16.5000","6.8800","12.0300","821363709"
"2020-03-31","4.4000","19.3600","3.8300","7.4400","1310134505"
"2020-02-28","4.3600","5.0000","3.1400","4.2800","270481993"
"2020-01-31","3.3900","5.9500","2.9500","4.5300","168348727"
"2019-12-31","2.5200","3.8300","2.2800","3.3000","26173500"
"2019-11-29","2.1300","2.8500","2.1200","2.5200","19549811"
"2019-10-31","2.0700","2.5500","1.9150","2.1300","12017398"
"2019-09-30","2.1200","2.7261","2.0300","2.0500","11237806"
"2019-08-30","2.7500","2.8700","2.0500","2.1600","12698334"
"2019-07-31","2.9900","3.0700","2.5000","2.7600","13607252"
"2019-06-28","2.4000","3.0900","2.1500","2.9400","29772681"
"2019-05-31","3.7600","3.9800","2.3600","2.3900","21763538"
"2019-04-30","3.7800","4.1400","3.6100","3.7600","21701961"
"2019-03-29","3.6900","3.9100","3.0200","3.7300","31435281"
"2019-02-28","5.0100","5.0400","3.6300","3.6600","33193060"
"2019-01-31","3.9300","5.1100","3.9100","5.0100","16706196"
"2018-12-31","5.4600","5.4700","3.7500","4.0000","18542049"
"2018-11-30","4.9600","5.5000","4.7600","5.3500","17548453"
"2018-10-31","5.6000","6.3000","4.7900","4.9300","26932617"
"2018-09-28","5.3500","5.6990","4.6800","5.5600","18827586"
"2018-08-31","4.0000","5.3300","3.8500","5.2600","20508886"
"2018-07-31","3.9000","4.5205","3.7900","4.0100","12832040"
"2018-06-29","4.7800","4.7800","3.6400","3.9200","20179295"
"2018-05-31","4.3800","5.2300","4.3200","4.7600","21618346"
"2018-04-30","4.7000","5.2690","4.3700","4.3900","19752364"
"2018-03-29","4.1100","5.5300","3.9800","4.7100","24304270"
"2018-02-28","4.5800","4.6000","3.7600","4.1000","19891396"
"2018-01-31","4.1800","5.8800","4.1800","4.5600","38370958"
"2017-12-29","4.6000","4.6893","4.0900","4.1300","24440714"
"2017-11-30","5.8500","5.8790","4.2000","4.5900","25618418"
"2017-10-31","6.3500","7.0000","5.5450","5.8300","24893901"
"2017-09-29","5.9600","6.6500","5.7150","6.3400","26253050"
"2017-08-31","5.5600","6.0500","5.2800","5.9400","25419417"
"2017-07-31","7.8600","8.2100","5.5000","5.5600","44219815"
"2017-06-30","7.5000","8.6400","7.2600","7.8400","31428253"
"2017-05-31","6.3500","9.8600","6.2000","7.5500","23707335"
"2017-04-28","6.6300","6.8800","5.9700","6.2900","12411404"
"2017-03-31","7.1500","7.2300","5.8300","6.6200","19211227"
"2017-02-28","6.6500","7.2200","6.2100","7.0500","14519660"
"2017-01-31","6.9700","7.4500","5.8500","6.6000","16160975"
"2016-12-30","7.0700","7.6400","6.7800","6.9400","22137376"
"2016-11-30","6.5000","8.4200","5.9800","7.0800","24078208"
"2016-10-31","9.2700","9.6500","6.3000","6.4700","20821239"
"2016-09-30","9.1200","9.8501","8.4600","9.3200","23506146"
