"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-09-30","USD","437814047","3283540","None","31634240","113813932","323903846","32046","16934941","167527","-881858432","192249","10513371","17641755","178700434","41263167","None","None","-247834","11190521","377064673","957567","310106935","158535744","8194255","53688873","None","24328226","None","None","167527","None","-881858432","None","None","34804375","None","60749374","20933904","53688873","18829846","72550765","None","None","None","1205842585","437814047","337236178","None","167528435"
"2020-06-30","USD","443185402","3420311","None","6403106","256824933","186264200","32046","20253147","158756","-901029768","120018816","10513371","2555782","215432713","37981975","None","None","-610030","11323531","382062453","2717241","172330518","156231102","3995532","199358788","None","17728828","None","None","158756","None","-901029768","None","None","33148495","None","61122949","21461813","199358788","19452124","218842958","None","None","None","1087745242","443185402","371663815","None","158756411"
"2020-03-31","USD","338920684","3557081","None","4269813","151066581","184324904","32046","21011604","145915","-772326709","22381844","10513371","2480087","158447065","32294642","None","None","-1456930","12104410","275543609","21210745","170254452","111550890","1275841","98596325","None","11283038","None","None","145915","None","-772326709","None","None","37202213","None","63377075","21966815","98596325","20143798","118772169","None","None","None","957962628","338920684","269997955","None","145915100"
"2019-12-31","USD","143951597","3693851","None","2634738","138546739","3435099","None","110691740","101361","-739785655","9124579","10513371","2672024","22196097","31989321","8819023","None","472608","12773017","94200969","6315356","-10772123","67338017","2032117","77022917","None","19035976","None","None","101361","None","-739785655","None","None","22770389","None","49750628","22484764","77022920","36943","106557418","None","None","None","742646785","143951597","89534114","None","101361034"
"2019-09-30","USD","151533430","3960457","None","3258713","115414698","33693570","26649","4799395","99046","-702123617","4840015","10513371","2731055","15853236","19546853","None","None","700398","13516389","98812541","7996757","19219742","77945753","1754839","74578440","None","14747458","None","None","99046","None","-702123617","None","None","24730672","None","52720889","22964316","74578440","21262756","95867845","None","None","None","735017743","151533430","93798989","None","99046158"
"2019-06-30","USD","165073296","4227019","None","3410108","108595223","53616904","26649","5399350","98584","-679032924","275041","10513371","2853089","19735943","24079328","None","None","731855","14265951","110509032","6324766","38876514","86235815","1127166","62757286","None","18679978","None","None","98584","None","-679032924","None","None","19233157","None","54564264","23432284","62757286","21732392","84516327","None","None","None","731819389","165073296","105971758","None","98584371"
"2019-03-31","USD","191165508","4493582","None","2828347","110199257","77909480","24766","3295607","97934","-649645698","230826","10513371","2981270","20779152","27415047","1888804","1888804","290310","15185998","134902998","6430383","62902527","107216498","4079001","60562503","None","24119636","None","None","97934","None","-649645698","None","None","19639176","None","56262510","23879685","60562503","22196941","82784210","None","None","None","727166934","191165508","127995650","None","97934010"
"2018-12-31","USD","131113265","4760145","None","2527395","44080858","86936138","None","14184470","97226","-620426436","8781099","10513371","2669998","23693633","35299759","None","None","-528867","15949014","87814824","6381926","71662622","57538852","4054944","None","None","29809055","None","None","97226","None","-620426436","None","None","5693985","None","43298441","None","None","87333","87333","None","None","None","707794215","131113265","81232485","None","97225810"
"2018-09-30","USD","140696347","5026708","None","28750270","36987173","103612905","0","11493944","94472","-587130576","8989158","10513371","2625659","19397822","27998015","None","None","-281760","16228171","93602784","12699654","103612905","66096567","7025001","0","0","25393560","103709174","0","94472","0","-587130576","0","None","3198516","None","19426687","None","None","99669","99669","None","None","None","690930769","140696347","85494389","None","94472389"
"2018-06-30","USD","148923066","5293271","None","28393510","37431246","111395551","0","13835948","91474","-562114904","9024975","10513371","2724376","15085643","28406271","None","None","-598386","16868953","101840800","11682295","111395551","80509364","5397791","0","0","23595298","111491820","0","91474","0","-562114904","0","None","2667805","None","19536758","None","None","None","None","None","None","None","674017367","148923066","95595007","None","91474395"
