"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-09-30","USD","39496991","6372164","39114937","None","None","-1695051","-1951610","-41901139","19171336","-36738463","-74158349","-72242043","852216","None","256559","None","-4179785","-24113299","382054","-4198723","None","-36738463"
"2020-06-30","USD","-39575189","6948994","-42385622","-2774851","171620","126522757","-3736","-1496073","-129172466","56985648","-27151487","1265396","935271","None","126354873","None","-2871516","100624940","35582","-2703530","None","56985648"
"2020-03-31","USD","-51667993","-7647448","-51808945","-51667990","171620","213512634","-2072831","-913147","-33135404","136250968","-25452721","-9335145","946329","None","215585465","None","58430","17912579","140952","756276","None","136250968"
"2019-12-31","USD","10549218","9877893","10434776","-8057070","4017644","9645432","20250","-893026","-38147382","6342861","-13737347","4923976","1120493","None","5607538","None","76222","8764951","114442","-277278","None","6342861"
"2019-09-30","USD","8403415","-3932939","8269739","-18606290","14452263","15581012","-3314757","299452","-23536452","-3882707","-27733458","-2757369","1149800","None","1128749","None","-646065","1971175","133676","-627673","None","-3882707"
"2019-06-30","USD","21668694","-5382464","21587617","-27009700","17767020","1294158","-81259","-3635729","-29579076","-1043209","-23924984","3659757","1198881","None","1375417","None","2653034","3226083","81077","2951835","None","-1043209"
"2019-03-31","USD","-48678396","-5196889","-49337127","-48678400","75658953","78876993","-719397","715791","-29288867","-2914481","-32454347","-2610639","1197470","None","3937437","None","533097","3468635","658731","-24057","None","-2914481"
"2018-12-31","USD","7525624","4031767","7182557","44504930","75658953","14394272","89759","-954665","-32962205","4295811","-17281018","8512349","1318211","None","14304513","None","344398","1474462","343067","344398","None","4295811"
"2018-09-30","USD","14545222","1738889","14418034","0","75658953","14565009","1615147","-2945106","-25015672","4312179","-24670864","-3296377","1194033","0","12949862","0","-1725927","2434648","127188","-1725927","None","4312179"
"2018-06-30","USD","-5523268","-25008949","-5984570","0","75658953","2584424","611023","1498536","-6639125","-22423220","-19023074","4032599","1255313","0","1973401","0","4717005","2619625","461302","4717005","None","-22423220"
"2018-03-31","USD","27957352","16986754","26803887","0","None","-506403","-506403","1038957","-32350828","13722284","-12575200","-1354360","1301771","0","0","0","-900596","3742059","1153465","-900596","None","13722284"
"2017-12-31","USD","14459337","3593047","14581271","1000000","None","-124677","1342250","4140747","-21506179","508187","-13948407","-305484","794285","0","-1466927","0","10080000","2803993","878066","671931","None","508187"
"2017-09-30","USD","-50569809","5681115","-54157508","0","None","70888796","-506403","838801","-34134570","-582245","-17313533","5574803","1163383","0","70848992","0","9408000","2851643","3587699","1550093","None","-582245"
"2017-06-30","USD","-1383811","-13598107","-6422691","0","None","24099616","-506403","986183","-9479116","957384","-16719541","-172488","902621","0","24139420","0","7858000","3241592","5038880","1901407","None","957384"
"2017-03-31","USD","18957041","-4437703","18167784","0","None","826437","None","-2173420","-23085907","3766781","-15227440","-737076","928597","0","826437","0","5472000","6632588","789257","5956611","None","3766781"
"2016-12-31","USD","9984571","3035357","9918336","0","None","870313","1491181","575290","-26233470","-4114290","-14902939","3070935","1090558","0","-812143","0","-9236807","3248425","66235","885242","None","-4114290"
"2016-09-30","USD","9548503","5617188","9073164","0","None","4369407","None","-174065","-20759338","-5199611","-18642182","716726","877369","0","4411123","0","10122049","1994599","475339","-7089158","None","-5199611"
"2016-06-30","USD","-665702","2527215","-2381457","-200000","None","2477738","-149559","-703293","-18704711","-13173672","-13269953","186492","786460","-149559","2477738","0","3032891","1147770","1515755","786809","None","-13173672"
"2016-03-31","USD","342987","1391329","-338154","0","None","69484","-149559","-1494431","-8042820","-16008648","-15739978","-8937809","597867","0","69484","0","3819700","3071613","681141","-3819700","None","-16008648"
"2015-12-31","USD","-20395650","1641655","-21221573","1000000","None","159409","2449356","1049225","-17952045","-27836103","-6773939","3669301","875425","0","-2439506","0","-4528852","1359511","825923","3632214","None","-27836103"
"2015-09-30","USD","-1198426","15209066","-1981023","1000000","None","1727268","None","None","5594468","15171222","15424977","-1723877","497770","-149559","1727268","0","8161066","1203978","782597","-5356428","None","15171222"
