"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-09-30","USD","236178","36565618","None","236178","-7765260","19171336","26455112","None","20931010","96269","10110506","29216944","-36329440","None","1984046","0","896710","-1087336","None","None","None","None","58347786","None","20931010","19171336","None"
"2020-06-30","USD","267187","33448085","None","267187","-31364059","-128703059","22376575","None","-128270709","-469407","11071510","-93620385","-33180898","None","2846641","0","1067399","-1779242","None","None","None","None","-93310569","None","-128270709","-128703059","None"
"2020-03-31","USD","1327274","26559542","None","1327274","-10841623","-32541054","19111188","None","-33135404","-594350","7448354","-13230908","-25232268","None","2803755","0","416569","-2387186","None","None","None","None","-5515950","None","-33135404","-32541054","None"
"2019-12-31","USD","279488","30700541","22003955","279489","-29280913","-37662038","22003956","None","-38235146","-485344","8696586","-2874160","-30421052","None","3258533","-87764","587679","-2081158","None","None","None","-130429","-5732935","None","-38104717","-37662038","None"
"2019-09-30","USD","866863","24818650","17237209","866863","-23659234","-23090693","19137209","None","-23536452","-445759","5681441","3329847","-23951787","None","2428671","0","637438","-1791233","None","None","None","None","2206568","None","-23536452","-23090693","None"
"2019-06-30","USD","135673","28336367","22486266","135673","-23441152","-29387226","22486266","None","-29685847","-191850","5850101","882842","-28200694","None","2194783","-106771","755330","-1439453","None","None","None","-106771","-45700","None","-29579076","-29387226","None"
"2019-03-31","USD","2829905","31364917","24389888","2829905","-27337542","-29219262","24389888","None","-29351667","-69605","6975029","None","-28535012","None","66552","-62800","-780820","-66552","None","None","None","-62800","-750103","None","-29288867","-29219262","None"
"2018-12-31","USD","2502624","32001788","26365647","2502624","-28253514","-32962394","26365647","0","-32962205","96269","5636141","-169300","-29499164","0","-656000","None","None","None","0","0","0","189","-3463041","0","-32962394","-32962394","None"
"2018-09-30","USD","2000868","28643551","21851858","2000868","-25677773","-25015672","21851858","0","-25015672","96269","6791693","609652","-26642683","0","-656000","None","None","None","0","0","0","0","1627011","0","-25015672","-25015672","None"
"2018-06-30","USD","24448761","29651930","22462620","24448761","-4207369","-6639125","22462620","0","-6639125","96269","7189310","656652","-5203169","0","-656000","None","None","None","0","0","0","-2169811","-1435956","0","-6639125","-6639125","None"
"2018-03-31","USD","1529644","34275766","24577751","1529644","-31316510","-32350828","24577751","0","-30181017","96269","9698015","184682","-32746122","0","0","None","None","None","0","0","0","2169811","2565105","0","-32350828","-32350828","None"
"2017-12-31","USD","8787234","31675023","32201000","8787234","-24992895","-21506179","24641124","0","-28781641","-288807","8033899","1088812","-22887789","-1000000","0","None","None","None","0","0","0","0","-3562871","0","-28781641","-21506179","None"
"2017-09-30","USD","2644543","31830014","30667000","2644543","-28445384","-34134570","25510239","0","-28298829","673883","6319775","886642","-29185471","0","0","None","None","None","0","0","0","0","0","0","-28298829","-34134570","None"
"2017-06-30","USD","20412124","30047857","29145000","20412124","-8420612","-9479116","23878751","0","-9648212","-385076","6169106","-12479","-9635733","0","0","None","None","None","0","0","0","0","0","0","-9648212","-9479116","None"
"2017-03-31","USD","10376185","32310093","31381000","10376185","-21121788","-23085907","24542504","0","-21477090","96269","7767589","456818","-21933908","0","0","None","None","None","0","0","0","0","0","0","-21477090","-23085907","None"
"2016-12-31","USD","8513952","30877248","30052000","8513952","-21526948","-26233470","23911731","0","-19458020","-1089892","6965517","836348","-22363296","-1000000","0","None","None","None","0","0","0","0","3495598","0","-19458020","-26233470","None"
"2016-09-30","USD","12540463","32735946","31859000","12540463","-19801197","-20759338","26980343","0","-20759338","2073204","5755603","394286","-20195483","0","0","None","None","None","0","0","0","0","0","0","-20759338","-20759338","None"
"2016-06-30","USD","6203791","24430331","24644000","6203791","-17999184","-18704711","19630801","0","-17999184","-1132871","5799530","227356","-18226540","0","0","None","None","None","0","-1000000","0","0","0","0","-17999184","-18704711","None"
"2016-03-31","USD","8110155","23560773","22963000","8110155","-15523797","-8042820","18189160","0","-15523797","245828","5371613","-73179","-15450618","0","0","None","None","None","0","0","0","0","0","0","-15523797","-8042820","None"
"2015-12-31","USD","5936000","20461977","19935000","5935562","-15011250","-17952045","15602000","0","-11751729","245828","4860086","-484835","-14526415","-1000000","0","None","None","None","0","0","0","-308520","4083099","0","-11443209","-17952045","None"
"2015-09-30","USD","24183234","20452817","19955000","24183234","4464276","5594468","16075201","0","3805222","-86000","4377616","733859","3730417","0","0","None","None","None","0","0","0","-1789246","0","0","5594468","5594468","None"
