"date","open","high","low","close","volume"
"2021-02-05","13.7600","19.0000","12.1100","12.8350","195614052"
"2021-01-29","9.0000","13.6800","8.9250","12.7500","140992565"
"2021-01-22","9.8500","10.2799","8.8000","9.0000","53092009"
"2021-01-15","9.0200","10.5700","8.8299","9.6600","44790592"
"2021-01-08","9.0500","9.8900","8.8100","9.2200","50187986"
"2020-12-31","10.3000","10.3800","8.6200","8.8500","49794255"
"2020-12-24","10.3300","11.0300","9.5200","10.2600","40928781"
"2020-12-18","10.9400","11.0300","10.1600","10.3900","39812387"
"2020-12-11","12.6764","12.8800","10.8140","11.0600","46179307"
"2020-12-04","12.2900","13.9400","11.5700","12.6000","93515435"
"2020-11-27","10.6299","12.4000","9.7393","12.2600","51590281"
"2020-11-20","12.5600","12.9400","10.2300","10.5400","62036166"
"2020-11-13","9.7100","12.4000","8.2600","11.2200","96378005"
"2020-11-06","9.9405","11.2500","9.8200","10.5300","23544046"
"2020-10-30","10.6700","11.2000","9.7200","9.8500","30599847"
"2020-10-23","11.9000","11.9800","10.2800","10.9500","30074444"
"2020-10-16","12.2500","13.0800","11.5700","11.8500","32618946"
"2020-10-09","11.7600","13.1100","11.2100","12.3100","44879730"
"2020-10-02","10.6300","13.8000","10.2800","11.6500","123631680"
"2020-09-25","16.9500","18.6900","14.5000","16.9400","108594112"
"2020-09-18","10.2500","18.5500","10.2300","17.0000","290216341"
"2020-09-11","10.2000","11.8900","9.1501","10.0800","63654241"
"2020-09-04","12.2852","12.7000","8.7800","9.5700","68979835"
"2020-08-28","13.2700","13.3565","11.3300","12.0600","61908833"
"2020-08-21","14.8100","15.0737","13.8300","14.1000","48932991"
"2020-08-14","19.6200","19.6600","12.4065","14.7850","137977287"
"2020-08-07","19.5700","22.1300","18.7200","20.2200","69819416"
"2020-07-31","23.0200","23.0500","19.0700","19.4400","123896353"
"2020-07-24","26.9700","27.9500","21.5200","21.9100","93379676"
"2020-07-17","23.4700","28.5400","23.1600","26.9700","160888847"
"2020-07-10","21.6200","24.9900","19.5300","23.3800","171243203"
"2020-07-02","28.3200","31.7100","18.3500","21.4500","307969951"
"2020-06-26","14.5000","33.7900","14.4019","29.9800","607244983"
"2020-06-19","13.1500","14.7400","13.1500","14.2700","75379329"
"2020-06-12","11.8500","13.6300","11.1300","13.0200","77084688"
"2020-06-05","14.7800","15.2500","11.2600","11.9300","114515417"
"2020-05-29","14.2100","15.0700","12.2800","14.7500","79615992"
"2020-05-22","13.6900","16.9200","13.2200","14.0800","196097785"
"2020-05-15","11.2150","14.0900","11.0300","13.4300","181833488"
"2020-05-08","10.1200","11.5900","9.7100","10.8550","95244110"
"2020-05-01","15.7850","16.5000","9.5300","10.2800","300405043"
"2020-04-24","8.1400","15.0800","8.1000","14.5900","375665016"
"2020-04-17","8.0800","8.3900","6.8800","8.2600","70836715"
"2020-04-09","8.4800","9.2027","7.8200","8.1200","81867281"
"2020-04-03","9.2000","9.3200","7.0900","7.7400","82752875"
"2020-03-27","7.3900","8.4200","6.5300","8.3200","99800010"
"2020-03-20","6.0600","7.8500","5.1300","7.2200","123567287"
"2020-03-13","18.9000","19.3600","5.5000","7.2000","454271784"
"2020-03-06","4.4000","16.0000","3.8300","14.0900","587634218"
"2020-02-28","4.1000","5.0000","3.6000","4.2800","100517688"
"2020-02-21","4.4500","4.5500","3.5700","3.7450","43604507"
"2020-02-14","3.3300","4.5000","3.2500","4.1500","90630598"
"2020-02-07","4.3600","4.4700","3.1400","3.1900","35729200"
"2020-01-31","5.6000","5.9500","3.9200","4.5300","110576482"
"2020-01-24","3.5200","4.7000","3.3300","4.2400","45232977"
"2020-01-17","3.1400","3.4499","3.0700","3.2900","5759725"
