"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","-2427000000","412000000","-5684000000","610000000","None","-1697000000","1656000000","916000000","5857000000","2509000000","9890000000","331000000","10482000000","-1353000000","-2000000000","687000000","358000000","4033000000","3867000000","-883000000","None","2509000000"
"2020-09-30","USD","2604000000","217000000","-766000000","346000000","-1750000000","-12793000000","-2024000000","832000000","4276000000","-5380000000","8179000000","None","3123000000","-1404000000","-7615000000","-299000000","301000000","3903000000","3716000000","None","None","-5380000000"
"2020-06-30","USD","-6963000000","17000000","-10610000000","-239000000","-1700000000","-3191000000","-97000000","959000000","5105000000","-2644000000","11157000000","None","3063000000","-1403000000","9000000","277000000","1020000000","6052000000","3408000000","None","None","-2644000000"
"2020-03-31","USD","-105000000","30000000","-3736000000","-363000000","9172000000","4764000000","726000000","-2575000000","5661000000","7186000000","6158000000","None","3050000000","-1408000000","-3726000000","-548000000","-796000000","497000000","3268000000","None","None","7186000000"
"2019-12-31","USD","-62000000","1672000000","-4485000000","243000000","758000000","-5144000000","-1017000000","1361000000","6905000000","259000000","9888000000","1000000000","10826000000","-1362000000","-3523000000","-1481000000","-779000000","-8099000000","4666000000","-935000000","None","259000000"
"2019-09-30","USD","1379000000","67000000","-3910000000","-617000000","-557000000","-5733000000","239000000","1968000000","5990000000","1068000000","10711000000","None","2679000000","-1386000000","-4029000000","67000000","-646000000","4721000000","4672000000","None","None","1068000000"
"2019-06-30","USD","-7000000","19000000","-3288000000","273000000","-257000000","-4586000000","119000000","852000000","4179000000","-287000000","7587000000","None","2554000000","-1414000000","-3034000000","-931000000","725000000","3408000000","3554000000","None","None","-287000000"
"2019-03-31","USD","830000000","-32000000","-2722000000","-231000000","821000000","-2102000000","731000000","-1416000000","3974000000","135000000","4959000000","None","2625000000","-1414000000","-2240000000","-512000000","-235000000","985000000","3321000000","None","None","135000000"
"2018-12-31","USD","2211000000","99000000","-1820000000","-141000000","-2345000000","-5468000000","501000000","321000000","5195000000","-388000000","6900000000","1563000000","9085000000","-1368000000","-2256000000","-214000000","-1265000000","1265000000","3890000000","-1714000000","None","-388000000"
"2018-09-30","USD","692000000","48000000","-3435000000","-276000000","-620000000","-4607000000","-182000000","250000000","6398000000","793000000","8835000000","None","2274000000","-1373000000","-2432000000","-59000000","-818000000","2437000000","3851000000","None","None","793000000"
"2018-06-30","USD","2557000000","182000000","-1193000000","780000000","-993000000","-7160000000","-905000000","1339000000","5006000000","-940000000","7413000000","None","2122000000","-1400000000","-3862000000","-207000000","267000000","2407000000","4530000000","None","None","-940000000"
"2018-03-31","USD","-1604000000","1672000000","-4791000000","-277000000","1815000000","-1372000000","-162000000","-2129000000","4454000000","121000000","6284000000","None","2196000000","-1400000000","-1625000000","-96000000","102000000","1830000000","2910000000","None","None","121000000"
"2017-12-31","USD","-834000000","5348000000","-5230000000","-327000000","-6573000000","-7653000000","69000000","-477000000","-687000000","-5642000000","7241000000","317000000","8129000000","-1278000000","129000000","-1300000000","-781000000","8724000000","4069000000","-781000000","None","-5642000000"
"2017-09-30","USD","8017000000","-254000000","-6316000000","-11354000000","-357000000","-2560000000","-63000000","1279000000","4516000000","-2612000000","6264000000","None","0","-1278000000","-862000000","1245000000","1128000000","1748000000","2979000000","None","None","-2612000000"
"2017-06-30","USD","263000000","237000000","-1438000000","1077000000","6131000000","3484000000","-161000000","214000000","2808000000","6753000000","4707000000","None","0","-1287000000","-1199000000","760000000","618000000","1899000000","2778000000","None","None","6753000000"
"2017-03-31","USD","-871000000","-662000000","-2778000000","45000000","435000000","-1746000000","-39000000","-452000000","2964000000","-626000000","3898000000","None","0","-1229000000","-913000000","232000000","105000000","934000000","1952000000","None","None","-626000000"
"2016-12-31","USD","164000000","-31000000","-3444000000","-78000000","-1941000000","-3898000000","-275000000","685000000","3562000000","808000000","8150000000","83000000","7790000000","-1233000000","-449000000","119000000","65000000","8054000000","3530000000","65000000","None","808000000"
"2016-09-30","USD","-713000000","638000000","-2683000000","493000000","-990000000","-2208000000","-27000000","324000000","3378000000","867000000","5758000000","None","0","-1231000000","40000000","118000000","100000000","2380000000","2463000000","None","None","867000000"
"2016-06-30","USD","-1434000000","-987000000","-4170000000","-450000000","3194000000","1149000000","-192000000","440000000","1330000000","824000000","3845000000","None","0","-1233000000","-620000000","104000000","734000000","2515000000","2286000000","None","None","824000000"
"2016-03-31","USD","-73000000","None","-15520000000","-14101000000","956000000","-782000000","-60000000","None","2046000000","-12247000000","4055000000","None","0","-1228000000","-450000000","0","942000000","2009000000","1346000000","None","None","-12247000000"
"2015-12-31","USD","3693000000","-312000000","2728000000","1363000000","1489000000","88000000","87000000","-194000000","3613000000","8243000000","5427000000","None","8711000000","-1133000000","-355000000","-764000000","-355000000","1814000000","2328000000","None","None","8243000000"
