"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-08-31","USD","10824772000","2380382000","None","68618000","2435155000","8389617000","None","406986000","1343000","2127368000","171215000","5336356000","775004000","832041000","1168084000","349004000","349004000","450000","331769000","1659326000","None","672879000","None","490271000","992801000","268396000","412094000","None","None","1343000","None","2127368000","None","None","470102000","None","646837000","143894000","992801000","274270000","1267071000","None","None","None","6260906000","10824772000","832041000","None","None"
"2020-05-31","USD","10981529000","2651678000","None","72282000","2445907000","8535622000","33284000","380653000","1330000","2388517000","188219000","5337405000","757329000","667548000","690641000","None","448248000","868000","348066000","1478964000","None","546539000","None","468760000","1439852000","270374000","309988000","None","None","1330000","None","2388517000","None","None","525946000","None","639470000","157323000","1439852000","282130000","1755266000","None","None","None","6144907000","10981529000","667548000","None","664000000"
"2020-02-29","USD","11133235000","2764600000","None","74567000","2454655000","8678580000","31233000","346639000","1328000","2541313000","189687000","5337405000","748100000","647604000","710166000","None","None","None","357092000","1537497000","None","576575000","None","492346000","1439024000","322980000","363527000","None","None","1328000","None","2541313000","None","None","496850000","None","639791000","157323000","1439024000","274232000","1744489000","None","None","None","6135939000","11133235000","647604000","None","663481000"
"2019-11-30","USD","11133235000","3042234000","None","644682000","2454655000","8678580000","1000000","311437000","1328000","2541313000","328316000","5337405000","325349000","647604000","710166000","None","None","37000","429820000","1537497000","None","298941000","None","492346000","1439024000","322980000","213747000","None","None","1341000","None","808717000","None","None","32947000","None","9595738000","144440000","2036441000","120471000","1744489000","None","None","None","6355723000","10303262000","438369000","None","668000000"
"2019-08-31","USD","10303262000","2500215000","None","634744000","3137444000","7165818000","1100000","5610000","1341000","808717000","354918000","5161312000","313254000","438369000","654454000","None","None","37000","429820000","1886566000","None","-495709000","None","495216000","2036441000","308299000","212955000","None","None","1334000","None","931358000","None","None","438955000","None","8416696000","28332000","1685359000","183921000","2482990000","None","None","None","6271120000","9981140000","573496000","None","664000000"
"2019-05-31","USD","9981140000","2399975000","None","39711000","2777328000","7203812000","250137000","5604000","1323000","931358000","367747000","4933719000","284616000","573496000","620672000","27959000","27959000","None","326599000","1901407000","None","-750810000","None","452746000","1685359000","240421000","211422000","None","None","1323000","None","1028578000","None","None","426278000","None","8079733000","26874000","1684281000","178459000","2156656000","None","None","None","6200231000","10048218000","571893000","None","659000000"
"2019-02-28","USD","10016752000","2560682000","None","43721000","2710342000","7306410000","246252000","335509000","1317000","1116495000","None","5494505000","None","582410000","636796000","None","None","None","318978000","1395258000","None","-748777000","None","493122000","1732699000","276005000","301287000","None","None","1317000","None","1116495000","None","None","247329000","None","8621494000","None","1732699000","94595000","2073546000","None","None","None","6188598000","10016752000","582410000","None","658514000"
"2018-11-30","USD","10232025000","2639370000","None","79975000","2656746000","7575279000","108016000","305042000","1314000","1416682000","194806000","5499145000","260176000","610261000","656206000","None","None","None","313113000","1520221000","None","-563236000","0","453775000","1805734000","376210000","351164000","0","0","1314000","0","1416682000","0","None","260176000","None","8711804000","None","1805734000","86790000","2000540000","None","None","None","6157283000","10232025000","610261000","None","None"
"2018-08-31","USD","10362846000","2718061000","None","103570000","2697780000","7665066000","114312000","284544000","1316000","1509860000","210941000","5497608000","275598000","498659000","608222000","1878617000","1878617000","None","327645000","1543934000","None","-550603000","25000000","443276000","1878617000","473429000","323678000","0","0","1316000","0","1509860000","0","None","275598000","None","8818912000","None","1878617000","96629000","2089558000","None","None","None","6153890000","10362846000","523659000","None","None"
"2018-05-31","USD","4864319000","1993310000","None","69575000","578808000","4285511000","None","181997000","1000000","1542437000","134167000","1993310000","209261000","1167258000","444641000","None","None","-2404000","213656000","2448092000","None","2292201000","712053000","329650000","None","169556000","262644000","None","None","1000000","None","1542437000","None","None","209261000","None","2416227000","None","None","134167000","134167000","None","None","None","2744478000","4864319000","1879311000","None","None"
