"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-08-31","USD","-37547000","67151000","-37547000","-2188000","-122313000","-219480000","-59194000","21375000","-22908000","507000","257534000","336000","157267000","-40229000","2256000","-5984000","-6729000","68401000","35359000","-6729000","None","507000"
"2020-05-31","USD","-38362000","-18264000","-38362000","-3019000","-100000000","-117322000","-57815000","-21401000","-113033000","19944000","175628000","10590000","163405000","-39763000","-19744000","35834000","23586000","73510000","35343000","23586000","None","19944000"
"2020-02-29","USD","-38362000","-97117000","1084257000","1103243000","-600000000","-930860000","-34950000","-111073000","1772673000","209235000","55838000","-742888000","-220833000","-40077000","-255833000","43361000","23586000","-702228000","18986000","2870000","None","209235000"
"2019-11-30","USD","18832000","19356000","-481307000","-479397000","350000000","280677000","-50978000","8006000","-82501000","-135127000","65503000","6416000","134449000","-40140000","21795000","-39276000","2870000","59061000","20742000","-32002000","None","-135127000"
"2019-08-31","USD","-481307000","-56600000","-23095000","-85000","350000000","-48442000","-42533000","8006000","-57331000","1603000","73140000","-5900000","124086000","-39889000","33980000","-7174000","-32002000","58458000","23010000","17601000","None","1603000"
"2019-05-31","USD","-23095000","-26286000","-21009000","-1826000","-50000000","-155324000","-48919000","-16409000","-48450000","-10517000","165816000","8004000","125719000","-39467000","-16938000","15848000","17601000","68206000","19183000","22775000","None","-10517000"
"2019-01-31","USD","15737000","-26785000","-1752553000","-1665092000","-75000000","849737000","-66489000","29841000","-179094000","-306072000","596744000","None","123983000","-148081000","-3013000","2489000","-39347000","282762000","87461000","None","None","None"
"2018-08-31","USD","686289000","-14947000","-1983418000","2275000","1286477000","1252884000","-14852000","-57293000","6759000","-668599000","61935000","None","33709000","-39383000","0","4186000","-1356000","64820000","20801000","None","None","None"
"2018-05-31","USD","185636000","13073000","216699000","44651000","-3600000","-66697000","-44354000","-14982000","128612000","278776000","128774000","-15208000","21504000","-29798000","11055000","2680000","-47393000","25506000","13588000","-47393000","None","278776000"
"2018-02-28","USD","185636000","13073000","216699000","44651000","-3600000","-66697000","-42881000","-61802000","128612000","278776000","128774000","-15208000","21504000","-29798000","0","2680000","54989000","25506000","13588000","-47393000","None","278776000"
"2017-08-31","USD","10583000","10703000","94019000","94546000","1286477000","-139394000","-9521000","-5041000","200188000","169598000","214973000","2815000","21986000","-29470000","-100403000","-1327000","30730000","-24975000","11110000","5583000","None","169598000"
"2017-05-31","USD","-50111000","-65899000","-12739000","41392000","None","-183974000","-10486000","-32252000","165259000","-95461000","101252000","3525000","20444000","-30095000","-143393000","-3170000","36313000","-4357000","4020000","-14550000","None","-95461000"
"2017-02-28","USD","-37417000","29358000","-18307000","29136000","None","-204969000","-28624000","6422000","106621000","-88130000","135146000","7493000","20742000","-29991000","-146354000","-11542000","21763000","4237000","10026000","-21763000","None","-88130000"
"2016-11-30","USD","202913000","2539000","44257000","-151870000","1136477000","-100599000","-7492000","-712396000","-80091000","62504000","118846000","56868000","30002000","-30457000","-62650000","18381000","-12084000","64336000","6786000","26811000","None","62504000"
"2016-08-31","USD","5659000","-6166000","-8082000","-394000","None","-80543000","-4590000","38301000","72616000","32836000","121461000","16189000","21296000","-30699000","-45254000","3710000","38895000","27328000","13347000","-13512000","None","32836000"
"2016-05-31","USD","-15103000","7987000","-36933000","-3995000","None","-35396000","-4965000","-77000000","51305000","-61470000","10859000","-46962000","35138000","-30675000","244000","-6364000","25383000","37780000","17835000","-68025000","None","-61470000"
"2016-02-29","USD","172945000","3338000","162353000","-4050000","None","-50710000","-20564000","-713000000","-22679000","-497958000","-609601000","-697048000","24734000","-30461000","315000","13598000","42642000","25814000","6542000","42642000","None","-497958000"
"2015-11-30","USD","343967000","-110447000","338494000","-1579000","1136477000","-10673000","-1595000","664251000","4200000","381127000","53306000","-66436000","30912000","-30447000","21369000","69544000","97655000","34786000","3894000","57628000","None","381127000"
"2015-08-31","USD","-186000","676344000","-136804000","9027000","None","-329166000","-3484000","None","-57750000","-30477000","66594000","58986000","25565000","-92374000","-63117000","39457000","3234000","35668000","43601000","36793000","None","-30477000"
"2015-05-31","USD","-145405000","-15902000","-166585000","-3606000","None","-64529000","-26359000","None","14090000","-172246000","58868000","4118000","26620000","-30910000","-7260000","-31318000","27141000","34119000","17574000","27141000","None","-172246000"
"2014-11-30","USD","-82588000","-69601000","-98913000","-1910000","None","-16304000","-5223000","19325000","81693000","26984000","142201000","17994000","26464000","-30942000","19861000","48247000","23275000","26514000","14415000","10890000","None","26984000"
