"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","USD","304137000000","6555000000","None","12769000000","173901000000","130236000000","174000000","40929000000","81896000000","44973000000","42404000000","44219000000","13561000000","14432000000","67486000000","5387000000","5387000000","3367000000","51737000000","173973000000","3794000000","79462000000","117536000000","27312000000","55136000000","1924000000","21170000000","None","None","81896000000","None","44973000000","None","None","23859000000","None","130164000000","8875000000","55136000000","51105000000","106415000000","None","None","None","None","304137000000","131968000000","None","7546000000"
"2020-09-30","USD","301001000000","6923000000","None","13544000000","177609000000","123392000000","187000000","42952000000","81089000000","39193000000","33174000000","43890000000","13034000000","17205000000","70056000000","6497000000","6497000000","3110000000","47927000000","177077000000","3103000000","72579000000","120772000000","22851000000","57055000000","2705000000","20607000000","None","None","81089000000","None","39193000000","None","None","22081000000","None","123924000000","7753000000","57055000000","50311000000","107553000000","None","None","None","None","301001000000","137977000000","None","7564000000"
"2020-06-30","USD","301311000000","7038000000","None","11482000000","183007000000","118304000000","204000000","46027000000","80552000000","34566000000","34492000000","43351000000","13138000000","13576000000","72310000000","3749000000","3749000000","3186000000","44151000000","181915000000","2965000000","67915000000","122951000000","32011000000","59578000000","1895000000","22534000000","None","None","80552000000","None","34566000000","None","None","21891000000","None","119396000000","7671000000","59578000000","50915000000","110697000000","None","None","None","33233250000","301311000000","136527000000","None","7571000000"
"2020-03-31","USD","285449000000","6855000000","None","8536000000","170948000000","114501000000","185000000","36163000000","79813000000","32012000000","33991000000","42064000000","13696000000","11710000000","58707000000","3748000000","3748000000","2676000000","41221000000","170505000000","2660000000","65582000000","125916000000","22699000000","62862000000","1644000000","18796000000","None","None","79813000000","None","32012000000","None","None","22144000000","None","114944000000","7248000000","62862000000","49194000000","112241000000","None","None","None","32375500000","285449000000","137626000000","None","7590000000"
"2019-12-31","USD","282794000000","7126000000","None","7473000000","172685000000","110109000000","222000000","36474000000","79625000000","30739000000","34225000000","42248000000","14630000000","8864000000","59640000000","6247000000","6247000000","-255000000","40522000000","167074000000","2755000000","60735000000","125389000000","23525000000","63361000000","1823000000","16919000000","None","None","79625000000","None","30739000000","None","None","23069000000","None","115720000000","7172000000","63361000000","49462000000","113045000000","None","None","None","32056250000","282794000000","134253000000","None","7611000000"
"2019-09-30","USD","278955000000","7508000000","None","7551000000","172894000000","106061000000","234000000","38411000000","78882000000","27240000000","34178000000","42113000000","14455000000","13117000000","58118000000","3017000000","3017000000","-61000000","38409000000","165896000000","2684000000","56440000000","123519000000","19087000000","66478000000","2622000000","16690000000","None","None","78882000000","None","27240000000","None","None","22345000000","None","113059000000","6659000000","66478000000","48064000000","114776000000","None","None","None","31169500000","278955000000","136636000000","None","7634000000"
"2019-06-30","USD","286556000000","7750000000","None","10146000000","184226000000","102330000000","233000000","42027000000","78520000000","24150000000","35699000000","42026000000","14723000000","11356000000","69420000000","5516000000","5516000000","-340000000","36477000000","175552000000","2649000000","52554000000","122463000000","29524000000","66662000000","2063000000","21877000000","None","None","78520000000","None","24150000000","None","None","22102000000","None","111004000000","6188000000","66662000000","47911000000","114806000000","None","None","None","28840500000","286556000000","133819000000","None","7643000000"
"2019-03-31","USD","263281000000","8103000000","None","7049000000","168417000000","94864000000","1838000000","32088000000","77791000000","18338000000","36471000000","41861000000","10258000000","11212000000","53861000000","6515000000","6515000000","-1265000000","33648000000","159887000000","2403000000","44900000000","120406000000","19269000000","66585000000","1951000000","15258000000","None","None","77791000000","None","18338000000","None","None","17379000000","None","103394000000","5972000000","66585000000","46133000000","114556000000","None","None","None","29878500000","263281000000","131618000000","None","7666000000"
"2018-12-31","USD","258859000000","8482000000","None","7571000000","166731000000","92128000000","2062000000","32582000000","77556000000","16585000000","36112000000","41577000000","10129000000","6638000000","50318000000","3516000000","3516000000","-2013000000","32717000000","156874000000","2274000000","42069000000","121024000000","19680000000","69653000000","1961000000","14220000000","None","None","77556000000","None","16585000000","None","None","16935000000","None","101985000000","None","69653000000","44698000000","116413000000","None","None","None","29537250000","258859000000","127662000000","None","7683000000"
"2018-09-30","USD","257619000000","7579000000","None","7311000000","171652000000","85967000000","1977000000","34657000000","71303000000","17279000000","35519000000","35855000000","9792000000","15137000000","56277000000","6497000000","6497000000","-2615000000","31430000000","164195000000","2034000000","42533000000","120743000000","17390000000","69733000000","3614000000","15123000000","0","0","71303000000","0","17279000000","0","None","16526000000","None","93424000000","None","69733000000","43665000000","115375000000","None","None","None","None","257619000000","135880000000","None","7680000000"
"2018-06-30","USD","258848000000","8053000000","None","6751000000","176130000000","82718000000","541000000","37649000000","71223000000","13682000000","35707000000","35683000000","7442000000","11946000000","58488000000","3998000000","5397000000","-2187000000","29460000000","169662000000","1862000000","38982000000","121822000000","26481000000","72242000000","2662000000","16841000000","0","0","71223000000","0","13682000000","0","None","14128000000","None","89186000000","None","72242000000","44859000000","117642000000","None","None","None","None","258848000000","133768000000","None","7677000000"
"2018-03-31","USD","245497000000","8544000000","None","5097000000","166258000000","79239000000","5002000000","28870000000","70418000000","9974000000","34327000000","35582000000","54050000000","9221000000","46133000000","3677000000","4829000000","-1153000000","27929000000","156659000000","2818000000","35113000000","123049000000","17208000000","73480000000","2084000000","13586000000","0","0","70418000000","0","9974000000","0","None","13965000000","None","88838000000","None","73480000000","41643000000","120125000000","None","None","None","None","245497000000","132270000000","None","7690000000"
"2017-12-31","USD","256003000000","9034000000","None","4422000000","177643000000","78360000000","5686000000","29096000000","70192000000","8567000000","33624000000","35355000000","55317000000","12859000000","58099000000","15912000000","4789000000","-399000000","26304000000","167633000000","3961000000","33971000000","129921000000","18428000000","73348000000","2003000000","13091000000","0","0","70192000000","0","8567000000","0","None","13716000000","None","88370000000","None","73348000000","40510000000","119544000000","None","None","None","None","256003000000","142780000000","None","7705000000"
"2017-09-30","USD","249097000000","9598000000","None","4788000000","159450000000","89647000000","7639000000","30298000000","69419000000","19702000000","17172000000","35389000000","56413000000","6884000000","51615000000","9220000000","2302000000","526000000","24809000000","161031000000","5343000000","44660000000","131587000000","14561000000","76255000000","3211000000","12097000000","0","0","69419000000","0","19702000000","0","None","12927000000","None","88066000000","None","76255000000","23941000000","107835000000","None","None","None","None","249097000000","138471000000","None","7720000000"
"2017-06-30","USD","241086000000","10106000000","None","4897000000","168692000000","72394000000","10908000000","40382000000","69315000000","2648000000","25161000000","35122000000","57501000000","7663000000","64527000000","10121000000","2472000000","431000000","23734000000","159851000000","6023000000","27166000000","125318000000","19792000000","76073000000","2181000000","14024000000","0","0","69315000000","0","2648000000","0","None","6250000000","None","81235000000","None","76073000000","17184000000","104165000000","None","None","None","None","241086000000","132981000000","None","7708000000"
"2017-03-31","USD","225017000000","10547000000","None","5434000000","155288000000","69729000000","9680000000","32543000000","68554000000","531000000","24896000000","34668000000","56742000000","6713000000","52005000000","7786000000","7786000000","644000000","21962000000","146313000000","7381000000","24514000000","119305000000","12882000000","76222000000","1979000000","11676000000","0","0","68554000000","0","531000000","0","None","4146000000","None","78704000000","None","76222000000","17381000000","103283000000","None","None","None","None","225017000000","126018000000","None","7723000000"
"2016-12-31","USD","224610000000","11001000000","None","5864000000","155801000000","68809000000","9728000000","32773000000","68177000000","120000000","23075000000","34524000000","58282000000","8468000000","70787000000","25664000000","25664000000","512000000","21379000000","144949000000","8912000000","23284000000","114313000000","14343000000","59306000000","1961000000","12350000000","0","0","68177000000","0","120000000","0","None","3845000000","None","79661000000","None","59306000000","15980000000","85014000000","None","None","None","None","224610000000","122781000000","None","7730000000"
"2016-09-30","USD","212524000000","3522000000","None","6726000000","142152000000","70372000000","8848000000","33427000000","67747000000","944000000","20624000000","17907000000","35391000000","13928000000","58810000000","14536000000","14536000000","1681000000","19224000000","157909000000","10486000000","48943000000","123004000000","11129000000","60154000000","3122000000","10847000000","0","0","67747000000","0","944000000","0","None","3476000000","None","54615000000","None","60154000000","14340000000","83342000000","None","None","None","None","212524000000","136932000000","None","7784000000"
"2016-06-30","USD","193694000000","3733000000","None","5892000000","121697000000","71997000000","7917000000","33417000000","68178000000","2282000000","19320000000","17872000000","35678000000","6510000000","59357000000","12904000000","54541000000","1537000000","18356000000","139660000000","10431000000","50392000000","106730000000","18277000000","40783000000","2251000000","13036000000","0","0","68178000000","0","2282000000","0","None","3642000000","None","54034000000","None","40783000000","13640000000","62340000000","None","None","None","None","193694000000","113240000000","None","7808000000"
"2016-03-31","USD","181869000000","4459000000","None","6598000000","107063000000","74806000000","7691000000","26763000000","68012000000","4954000000","19139000000","17948000000","36617000000","7170000000","44354000000","5498000000","None","1840000000","16831000000","128421000000","11315000000","52399000000","98382000000","13821000000","40896000000","2450000000","12093000000","0","0","68012000000","0","4954000000","0","None","2895000000","None","53448000000","None","40896000000","14122000000","62709000000","None","None","None","None","181869000000","105552000000","None","7870000000"
"2015-12-31","USD","180098000000","4619000000","None","6345000000","103318000000","76780000000","6296000000","27376000000","68279000000","6728000000","17802000000","17436000000","36497000000","7185000000","42643000000","3750000000","None","1773000000","15789000000","127812000000","11514000000","54725000000","95455000000","16125000000","40679000000","2702000000","11517000000","0","0","68279000000","0","6728000000","0","None","2928000000","None","52286000000","None","40679000000","13700000000","60675000000","None","None","None","None","180098000000","102640000000","None","7925000000"
