"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","172000000","313000000","-1669000000","2333000000","-3250000000","-13634000000","79000000","1879000000","15463000000","-2787000000","12516000000","-3996000000","2761000000","-4230000000","-6233000000","788000000","-4008000000","1195000000","4174000000","-4008000000","14000000","-2773000000"
"2020-09-30","USD","-314000000","-3375000000","-5371000000","-150000000","-3250000000","-10289000000","-235000000","-2823000000","13893000000","3675000000","19335000000","-3180000000","2645000000","-3856000000","-6198000000","-808000000","8843000000","1317000000","4907000000","8843000000","-46000000","3629000000"
"2020-06-30","USD","11000000","5542000000","-4462000000","271000000","-3417000000","-12262000000","471000000","643000000","11202000000","1949000000","18673000000","6314000000","3504000000","-3865000000","-5451000000","-251000000","-9355000000","1717000000","4744000000","-9355000000","-83000000","1866000000"
"2020-03-31","USD","1337000000","1896000000","51000000","2481000000","-3000000000","-14645000000","-1052000000","803000000","10752000000","2910000000","17504000000","-518000000","3118000000","-3876000000","-6717000000","181000000","891000000","1184000000","3767000000","891000000","-64000000","2846000000"
"2019-12-31","USD","-7781000000","1436000000","-6036000000","5290000000","-18000000","-8915000000","-39000000","1562000000","11649000000","-4271000000","10680000000","-3288000000","3203000000","-3886000000","-4972000000","799000000","-4203000000","1084000000","3545000000","-4203000000","18000000","-4253000000"
"2019-09-30","USD","-4308000000","-6793000000","-1776000000","5917000000","-2500000000","-10209000000","286000000","-3681000000","10678000000","1833000000","13818000000","-3663000000","2971000000","-3510000000","-4485000000","-561000000","10090000000","1096000000","3385000000","10090000000","-72000000","1761000000"
"2019-06-30","USD","-10288000000","7749000000","-7257000000","7082000000","-1000000000","-8686000000","160000000","958000000","13187000000","165000000","16108000000","7286000000","2924000000","-3521000000","-4325000000","-113000000","-10070000000","-4855000000","4051000000","-10070000000","-21000000","144000000"
"2019-03-31","USD","47000000","1067000000","-1363000000","1155000000","-1000000000","-7601000000","404000000","457000000","8809000000","4556000000","13520000000","-511000000","2926000000","-3526000000","-4479000000","12000000","460000000","757000000","2565000000","460000000","18000000","4574000000"
"2018-12-31","USD","-13076000000","120000000","-4200000000","12583000000","-3000000000","-13216000000","-459000000","-22000000","8420000000","-8516000000","8900000000","-2768000000","2995000000","-3544000000","-6213000000","1654000000","-2396000000","875000000","3707000000","-2396000000","17000000","-8499000000"
"2018-09-30","USD","-14337000000","-3765000000","-2953000000","14986000000","-3000000000","-7384000000","-780000000","-2935000000","8824000000","3320000000","13657000000","-3097000000","2837000000","-3220000000","-3384000000","-956000000","9194000000","620000000","3602000000","9194000000","-129000000","3191000000"
