"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","43076000000","10985000000","14194000000","28882000000","18337000000","15463000000","4899000000","None","18337000000","None","6086000000","440000000","17897000000","None","571000000","2874000000","545000000","-26000000","None","None","None","2874000000","466000000","None","15463000000","15463000000","None"
"2020-09-30","USD","37154000000","10276000000","11002000000","26152000000","18521000000","13893000000","4926000000","None","16124000000","None","5350000000","248000000","15876000000","None","589000000","2231000000","None","-589000000","None","None","None","2231000000","837000000","None","13893000000","13893000000","None"
"2020-06-30","USD","38033000000","12287000000","12339000000","25694000000","16911000000","11202000000","5214000000","None","13422000000","None","7073000000","15000000","13407000000","None","686000000","2220000000","None","-686000000","None","None","None","2220000000","701000000","None","11202000000","11202000000","None"
"2020-03-31","USD","35021000000","11071000000","10975000000","24046000000","16090000000","10752000000","4887000000","None","12843000000","None","6184000000","-132000000","12975000000","None","614000000","2091000000","-153000000","-614000000","None","None","None","2091000000","482000000","None","10752000000","10752000000","None"
"2019-12-31","USD","32471000000","10657000000","12423000000","20048000000","13287000000","11649000000","4603000000","None","14085000000","None","5720000000","194000000","13891000000","None","654000000","2436000000","281000000","-654000000","None","None","None","2436000000","848000000","None","11649000000","11649000000","None"
"2019-09-30","USD","29084000000","9963000000","9905000000","19179000000","12806000000","10678000000","4565000000","None","12686000000","None","5247000000","None","12686000000","None","637000000","2008000000","-139000000","-637000000","None","None","None","2008000000","637000000","None","10678000000","10678000000","None"
"2019-06-30","USD","33717000000","10900000000","10412000000","23305000000","15208000000","13187000000","4513000000","None","12596000000","None","6387000000","191000000","12405000000","None","669000000","-591000000","321000000","-669000000","2600000000","None","None","-591000000","860000000","None","13187000000","13187000000","None"
"2019-03-31","USD","30571000000","10060000000","10170000000","20401000000","13283000000","8809000000","4316000000","None","10486000000","None","5744000000","145000000","10341000000","None","671000000","1677000000","None","-671000000","None","None","None","1677000000","816000000","None","8809000000","8809000000","None"
"2018-12-31","USD","28918000000","9790000000","11064000000","17854000000","11249000000","8420000000","4070000000","None","10385000000","None","5671000000","127000000","10258000000","None","-672000000","None","None","None","-157000000","None","None","1965000000","127000000","None","8420000000","8420000000","None"
"2018-09-30","USD","24538000000","9224000000","8278000000","16260000000","10168000000","8824000000","3977000000","None","10221000000","None","4978000000","266000000","9955000000","None","-674000000","None","None","None","None","None","None","1397000000","266000000","None","8824000000","8824000000","None"
"2018-06-30","USD","30085000000","9964000000","9742000000","20343000000","12834000000","8873000000","3933000000","0","10680000000","0","6031000000","301000000","10379000000","0","-672000000","None","None","None","0","0","0","1807000000","301000000","0","8873000000","8873000000","None"
"2018-03-31","USD","26819000000","9258000000","9269000000","17550000000","11009000000","7424000000","3715000000","0","8641000000","0","5543000000","349000000","8292000000","0","691000000","None","None","None","0","0","0","1217000000","349000000","0","7424000000","7424000000","None"
"2017-12-31","USD","23317000000","9175000000","8456000000","14861000000","9169000000","-6302000000","3504000000","0","9169000000","0","5711000000","490000000","8679000000","0","698000000","None","None","None","0","0","0","15471000000","214000000","0","-6302000000","-6302000000","None"
"2017-09-30","USD","22090000000","8552000000","8060000000","14030000000","8008000000","6576000000","3574000000","0","7984000000","0","5081000000","276000000","7708000000","0","672000000","None","None","None","0","0","0","1408000000","276000000","0","6576000000","6576000000","None"
"2017-06-30","USD","23317000000","9531000000","8456000000","14861000000","5545000000","6513000000","3514000000","0","5545000000","0","5711000000","215000000","5330000000","306000000","655000000","None","None","None","0","0","0","-968000000","-2043000000","0","6513000000","6513000000","None"
"2017-03-31","USD","22090000000","8436000000","8060000000","14030000000","8008000000","4801000000","3355000000","0","5916000000","0","5081000000","322000000","5594000000","0","609000000","None","None","None","0","918000000","0","1115000000","136000000","0","4801000000","4801000000","None"
"2016-12-31","USD","24090000000","8012000000","9901000000","14189000000","6363000000","5200000000","3062000000","0","6363000000","0","4950000000","186000000","6177000000","0","521000000","None","None","None","0","-918000000","0","1163000000","86000000","0","5200000000","5200000000","None"
"2016-09-30","USD","20453000000","7384000000","7844000000","12609000000","5325000000","4690000000","3106000000","0","5325000000","0","4278000000","100000000","5225000000","0","437000000","None","None","None","0","306000000","0","635000000","100000000","0","4690000000","4690000000","None"
"2016-06-30","USD","20614000000","9555000000","7979000000","12635000000","3347000000","3424000000","3146000000","0","3347000000","0","5299000000","267000000","3080000000","1110000000","345000000","None","None","None","0","1110000000","0","-77000000","-1302000000","0","3424000000","3424000000","None"
"2016-03-31","USD","20531000000","7526000000","7722000000","12809000000","5036000000","3756000000","2980000000","0","5036000000","0","4546000000","-247000000","5283000000","0","340000000","None","None","None","0","0","0","1280000000","-76000000","0","3756000000","3756000000","None"
"2015-12-31","USD","23796000000","7898000000","9872000000","13924000000","5855000000","4998000000","2900000000","0","5855000000","0","4998000000","-171000000","6026000000","0","309000000","None","None","None","0","0","0","857000000","109000000","0","4998000000","4998000000","None"
