"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-10-31","USD","26881000000","2861000000","None","213000000","11547000000","15334000000","None","1134000000","1000000","17550000000","1311000000","4193000000","2588000000","2251000000","3669000000","998000000","998000000","12000000","2059000000","14393000000","106000000","8280000000","7888000000","2546000000","5963000000","1495000000","2671000000","None","None","1000000","None","17550000000","-10530000000","None","2709000000","None","666000000","720000000","5963000000","1915000000","7878000000","None","None","None","8301000000","26881000000","10139000000","None","None"
"2020-07-31","USD","25180000000","2854000000","None","215000000","11266000000","13914000000","None","977000000","1000000","16313000000","1285000000","4193000000","787000000","3274000000","2410000000","None","None","4000000","2665000000","14681000000","None","6867000000","7707000000","2084000000","6960000000","1401000000","893000000","None","None","1000000","None","16313000000","-10232000000","None","157000000","None","10499000000","735000000","6960000000","43000000","8856000000","None","None","None","7828000000","25180000000","10981000000","None","None"
"2020-04-30","USD","23254000000","80000000","None","195000000","10155000000","13099000000","None","63000000","1000000","15790000000","774000000","628000000","652000000","15494000000","1903000000","None","None","-10000000","1715000000","19584000000","None","12391000000","860000000","1907000000","6959000000","1128000000","1903000000","None","None","1000000","None","15790000000","-10036000000","None","714000000","None","533000000","619000000","6959000000","1293000000","8252000000","None","None","None","7354000000","23254000000","16354000000","None","622000000"
"2020-01-31","USD","17315000000","49000000","None","157000000","5111000000","12204000000","None","85000000","1000000","14971000000","775000000","618000000","666000000","10896000000","1784000000","None","None","1000000","1674000000","13690000000","None","11537000000","1000000","1657000000","1991000000","979000000","1784000000","None","None","1000000","None","14971000000","-9814000000","None","736000000","None","548000000","652000000","1991000000","1336000000","3327000000","None","None","None","7045000000","17315000000","10897000000","None","612000000"
"2019-10-31","USD","15810000000","43000000","None","149000000","4596000000","11214000000","None","80000000","1000000","14118000000","662000000","618000000","685000000","9765000000","1475000000","None","None","-3000000","2044000000","12420000000","None","10553000000","4000000","1455000000","1990000000","1047000000","591000000","None","None","1000000","None","14118000000","-9726000000","None","116000000","569000000","3390000000","558000000","1990000000","25000000","3121000000","None","None","None","6824000000","15810000000","9769000000","None","618000000"
"2019-07-31","USD","14775000000","49000000","None","151000000","4439000000","10336000000","None","96000000","1000000","13317000000","650000000","618000000","698000000","7105000000","1317000000","None","None","-1000000","2019000000","11391000000","None","9669000000","1370000000","1561000000","1989000000","1204000000","437000000","None","None","1000000","None","13317000000","-9524000000","None","110000000","588000000","3384000000","567000000","1989000000","24000000","3122000000","None","None","None","6543000000","14775000000","8475000000","None","616000000"
"2019-04-30","USD","14021000000","54000000","None","159000000","4317000000","9704000000","None","55000000","1000000","12862000000","660000000","618000000","711000000","2772000000","1183000000","80000000","80000000","-2000000","1473000000","10629000000","None","9032000000","5030000000","1242000000","1988000000","1426000000","1183000000","None","None","1000000","None","12862000000","-9474000000","None","646000000","601000000","3392000000","566000000","1988000000","1146000000","3134000000","None","None","None","6317000000","14021000000","7802000000","None","616000000"
"2019-01-31","USD","13292000000","45000000","None","136000000","3950000000","9342000000","None","61000000","1000000","12565000000","633000000","618000000","668000000","782000000","1329000000","None","None","-12000000","1404000000","10557000000","None","8679000000","6640000000","1424000000","1988000000","1575000000","1329000000","None","None","1000000","None","12565000000","-9263000000","None","668000000","None","2735000000","None","1988000000","633000000","2621000000","None","None","None","6051000000","13292000000","7422000000","None","606000000"
"2018-10-31","USD","13657000000","49000000","None","159000000","4182000000","9475000000","40000000","511000000","1000000","12096000000","587000000","618000000","312000000","721000000","1608000000","3000000","3000000","-24000000","1292000000","11386000000","None","8808000000","6870000000","2219000000","1987000000","1417000000","1605000000","0","0","1000000","0","12096000000","-8489000000","None","312000000","None","2271000000","None","1987000000","587000000","2574000000","None","None","None","5891000000","13657000000","7591000000","None","625000000"
"2018-07-31","USD","12882000000","51000000","None","136000000","4087000000","8795000000","27000000","424000000","1000000","10957000000","638000000","618000000","220000000","718000000","1462000000","14000000","14000000","-23000000","1162000000","10831000000","None","8126000000","7225000000","1662000000","1987000000","1090000000","1448000000","0","0","1000000","0","10957000000","-7821000000","None","220000000","None","2051000000","None","1987000000","638000000","2625000000","None","None","None","5681000000","12882000000","7943000000","None","626000000"
"2018-04-30","USD","11460000000","55000000","None","131000000","3743000000","7717000000","18000000","335000000","1000000","9948000000","651000000","618000000","273000000","765000000","1106000000","14000000","14000000","-23000000","1066000000","9448000000","None","7044000000","6535000000","1220000000","1986000000","797000000","1092000000","0","0","1000000","0","9948000000","-7755000000","None","273000000","None","2012000000","None","1986000000","651000000","2637000000","None","None","None","5546000000","11460000000","7300000000","None","627000000"
"2018-01-31","USD","11241000000","52000000","None","86000000","3770000000","7471000000","15000000","509000000","1000000","8787000000","614000000","618000000","989000000","4002000000","1153000000","15000000","15000000","-18000000","997000000","9255000000","None","6801000000","3106000000","1265000000","1985000000","796000000","1138000000","0","0","1000000","0","8787000000","-6650000000","None","319000000","None","1986000000","None","1985000000","632000000","2617000000","None","None","None","5351000000","11241000000","7108000000","None","606000000"
"2017-10-31","USD","9830000000","63000000","None","135000000","3477000000","6352000000","10000000","477000000","1000000","7760000000","170000000","618000000","751000000","2802000000","1027000000","23000000","23000000","-14000000","600000000","8479000000","None","5672000000","3518000000","1167000000","1985000000","857000000","1004000000","0","0","1000000","0","7760000000","-6614000000","None","70000000","None","1351000000","1000000","1986000000","464000000","2450000000","None","1000000","None","5219000000","9830000000","6320000000","None","628000000"
"2017-07-31","USD","9402000000","76000000","None","125000000","3427000000","5973000000","6000000","500000000","1000000","7006000000","158000000","618000000","754000000","1988000000","1032000000","84000000","2076000000","-12000000","578000000","8070000000","None","5281000000","3889000000","1213000000","1984000000","855000000","948000000","0","0","1000000","0","7006000000","-6070000000","None","60000000","None","1332000000","3000000","1987000000","408000000","2395000000","None","2000000","None","5048000000","9402000000","5877000000","None","633000000"
"2017-04-30","USD","9410000000","90000000","None","113000000","3271000000","6132000000","5000000","405000000","1000000","6506000000","148000000","618000000","755000000","1989000000","983000000","215000000","215000000","-14000000","539000000","8116000000","None","5431000000","4217000000","976000000","1984000000","821000000","768000000","0","0","1000000","0","6506000000","-5297000000","None","47000000","None","1294000000","4000000","1988000000","300000000","2288000000","None","7000000","None","4936000000","9410000000","6206000000","None","641000000"
"2017-01-31","USD","9841000000","104000000","None","118000000","4048000000","5762000000","4000000","499000000","1000000","6108000000","161000000","618000000","784000000","1766000000","1788000000","796000000","796000000","-16000000","521000000","8536000000","None","5071000000","5032000000","826000000","1983000000","794000000","992000000","0","0","1000000","0","6108000000","-5039000000","None","62000000","None","1305000000","6000000","1989000000","271000000","2260000000","None","31000000","None","4708000000","9841000000","6798000000","None","585000000"
"2016-10-31","USD","9612000000","120000000","None","124000000","4243000000","5324000000","2000000","494000000","1000000","5529000000","125000000","618000000","802000000","1940000000","2041000000","1011000000","1011000000","-4000000","503000000","8307000000","None","4631000000","4731000000","833000000","1982000000","679000000","1030000000","0","0","1000000","45000000","5529000000","-4783000000","None","64000000","None","1305000000","7000000","1989000000","213000000","2202000000","None","45000000","None","4581000000","9612000000","6671000000","None","653000000"
