"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-10-31","USD","4726000000","1562000000","1766000000","2960000000","2101000000","1336000000","1047000000","None","1348000000","None","515000000","3000000","1398000000","None","53000000","12000000","7000000","-46000000","None","None","None","12000000","-4000000","None","1336000000","1336000000","None"
"2020-07-31","USD","3866000000","1624000000","1591000000","2275000000","1067000000","622000000","997000000","None","609000000","None","627000000","12000000","651000000","None","54000000","-13000000","13000000","-41000000","None","None","None","-13000000","-1000000","None","622000000","622000000","None"
"2020-04-30","USD","3080000000","1028000000","1076000000","2004000000","1113000000","917000000","735000000","None","981000000","None","293000000","30000000","976000000","None","25000000","64000000","31000000","6000000","None","None","None","64000000","-1000000","None","917000000","917000000","None"
"2020-01-31","USD","3105000000","1025000000","1090000000","2015000000","1029000000","951000000","739000000","None","1016000000","None","286000000","39000000","990000000","None","13000000","65000000","41000000","28000000","None","None","None","65000000","-3000000","None","951000000","951000000","None"
"2019-10-31","USD","3014000000","989000000","1098000000","1916000000","1063000000","899000000","712000000","None","959000000","None","277000000","45000000","927000000","None","13000000","60000000","45000000","32000000","None","None","None","60000000","32000000","None","899000000","899000000","None"
"2019-07-31","USD","2579000000","970000000","1038000000","1541000000","711000000","552000000","704000000","None","606000000","None","266000000","48000000","571000000","None","13000000","54000000","47000000","34000000","None","None","None","54000000","1000000","None","552000000","552000000","None"
"2019-04-30","USD","2220000000","938000000","924000000","1296000000","493000000","394000000","674000000","None","389000000","None","264000000","44000000","358000000","None","13000000","-5000000","44000000","31000000","None","None","None","-5000000","31000000","None","394000000","394000000","None"
"2019-01-31","USD","3105000000","1025000000","998000000","2015000000","1135000000","566000000","648000000","0","324000000","0","265000000","44000000","294000000","0","14000000","-12000000","None","None","230000000","0","0","-242000000","2000000","0","566000000","566000000","None"
"2018-10-31","USD","3181000000","863000000","1260000000","1921000000","1096000000","1230000000","605000000","0","1081000000","0","258000000","38000000","1058000000","0","15000000","None","None","None","0","0","0","-149000000","23000000","0","1230000000","1230000000","None"
"2018-07-31","USD","3123000000","818000000","1148000000","1975000000","1253000000","1101000000","581000000","0","1180000000","0","237000000","37000000","1157000000","0","14000000","None","None","None","0","0","0","79000000","23000000","0","1101000000","1101000000","None"
"2018-04-30","USD","3207000000","773000000","1139000000","2068000000","1326000000","1244000000","542000000","0","1311000000","0","231000000","31000000","1295000000","0","15000000","None","None","None","0","0","0","67000000","16000000","0","1244000000","1244000000","None"
"2018-01-31","USD","2205000000","728000000","1110000000","1207000000","646000000","1119000000","508000000","0","1080000000","0","220000000","22000000","1073000000","0","15000000","None","None","None","0","0","0","-39000000","-15000000","0","1119000000","1119000000","None"
"2017-10-31","USD","2636000000","674000000","1067000000","1569000000","960000000","838000000","462000000","0","896000000","0","212000000","16000000","895000000","0","15000000","None","None","None","0","0","0","58000000","4000000","0","838000000","838000000","None"
"2017-07-31","USD","2230000000","614000000","928000000","1302000000","748000000","583000000","416000000","0","684000000","0","198000000","11000000","688000000","0","15000000","None","None","None","0","0","0","101000000","15000000","0","583000000","583000000","None"
"2017-04-30","USD","1937000000","596000000","787000000","1150000000","599000000","507000000","411000000","0","536000000","0","185000000","-2000000","554000000","0","16000000","None","None","None","0","0","0","29000000","-18000000","0","507000000","507000000","None"
"2017-01-31","USD","2911000000","728000000","870000000","1801000000","1281000000","675000000","394000000","0","726000000","0","221000000","11000000","733000000","0","18000000","None","None","None","0","3000000","0","51000000","-32000000","0","675000000","675000000","None"
"2016-10-31","USD","2004000000","544000000","821000000","1183000000","637000000","542000000","373000000","0","621000000","0","171000000","-2000000","639000000","0","16000000","None","None","None","0","3000000","0","79000000","0","0","542000000","542000000","None"
"2016-07-31","USD","1428000000","509000000","602000000","826000000","329000000","253000000","350000000","0","317000000","0","157000000","12000000","317000000","0","12000000","None","None","None","0","2000000","0","64000000","0","0","253000000","253000000","None"
"2016-04-30","USD","1305000000","506000000","554000000","751000000","253000000","196000000","346000000","0","241000000","0","159000000","8000000","245000000","0","12000000","None","None","None","0","1000000","0","45000000","0","0","196000000","196000000","None"
"2016-01-31","USD","1401000000","540000000","611000000","790000000","265000000","208000000","343000000","0","254000000","0","163000000","15000000","250000000","0","11000000","None","None","None","0","34000000","0","46000000","-135000000","0","208000000","208000000","None"
"2015-10-31","USD","1305000000","489000000","571000000","734000000","257000000","246000000","329000000","0","245000000","0","152000000","12000000","245000000","0","12000000","None","None","None","0","8000000","0","-1000000","0","0","246000000","246000000","None"
