"date","open","high","low","close","volume"
"2021-02-05","20.6300","23.1400","19.8000","22.5600","73912957"
"2021-01-29","17.7500","24.6000","17.3200","20.0600","432240003"
"2020-12-31","15.9000","21.6500","14.7700","17.3100","620970195"
"2020-11-30","9.2600","17.2700","9.0300","15.7600","570049168"
"2020-10-30","9.9700","11.3350","8.5200","9.1300","517326306"
"2020-09-30","12.5900","12.9000","9.8300","10.0100","604339641"
"2020-08-31","15.7500","16.7400","12.7200","12.7400","476341223"
"2020-07-31","18.3200","18.8300","15.4100","15.7400","462985232"
"2020-06-30","12.9000","24.5000","12.6700","18.3000","1083715553"
"2020-05-29","16.0200","16.8100","12.7200","12.9500","712694030"
"2020-04-30","11.0400","18.2700","10.1200","16.6000","1166681779"
"2020-03-31","33.5800","34.6300","9.0000","11.5800","1052976946"
"2020-02-28","39.7000","43.6000","29.6400","32.7400","218055350"
"2020-01-31","41.6300","47.5800","39.4200","39.7200","238197282"
"2019-12-31","38.8400","41.2200","37.2500","41.2100","215525511"
"2019-11-29","40.7500","44.6200","37.6000","38.5700","237482432"
"2019-10-31","44.6700","45.4200","39.9700","40.5000","165932173"
"2019-09-30","42.8600","48.8500","42.3700","44.4700","182353470"
"2019-08-30","51.0000","54.0500","41.8300","43.4800","247598564"
"2019-07-31","51.0000","52.7000","47.9500","51.3600","162358653"
"2019-06-28","50.3000","51.6300","47.0000","50.2800","184973035"
"2019-05-31","59.1000","60.7300","49.6900","49.7700","335176734"
"2019-04-30","66.8900","68.8300","57.5400","58.8800","180574923"
"2019-03-29","66.3700","67.9800","62.1200","66.2000","87767488"
"2019-02-28","67.2600","68.3100","63.3800","66.1500","83626227"
"2019-01-31","60.5200","67.4600","59.7200","66.7800","99599744"
"2018-12-31","72.0400","72.4300","56.8300","61.3800","119304805"
"2018-11-30","67.1800","75.7900","66.8600","70.2700","117101230"
"2018-10-31","82.3200","83.3500","65.6500","67.0700","119920524"
"2018-09-28","80.0400","83.0800","74.6900","82.1700","89783004"
"2018-08-31","83.0900","83.2600","76.1000","79.8700","102524420"
"2018-07-31","83.0400","86.6000","81.2900","83.9300","82509283"
"2018-06-29","84.6500","87.6700","80.8300","83.6800","108378477"
"2018-05-31","76.9600","86.3800","75.9700","84.2000","109431067"
"2018-04-30","64.8600","78.1100","63.4400","77.2600","115900489"
"2018-03-29","65.7000","67.6200","62.4700","64.9600","123092424"
"2018-02-28","75.0200","76.2800","65.5900","65.6000","100000400"
"2018-01-31","74.0100","78.0900","73.4900","74.9700","73383066"
"2017-12-29","70.7500","74.0600","68.2800","73.6600","69489376"
"2017-11-30","65.1600","70.6100","65.0700","70.5000","93405839"
"2017-10-31","63.8100","66.2400","63.4700","64.5700","78461169"
"2017-09-29","59.6900","65.7000","59.2800","64.2100","77387946"
"2017-08-31","62.1000","62.2300","58.4400","59.7000","73539978"
"2017-07-31","60.1700","63.0200","57.8400","61.9300","69766778"
"2017-06-30","59.0900","62.1600","58.0700","59.8700","122990174"
"2017-05-31","61.5400","62.1200","57.2000","58.9300","111490797"
"2017-04-28","63.3800","65.7300","61.0300","61.5400","82511408"
"2017-03-31","66.2100","66.7900","61.0100","63.3600","132669264"
"2017-02-28","67.9300","69.9000","64.1875","65.5500","103126332"
"2017-01-31","72.2700","72.9600","67.3200","67.7700","89708957"
"2016-12-30","72.9000","73.5100","67.8100","71.2300","90365210"
"2016-11-30","72.4500","72.8400","64.3700","71.3600","137586334"
"2016-10-31","72.9200","75.6000","71.7700","72.9100","94520380"
"2016-09-30","76.5500","78.1700","67.8300","72.9200","103992958"
"2016-08-31","74.4000","78.4800","72.1100","76.8500","82838150"
"2016-07-29","75.4300","77.6600","73.2500","74.7300","66498890"
"2016-06-30","74.9000","78.3100","72.5000","75.5600","85178185"
"2016-05-31","76.2200","77.3500","73.8200","75.4400","88482145"
"2016-04-29","67.2300","78.0900","66.9400","76.6500","78130160"
"2016-03-31","69.2500","71.6600","66.2000","68.4300","98156650"
"2016-02-29","67.5400","72.1900","63.2400","68.8200","109929515"
"2016-01-29","67.0900","68.8300","58.2400","68.8300","138041836"
"2015-12-31","75.6800","77.1700","64.8900","67.6100","121987648"
"2015-11-30","73.9900","77.3700","72.3600","75.5900","77681114"
"2015-10-30","67.0300","75.5600","65.2500","74.5400","108783414"
"2015-09-30","70.6800","72.5300","63.6000","66.1500","104860531"
"2015-08-31","69.4700","74.2500","64.8300","73.0100","122337129"
"2015-07-31","77.5300","77.7599","67.3000","70.2000","95351872"
"2015-06-30","78.8900","79.8900","76.9000","77.7700","97517684"
"2015-05-29","79.9600","82.0200","75.6000","78.1900","87852655"
"2015-04-30","74.2200","82.0600","73.3500","80.1000","92187753"
"2015-03-31","77.8600","78.8000","71.7000","73.0000","103376035"
"2015-02-27","81.7800","83.7400","77.6800","77.8800","96037146"
"2015-01-30","80.0100","81.3550","73.1450","80.0000","118564264"
"2014-12-31","77.3400","83.2500","72.3200","80.6100","165218012"
"2014-11-28","88.9900","89.3800","78.5100","79.7700","111184789"
"2014-10-31","96.0100","97.1400","82.3000","88.9300","135490653"
"2014-09-30","103.4300","103.6900","95.7000","96.1500","83923502"
"2014-08-29","97.6400","104.4800","96.8400","103.7300","58513381"
"2014-07-31","103.7700","104.0400","97.4800","97.7100","68492100"
"2014-06-30","99.7900","105.6400","99.4000","102.6300","82344300"
"2014-05-30","95.7400","99.8800","93.8000","99.6900","77178400"
"2014-04-30","95.3900","98.2100","93.2700","95.7500","79412300"
"2014-03-31","95.7900","97.8400","91.2000","95.2900","87542000"
"2014-02-28","87.8000","97.1700","85.9000","96.5200","89084700"
"2014-01-31","94.5100","95.6900","86.5001","87.5700","84635600"
"2013-12-31","95.1300","95.6000","90.1300","95.1000","76492200"
"2013-11-29","96.0500","99.4200","94.5200","94.9600","65539700"
"2013-10-31","93.4400","98.7000","92.9200","96.0800","78156800"
"2013-09-30","88.9400","94.5000","87.7100","93.5400","75420800"
"2013-08-30","89.6500","90.0980","84.9100","88.2100","74252000"
"2013-07-31","89.9200","92.6700","86.1200","89.0500","78710500"
"2013-06-28","93.0000","95.3100","87.5600","89.2300","90017600"
"2013-05-31","88.4800","95.5700","86.9101","92.0700","129573500"
"2013-04-30","78.4500","89.8900","77.9100","89.2600","153202600"
