"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-09-30","USD","84434000000","None","None","5004000000","64574000000","19860000000","18175000000","1790000000","216000000","4317000000","16495000000","0","998000000","1947000000","10500000000","2558000000","2525000000","-283000000","68421000000","10694000000","4123000000","10098000000","None","2083000000","35899000000","1660000000","6152000000","None","None","216000000","9762000000","4317000000","-10657000000","None","1196000000","None","73740000000","1570000000","35899000000","3043000000","54074000000","None","None","None","16505000000","84434000000","1947000000","-52038000000","1079959455"
"2020-06-30","USD","89452000000","None","None","3466000000","66106000000","23346000000","20153000000","1210000000","213000000","8105000000","17465000000","None","1154000000","1135000000","9919000000","2460000000","2460000000","-312000000","72604000000","8437000000","7282000000","13584000000","None","2359000000","36034000000","1477000000","6249000000","None","None","213000000","9762000000","8105000000","-10657000000","None","1129000000","None","81015000000","1160000000","36034000000","4394000000","56187000000","None","None","None","16235000000","89452000000","1135000000","-52919000000","1066776168"
"2020-03-31","USD","101643000000","None","None","7952000000","70348000000","31295000000","22327000000","2344000000","210000000","17229000000","19605000000","0","1217000000","2263000000","11963000000","2464000000","2464000000","-334000000","79073000000","14109000000","7268000000","21533000000","None","2458000000","36058000000","1436000000","7155000000","None","None","210000000","9762000000","17229000000","-10653000000","None","1193000000","None","87534000000","1221000000","36058000000","4743000000","58385000000","None","None","None","15081000000","101643000000","2263000000","-44389000000","1048430898"
"2019-12-31","USD","109330000000","None","None","7349000000","75098000000","34232000000","21612000000","2579000000","209000000","20180000000","19982000000","0","2401000000","3512000000","14949000000","51000000","51000000","-221000000","80469000000","18681000000","8795000000","24470000000","None","6373000000","38537000000","1447000000","12319000000","None","None","209000000","9762000000","20180000000","-10653000000","None","1385000000","None","90649000000","1770000000","38537000000","3814000000","60149000000","None","None","None","14955000000","109330000000","3512000000","-41878000000","1044435000"
"2019-09-30","USD","125443000000","2387000000","None","8195000000","84438000000","36080000000","21158000000","2666000000","209000000","22227000000","19603000000","6074000000","1142000000","5294000000","15697000000","31000000","31000000","-332000000","90121000000","20944000000","4839000000","17857000000","None","5854000000","47583000000","1601000000","13000000000","None","None","209000000","9762000000","22227000000","-10653000000","None","1078000000","None","104499000000","1139000000","47583000000","3566000000","68741000000","None","None","None","14867000000","125443000000","5294000000","-46804000000","1043641000"
"2019-06-30","USD","44770000000","None","None","819000000","23423000000","21347000000","5388000000","252000000","179000000","23848000000","4943000000","None","772000000","1751000000","7880000000","116000000","116000000","-184000000","32115000000","9425000000","2549000000","21347000000","None","5273000000","10155000000","1582000000","7512000000","None","None","179000000","None","23848000000","-10653000000","None","681000000","None","35345000000","697000000","10155000000","977000000","15543000000","None","None","None","8157000000","44770000000","1751000000","None","896720621"
"2019-03-31","USD","44380000000","None","None","724000000","23144000000","21236000000","5404000000","240000000","179000000","23795000000","4939000000","None","8000000","1752000000","7537000000","116000000","116000000","-168000000","31900000000","9270000000","2526000000","21236000000","None","5300000000","10203000000","1484000000","7181000000","None","None","179000000","None","23795000000","-10653000000","None","684000000","None","35110000000","705000000","10203000000","1020000000","15607000000","None","None","None","8083000000","44380000000","1752000000","None","896293910"
"2018-12-31","USD","43854000000","None","None","746000000","22524000000","21330000000","4911000000","809000000","179000000","23750000000","4911000000","None","805000000","3033000000","7412000000","116000000","116000000","-172000000","31437000000","9932000000","2485000000","21330000000","None","4893000000","10201000000","1260000000","7296000000","None","None","179000000","None","23750000000","-10473000000","None","None","None","33922000000","None","10201000000","None","15112000000","None","None","None","8046000000","43854000000","3033000000","-42983000000","895116000"
"2018-09-30","USD","44957000000","0","None","1149000000","23464000000","21489000000","4894000000","656000000","179000000","23635000000","4894000000","0","1122000000","2954000000","8372000000","116000000","116000000","-154000000","31155000000","11112000000","2690000000","21489000000","73000000","6000000000","10198000000","1009000000","8256000000","21493000000","0","179000000","0","23635000000","-10162000000","None","None","None","33845000000","None","10198000000","None","15092000000","None","None","None","7991000000","44957000000","2954000000","None","894874771"
"2018-06-30","USD","44067000000","0","None","2760000000","23136000000","20931000000","4746000000","145000000","179000000","22361000000","4746000000","0","1094000000","1362000000","8078000000","10312000000","10312000000","-308000000","30432000000","10990000000","2645000000","20931000000","73000000","5521000000","10312000000","1347000000","7933000000","0","0","179000000","0","22361000000","-9268000000","None","None","None","33077000000","None","10312000000","None","15058000000","None","None","None","7967000000","44067000000","1362000000","None","894243621"
"2018-03-31","USD","42808000000","0","None","1047000000","22086000000","20722000000","4707000000","199000000","179000000","22107000000","4707000000","0","1061000000","1606000000","7070000000","10309000000","10309000000","-312000000","31344000000","8894000000","2570000000","20722000000","71000000","5184000000","10309000000","1057000000","7070000000","0","0","179000000","0","22107000000","-9168000000","None","None","None","33914000000","None","10309000000","None","15016000000","None","None","None","7916000000","42808000000","1606000000","None","894134418"
"2017-12-31","USD","42026000000","0","None","1207000000","21454000000","20572000000","4726000000","2492000000","179000000","21935000000","4145000000","0","2582000000","1672000000","7400000000","500000000","500000000","-258000000","31174000000","8270000000","2582000000","20572000000","53000000","4145000000","9328000000","1246000000","6900000000","0","7884000000","179000000","0","21935000000","-9168000000","None","None","None","33756000000","None","9328000000","None","14054000000","None","None","None","7884000000","42026000000","1672000000","-39072000000","893469000"
"2017-09-30","USD","41443000000","0","None","483000000","20774000000","20669000000","5086000000","2128000000","179000000","22032000000","4108000000","0","2333000000","1806000000","6362000000","500000000","500000000","-238000000","32065000000","7045000000","2333000000","20669000000","33000000","3749000000","9326000000","1007000000","5862000000","0","0","179000000","0","22032000000","-9154000000","None","None","None","34398000000","None","9326000000","None","14412000000","None","None","None","7850000000","41443000000","1806000000","None","893416414"
"2017-06-30","USD","41982000000","0","None","1024000000","20945000000","21037000000","5230000000","16000000","179000000","22435000000","4171000000","0","2441000000","2218000000","6391000000","500000000","9824000000","-252000000","31466000000","8075000000","2441000000","21037000000","21000000","3913000000","9324000000","920000000","5875000000","0","0","179000000","0","22435000000","-9149000000","None","None","None","33907000000","None","9324000000","None","14554000000","None","None","None","7824000000","41982000000","2218000000","None","892647217"
"2017-03-31","USD","42465000000","0","None","1423000000","21386000000","21079000000","5212000000","126000000","179000000","22513000000","4181000000","0","2222000000","1494000000","6852000000","500000000","500000000","-253000000","32005000000","8238000000","2222000000","21079000000","25000000","4316000000","9322000000","1005000000","6226000000","0","0","179000000","0","22513000000","-9143000000","None","None","None","34227000000","None","9322000000","None","14534000000","None","None","None","7783000000","42465000000","1494000000","None","892559026"
"2016-12-31","USD","43109000000","0","None","1340000000","21612000000","21497000000","5431000000","2436000000","178000000","22981000000","4299000000","0","2344000000","2233000000","6362000000","9819000000","9819000000","-266000000","32337000000","8428000000","2344000000","21497000000","25000000","3989000000","9819000000","866000000","6362000000","0","7747000000","178000000","0","22981000000","-9143000000","None","None","None","34681000000","None","9819000000","None","15250000000","None","None","None","7747000000","43109000000","2233000000","-38956000000","892214604"
"2016-09-30","USD","41630000000","0","None","1083000000","19334000000","22296000000","5313000000","2296000000","178000000","23836000000","3902000000","0","2500000000","3180000000","5688000000","500000000","500000000","-294000000","30419000000","8711000000","2500000000","22296000000","32000000","3521000000","8333000000","927000000","5688000000","0","0","178000000","0","23836000000","-9143000000","None","None","None","32919000000","None","8333000000","None","13646000000","None","None","None","7719000000","41630000000","3180000000","None","892165801"
"2016-06-30","USD","42395000000","0","None","1202000000","19294000000","23101000000","5696000000","2141000000","178000000","24661000000","4050000000","0","2385000000","3751000000","5267000000","500000000","500000000","-299000000","31038000000","8972000000","2385000000","23101000000","44000000","3113000000","8331000000","906000000","5267000000","0","0","178000000","0","24661000000","-9136000000","None","None","None","33423000000","None","8331000000","None","14027000000","None","None","None","7697000000","42395000000","3751000000","None","891807415"
"2016-03-31","USD","42018000000","0","None","1284000000","18229000000","23789000000","5795000000","2025000000","178000000","25375000000","4153000000","0","2276000000","3176000000","6826000000","2000000000","2000000000","-304000000","31505000000","8237000000","2276000000","23789000000","33000000","2780000000","5608000000","997000000","4826000000","0","0","178000000","0","25375000000","-9128000000","None","None","None","33781000000","None","5608000000","None","11403000000","None","None","None","7668000000","42018000000","3176000000","None","-891624558"
