"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-09-30","USD","-292000000","4708000000","-292000000","-46000000","331000000","301000000","-41000000","-1432000000","-3575000000","861000000","852000000","2109000000","1915000000","-7000000","18000000","None","None","-200000000","246000000","None","None","861000000"
"2020-06-30","USD","-576000000","-290000000","-576000000","-194000000","-367000000","-935000000","132000000","-132000000","-8131000000","-1151000000","360000000","6305000000","2186000000","-714000000","14000000","111000000","None","89000000","382000000","90000000","None","-1151000000"
"2020-03-31","USD","-1530000000","-4353000000","-1530000000","-237000000","-4615000000","-1019000000","-196000000","324000000","-2013000000","-1210000000","1339000000","2085000000","2242000000","-913000000","90000000","-70000000","None","-461000000","1293000000","3909000000","None","-1210000000"
"2019-12-31","USD","-1301000000","852000000","-1301000000","730000000","-3250000000","-2499000000","262000000","-1320000000","-1036000000","-1791000000","2009000000","-939000000","2271000000","-858000000","-112000000","77000000","-44000000","828000000","2171000000","-44000000","None","-1791000000"
"2019-09-30","USD","-140000000","0","-25023000000","-23169000000","16956000000","26232000000","-32000000","-1320000000","-752000000","3614000000","2405000000","2473000000","1706000000","-588000000","9896000000","77000000","-44000000","-1022000000","1714000000","None","None","3614000000"
"2019-06-30","USD","-1288000000","0","-1288000000","-77000000","-108000000","-726000000","-2000000","-1320000000","635000000","-1000000","2013000000","242000000","1031000000","-587000000","-29000000","77000000","-44000000","105000000","1211000000","None","None","-1000000"
"2019-03-31","USD","-1415000000","0","-1415000000","-156000000","-1791000000","-814000000","-2000000","-884000000","631000000","-1281000000","948000000","-884000000","973000000","-591000000","-221000000","77000000","-44000000","228000000","1259000000","None","None","-1281000000"
"2018-12-31","USD","362000000","233000000","-1506000000","-169000000","-108000000","-915000000","7000000","1163000000","706000000","79000000","2500000000","544000000","1086000000","-594000000","-328000000","-108000000","-740000000","779000000","1337000000","-740000000","None","79000000"
"2018-09-30","USD","-88000000","0","586000000","1905000000","-108000000","-1398000000","4000000","-149000000","1869000000","1592000000","2404000000","77000000","1023000000","-595000000","-803000000","-108000000","-740000000","-565000000","1319000000","None","None","1592000000"
"2018-06-30","USD","-88000000","0","-1315000000","-28000000","None","-685000000","2000000","-232000000","848000000","-244000000","1756000000","-205000000","947000000","-593000000","-94000000","-108000000","-740000000","166000000","1287000000","None","None","-244000000"
"2018-03-31","USD","-88000000","0","-971000000","61000000","478000000","-104000000","2000000","-688000000","708000000","-66000000","1009000000","-658000000","921000000","-592000000","10000000","-108000000","-740000000","38000000","1032000000","None","None","-66000000"
"2017-12-31","USD","213000000","107000000","-953000000","207000000","478000000","-602000000","42000000","39000000","497000000","-134000000","1421000000","161000000","1076000000","-592000000","-10000000","-349000000","-158000000","87000000","1160000000","-158000000","None","-134000000"
"2017-09-30","USD","-8000000","0","-899000000","48000000","478000000","-583000000","2000000","-4000000","190000000","-412000000","1070000000","None","995000000","-586000000","3000000","0","0","-115000000","947000000","None","None","-412000000"
"2017-06-30","USD","-67000000","0","-543000000","227000000","478000000","-586000000","None","83000000","507000000","724000000","1853000000","820000000","989000000","-584000000","-2000000","0","0","-463000000","770000000","None","None","724000000"
"2017-03-31","USD","-67000000","107000000","-819000000","-97000000","None","-572000000","None","-397000000","117000000","-739000000","652000000","-384000000","942000000","-584000000","12000000","0","0","-23000000","722000000","None","None","-739000000"
"2016-12-31","USD","-2020000000","620000000","-2766000000","150000000","1485000000","904000000","1193000000","65000000","-272000000","-947000000","915000000","701000000","1050000000","-585000000","4000000","17000000","-1091000000","-110000000","872000000","-1091000000","None","-947000000"
"2016-09-30","USD","-61000000","620000000","-642000000","-44000000","1485000000","-579000000","1193000000","42000000","-241000000","-571000000","650000000","181000000","1046000000","-575000000","-4000000","0","0","-336000000","598000000","None","None","-571000000"
"2016-06-30","USD","-104000000","620000000","-697000000","-120000000","708000000","143000000","2386000000","-132000000","-139000000","575000000","1129000000","-132000000","1070000000","-575000000","10000000","0","0","330000000","601000000","None","None","575000000"
"2016-03-31","USD","-24000000","620000000","-637000000","33000000","-700000000","-77000000","-1193000000","-683000000","78000000","-25000000","689000000","-683000000","1102000000","-574000000","4000000","0","0","192000000","646000000","None","None","-25000000"
"2015-12-31","USD","-57000000","-2320000000","-305000000","832000000","1478000000","-6000000","5080000000","33000000","-5178000000","654000000","965000000","10403000000","1276000000","-574000000","-4000000","-24000000","1431000000","-4623000000","1080000000","1431000000","None","654000000"
"2015-09-30","USD","-9000000","None","-1229000000","-93000000","None","1490000000","-618000000","None","-2609000000","-209000000","1020000000","-1130000000","1123000000","-577000000","-39000000","0","0","3636000000","1127000000","None","None","-209000000"
