"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-09-30","USD","4108000000","2526000000","618000000","3490000000","1175000000","-3575000000","None","None","-4058000000","None","577000000","211000000","964000000","1915000000","353000000","-378000000","-988000000","-332000000","105000000","34000000","None","-403000000","-3363000000","80000000","-3655000000","-3778000000","203000000"
"2020-06-30","USD","2928000000","2708000000","3541000000","-613000000","992000000","-8353000000","None","None","-8184000000","None","407000000","117000000","-357000000","2119000000","310000000","-1468000000","33000000","-277000000","-1415000000","182000000","None","-1468000000","-6487000000","-1415000000","-6716000000","-8353000000","None"
"2020-03-31","USD","6410000000","3064000000","4293000000","2117000000","3028000000","-2232000000","None","None","-2095000000","None","260000000","-718000000","2734000000","2242000000","352000000","-82000000","34000000","-318000000","None","185000000","None","-82000000","-2662000000","-1415000000","-2013000000","-2232000000","None"
"2019-12-31","USD","6282000000","5033000000","4380000000","1902000000","2686000000","-1169000000","None","None","-820000000","103000000","337000000","365000000","1526000000","2271000000","434000000","46000000","42000000","-392000000","None","785000000","None","46000000","-872000000","-1415000000","-866000000","-1169000000","None"
"2019-09-30","USD","5687000000","3496000000","3850000000","1837000000","2620000000","-912000000","None","None","-621000000","42000000","803000000","71000000","1233000000","1706000000","381000000","116000000","56000000","-325000000","-15000000","987000000","None","116000000","-1050000000","-15000000","-737000000","-912000000","None"
"2019-06-30","USD","4420000000","1239000000","2848000000","3034000000","2063000000","538000000","None","None","844000000","4925000000","163000000","97000000","1795000000","1031000000","153000000","306000000","41000000","-112000000","None","85000000","None","306000000","-35000000","-15000000","538000000","538000000","None"
"2019-03-31","USD","4004000000","1120000000","2683000000","1321000000","1847000000","558000000","None","None","783000000","4925000000","140000000","73000000","1539000000","973000000","98000000","225000000","-151000000","-20000000","None","36000000","None","225000000","7000000","-15000000","558000000","558000000","None"
"2018-12-31","USD","4762000000","1242000000","3040000000","1722000000","2214000000","934000000","0","0","729000000","4925000000","473000000","-866000000","1566000000","1086000000","99000000","None","None","None","25000000","50000000","0","126000000","155000000","-15000000","934000000","934000000","None"
"2018-09-30","USD","5216000000","1157000000","2809000000","2407000000","2899000000","1782000000","0","0","2492000000","4000000","431000000","1013000000","2273000000","1023000000","96000000","None","None","None","0","24000000","0","710000000","933000000","0","1782000000","1782000000","None"
"2018-06-30","USD","4083000000","1083000000","2412000000","1671000000","2118000000","770000000","0","0","1072000000","4000000","402000000","88000000","1535000000","947000000","97000000","None","None","None","0","21000000","0","302000000","17000000","0","770000000","770000000","None"
"2018-03-31","USD","3763000000","1044000000","2284000000","1479000000","1999000000","645000000","0","0","984000000","4000000","307000000","96000000","1356000000","921000000","97000000","None","None","None","0","15000000","0","339000000","-2000000","0","645000000","645000000","None"
"2017-12-31","USD","3492000000","1221000000","2401000000","1091000000","428000000","497000000","0","0","-14000000","0","448000000","-518000000","946000000","1076000000","87000000","None","None","None","0","55000000","0","-431000000","634000000","0","497000000","497000000","None"
"2017-09-30","USD","2999000000","1079000000","2352000000","647000000","1226000000","190000000","0","0","215000000","0","76000000","146000000","563000000","995000000","91000000","None","None","None","0","8000000","0","85000000","0","0","190000000","190000000","None"
"2017-06-30","USD","3060000000","1074000000","2475000000","585000000","1168000000","507000000","0","0","605000000","0","77000000","699000000","500000000","989000000","86000000","None","None","None","0","8000000","0","285000000","0","0","507000000","507000000","None"
"2017-03-31","USD","2957000000","1021000000","2368000000","589000000","1201000000","117000000","0","0","165000000","0","272000000","30000000","510000000","942000000","81000000","None","None","None","0","11000000","0","78000000","0","0","117000000","117000000","None"
"2016-12-31","USD","2518000000","2881000000","1326000000","1192000000","-1650000000","-272000000","0","0","-640000000","0","67000000","39000000","-1689000000","1050000000","76000000","None","None","None","0","17000000","0","-333000000","-58000000","-4000000","-268000000","-272000000","None"
"2016-09-30","USD","2733000000","1116000000","1338000000","1395000000","337000000","-241000000","0","0","-326000000","0","61000000","58000000","279000000","1046000000","68000000","None","None","None","0","9000000","0","-30000000","0","-3000000","-238000000","-241000000","None"
"2016-06-30","USD","2558000000","338000000","1244000000","1314000000","1027000000","-139000000","0","0","-283000000","0","74000000","51000000","976000000","1070000000","88000000","None","None","None","0","27000000","0","-96000000","0","-3000000","-136000000","-139000000","None"
"2016-03-31","USD","2281000000","272000000","1281000000","1000000000","761000000","78000000","0","0","-596000000","0","75000000","33000000","728000000","1102000000","60000000","None","None","None","0","9000000","0","-203000000","0","438000000","-360000000","78000000","None"
"2015-12-31","USD","2676000000","320000000","325000000","2351000000","2066000000","-5178000000","0","0","-6749000000","0","50000000","35000000","2031000000","2305000000","61000000","None","None","None","0","13000000","0","-1190000000","-4935000000","327000000","-5505000000","-5178000000","None"
"2015-09-30","USD","3246000000","292000000","1413000000","1833000000","1601000000","-2609000000","0","0","-3111000000","0","79000000","60000000","1541000000","1123000000","48000000","None","None","None","0","5000000","0","-445000000","0","-3000000","-2606000000","-2609000000","None"
