"date","open","high","low","close","volume"
"2021-02-05","20.6300","23.1400","19.8000","22.5600","73912957"
"2021-01-29","21.0000","22.4200","19.4600","20.0600","96635056"
"2021-01-22","23.0500","23.7500","20.2600","21.4900","73642334"
"2021-01-15","19.2500","24.6000","19.0000","22.3900","126437454"
"2021-01-08","17.7500","21.1500","17.3200","20.0800","135525159"
"2020-12-31","17.7200","18.1400","17.0900","17.3100","63855450"
"2020-12-24","17.0100","18.3850","16.8750","17.6700","84421750"
"2020-12-18","21.4300","21.6500","18.4500","18.5200","135936709"
"2020-12-11","17.8300","21.6100","17.5500","20.8900","193040077"
"2020-12-04","16.2400","18.6100","14.7700","18.5900","174772657"
"2020-11-27","13.8500","17.2700","13.8300","16.5600","142020558"
"2020-11-20","12.5000","13.7150","12.2500","13.4900","113018060"
"2020-11-13","11.5500","12.7000","11.1850","11.8000","157017383"
"2020-11-06","9.2600","10.6200","9.0300","10.0100","126936719"
"2020-10-30","9.7900","9.8368","8.5200","9.1300","130347659"
"2020-10-23","10.1900","10.3600","9.6600","10.0200","107349889"
"2020-10-16","10.6400","10.9600","10.0000","10.0900","92322931"
"2020-10-09","10.1000","11.3350","10.0100","10.8200","125743298"
"2020-10-02","10.4200","10.6500","9.2300","9.8700","137125688"
"2020-09-25","11.0900","11.5850","10.1100","10.2200","118668657"
"2020-09-18","10.2200","12.0900","9.9300","11.6500","181686700"
"2020-09-11","11.8700","11.9800","9.8300","10.2200","137390398"
"2020-09-04","13.1600","13.1700","12.1200","12.2500","108944561"
"2020-08-28","13.1300","14.0300","12.7200","13.1300","89042872"
"2020-08-21","14.4700","14.5100","12.9300","13.1600","110273714"
"2020-08-14","15.6700","16.7400","14.3600","14.6400","150137696"
"2020-08-07","15.7500","16.4867","14.9600","15.4500","108973107"
"2020-07-31","16.7300","17.0400","15.4100","15.7400","87998131"
"2020-07-24","16.2500","18.0300","15.6800","16.7400","109473065"
"2020-07-17","16.7600","17.7300","15.7500","16.2800","100506575"
"2020-07-10","18.2100","18.5400","15.9500","16.7100","104096480"
"2020-07-02","17.8500","18.8300","17.2700","17.7800","111888397"
"2020-06-26","19.8500","20.5200","17.3500","17.6900","151212173"
"2020-06-19","17.3400","20.9600","17.1000","19.7100","247720297"
"2020-06-12","23.5300","24.5000","17.2600","18.5000","358853142"
"2020-06-05","12.9000","20.8500","12.6700","20.7900","274952525"
"2020-05-29","14.7000","14.7700","12.7200","12.9500","160493246"
"2020-05-22","14.8000","15.2300","13.6700","14.1300","159702080"
"2020-05-15","14.8900","15.3800","12.7500","13.8200","144808776"
"2020-05-08","14.3700","16.8100","13.3900","15.0200","210860602"
"2020-05-01","13.3500","17.2400","12.7500","15.2400","226662280"
"2020-04-24","12.0400","14.5000","11.5000","13.8100","277623010"
"2020-04-17","15.9600","16.0200","12.1600","13.6300","222920746"
"2020-04-09","12.6000","18.2700","12.4300","15.3600","265695794"
"2020-04-03","11.3200","14.2000","10.1200","13.0000","290683125"
"2020-03-27","10.2500","15.2900","9.4700","11.6100","238713075"
"2020-03-20","11.4000","13.6800","9.0000","10.2300","201718686"
"2020-03-13","15.5800","19.1900","9.4400","14.2600","423301154"
"2020-03-06","33.5800","34.6300","26.2700","26.8600","109170181"
"2020-02-28","40.5000","40.5500","29.6400","32.7400","104886876"
"2020-02-21","41.6000","43.6000","40.9800","42.1200","33701185"
"2020-02-14","41.4900","42.6100","40.1800","41.6000","43045903"
"2020-02-07","39.7000","42.4500","39.4400","41.8900","36421386"
"2020-01-31","41.0200","41.6600","39.4200","39.7200","48696341"
"2020-01-24","45.3700","45.4500","41.8400","42.2200","43344287"
"2020-01-17","46.2600","47.5800","45.5200","45.8300","51828591"
"2020-01-10","43.9800","46.2100","43.6900","45.9000","66164351"
"2020-01-03","40.2500","44.2500","40.1600","43.6100","49020789"
"2019-12-27","39.0100","40.5800","38.9900","40.1600","27814750"
"2019-12-20","37.9900","39.2300","37.9800","39.0100","57305927"
"2019-12-13","38.0300","38.8100","37.2500","37.7100","56945627"
"2019-12-06","38.8400","39.1600","37.5400","39.0100","52602130"
"2019-11-29","39.7700","40.5700","38.3100","38.5700","35347592"
"2019-11-22","39.1500","39.9400","37.7000","39.5800","54705397"
"2019-11-15","39.1300","39.3400","37.6000","38.9500","59733124"
"2019-11-08","42.9900","44.6200","38.3000","40.1000","78672787"
"2019-11-01","42.6700","42.9900","40.1100","42.2900","38106416"
"2019-10-25","40.5700","43.1000","40.2800","42.5300","37757119"
