"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-09-30","USD","6415497000","526519000","None","138106000","5774073000","631999000","73720000","116106000","3385000","-1778877000","370908000","2633585000","569324000","1668352000","688716000","33452000","33452000","-146103000","488214000","2088247000","23618000","-2528138000","None","281789000","4639125000","None","539158000","None","None","3385000","33000","-1778877000","-474165000","None","613783000","None","41531000","None","4639125000","372512000","5085357000","None","None","None","3027726000","6415497000","1668352000","None","317233000"
"2020-06-30","USD","6129206000","541471000","None","138691000","5803184000","316722000","78033000","105282000","2971000","-1466428000","351975000","2631900000","568883000","1306288000","764411000","77876000","77876000","-157432000","540220000","1736459000","23860000","-2856649000","None","291480000","4608478000","None","581253000","None","None","2971000","None","-1466428000","-474105000","None","628048000","None","27248000","None","4608478000","352262000","5038773000","None","None","None","2411716000","6129206000","1306288000","None","275872000"
"2020-03-31","USD","5709858000","557502000","None","150470000","5027147000","673340000","77816000","100146000","2965000","-1022297000","358077000","2631077000","618165000","684472000","968329000","79770000","79770000","-168609000","594132000","1195619000","24503000","-2515239000","None","360677000","3619312000","None","788413000","None","None","2965000","None","-1022297000","-473890000","None","671067000","None","35958000","None","3619312000","361690000","4058818000","None","None","None","2335171000","5709858000","684472000","None","275314000"
"2019-12-31","USD","5689957000","573653000","None","139211000","4742288000","939081000","107402000","156572000","2943000","-763482000","397036000","2633251000","627726000","436176000","1025543000","81614000","81614000","-149306000","641722000","1121920000","27494000","-2267823000","None","546533000","3261821000","None","787357000","None","None","2943000","None","-763482000","-468618000","None","670105000","None","21812000","49970000","3261821000","347522000","3716745000","None","None","None","2317544000","5689957000","436176000","None","273733000"
"2019-09-30","USD","5720734000","563689000","None","141043000","4764623000","948188000","97634000","164863000","2944000","-735250000","364724000","2549004000","663863000","473428000","1063268000","82167000","82167000","-152626000","658105000","1195948000","27993000","-2164505000","None","581477000","3280204000","None","816238000","None","None","2944000","None","-735250000","-468366000","None","699095000","None","26900000","None","3280204000","323517000","3701355000","None","None","None","2301486000","5720734000","473428000","None","273851000"
"2019-06-30","USD","5770071000","580890000","None","151328000","4850383000","912536000","113649000","195666000","2942000","-760753000","369225000","2551736000","680025000","396848000","1120348000","82661000","82661000","-144416000","708579000","1152579000","27132000","-2220090000","None","604403000","3298922000","None","842021000","None","None","2942000","None","-760753000","-467232000","None","718286000","None","30869000","None","3298922000","317464000","3730035000","None","None","None","2281995000","5770071000","396848000","None","273632000"
"2019-03-31","USD","5859563000","596571000","None","163841000","4893964000","957500000","119062000","194179000","2939000","-750310000","376308000","2550983000","689436000","459487000","1147162000","75548000","75548000","-137252000","753949000","1241291000","27333000","-2190054000","None","617963000","3318203000","None","877435000","None","None","2939000","None","-750310000","-420301000","None","665626000","None","23810000","None","3318203000","309537000","3746802000","None","None","None","2262424000","5859563000","459487000","None","275629000"
"2018-12-31","USD","5806381000","613248000","None","170243000","4832110000","967066000","135753000","185159000","2917000","-768566000","476248000","2552369000","634698000","509265000","1018395000","68435000","68435000","-132724000","790372000","1187630000","27769000","-2198551000","None","508122000","3337467000","None","764801000","None","None","2917000","None","-768566000","-377980000","None","610671000","24322000","4618751000","None","3337467000","340495000","3813715000","None","None","None","2243419000","5806381000","509265000","None","275352000"
"2018-09-30","USD","5868482000","630139000","None","170110000","4930547000","931665000","200767000","198479000","2916000","-814446000","522769000","2552572000","652548000","444321000","1052182000","64225000","66066000","-107146000","788030000","1204289000","28683000","-2251046000","0","589858000","3355596000","0","789478000","937935000","0","2916000","0","-814446000","-377341000","None","634422000","30347000","4664193000","None","3355596000","322002000","3878365000","None","None","None","2227682000","5868482000","444321000","None","275924000"
"2018-06-30","USD","5783283000","646843000","None","163095000","4901758000","876661000","192339000","174441000","2914000","-848948000","523729000","2553002000","660923000","370003000","1003203000","57168000","60771000","-111125000","787583000","1095245000","28936000","-2323184000","0","562147000","3374826000","0","771594000","881525000","0","2914000","0","-848948000","-377000000","None","633761000","37913000","4688038000","None","3374826000","331390000","3898555000","None","None","None","2210820000","5783283000","370003000","None","275125000"
"2018-03-31","USD","5784552000","666514000","None","148328000","4938555000","839422000","147127000","156417000","2909000","-924973000","543009000","2557025000","639763000","361103000","1008538000","57204000","62607000","-78598000","791662000","1093055000","27962000","-2384117000","0","583624000","3387008000","0","794917000","845997000","0","2909000","0","-924973000","-350317000","None","615837000","32497000","4691497000","None","3387008000","395882000","3930017000","None","None","None","2190401000","5784552000","361103000","None","275732000"
"2017-12-31","USD","5649364000","683205000","None","108753000","4950864000","693302000","99801000","170358000","2891000","-1053446000","480185000","2554987000","3889478000","361381000","972147000","57138000","64257000","-88484000","799194000","960692000","27527000","-2544890000","0","490558000","3398731000","0","744651000","698500000","2174187000","2891000","0","-1053446000","-341846000","None","591942000","31817000","4688672000","None","3398731000","480185000","3978717000","None","None","None","2174187000","5649364000","361381000","None","274342175"
"2017-09-30","USD","5666488000","703067000","None","111358000","5021399000","641511000","84782000","223008000","2889000","-1097149000","468075000","2553867000","3919502000","268268000","1058010000","59019000","67395000","-96500000","800094000","946892000","26776000","-2615423000","0","567266000","3410532000","0","775983000","645089000","0","2889000","0","-1097149000","-329857000","None","562134000","73658000","4719596000","None","3410532000","468075000","3963389000","None","None","None","2162128000","5666488000","268268000","None","274756197"
"2017-06-30","USD","5689878000","722074000","None","108215000","5040045000","644815000","96842000","251312000","2886000","-1149598000","439966000","2551448000","3971065000","306696000","1077288000","60050000","3500100000","-102465000","791735000","927078000","26146000","-2628707000","0","512167000","3425949000","0","765926000","649833000","0","2886000","0","-1149598000","-254156000","None","559495000","111902000","4762800000","None","3425949000","439966000","3962757000","None","None","None","2148148000","5689878000","306696000","None","278628948"
"2017-03-31","USD","5789999000","739266000","None","110449000","5119275000","666791000","97217000","300035000","2879000","-1104117000","478409000","2546606000","4101617000","287639000","1104891000","60246000","60246000","-114638000","777954000","910428000","26412000","-2619081000","0","512340000","3438758000","0","744610000","670724000","0","2879000","0","-1104117000","-243346000","None","708117000","81216000","4879571000","None","3438758000","478409000","4014384000","None","None","None","2126013000","5789999000","287639000","None","278445924"
"2016-12-31","USD","5724570000","775437000","None","88600000","5098955000","623036000","88957000","287609000","2854000","-1141116000","567359000","2548447000","4117910000","364114000","1166358000","169246000","177591000","-122799000","753279000","853381000","25582000","-2700848000","0","400667000","3276281000","0","709503000","625615000","2105843000","2854000","0","-1141116000","-221746000","None","673159000","95285000","4871189000","None","3276281000","567359000","3932597000","None","None","None","2105843000","5724570000","364114000","None","276949802"
"2016-09-30","USD","5747186000","811560000","None","158158000","4993891000","751867000","108057000","293294000","2838000","-1129682000","536160000","2552871000","4146997000","272004000","1036133000","115345000","115345000","-82183000","717533000","882656000","25425000","-2612564000","0","452494000","3313541000","0","627494000","753295000","0","2838000","0","-1129682000","-121278000","None","663446000","93695000","4864530000","None","3313541000","536160000","3957758000","None","None","None","2082172000","5747186000","272004000","None","279296316"
"2016-06-30","USD","5547422000","860189000","None","94253000","4834736000","709068000","107680000","305045000","2823000","-1136831000","530869000","2543515000","4228454000","68312000","1114268000","174048000","174048000","-93135000","689712000","629256000","25203000","-2694636000","0","466691000","3081919000","0","635175000","712686000","0","2823000","0","-1136831000","-121130000","None","709104000","90443000","4918166000","None","3081919000","530869000","3720468000","None","None","None","2057341000","5547422000","68312000","None","283000000"
"2016-03-31","USD","5559123000","894214000","None","92719000","4906530000","650053000","109926000","307280000","2813000","-1172747000","543497000","2535585000","4245040000","111702000","1167615000","204824000","None","-96595000","652721000","661362000","24479000","-2779746000","0","456941000","3085492000","0","655511000","0","0","2813000","0","-1172747000","-121107000","None","675331000","115431000","4897761000","None","3085492000","543497000","3738915000","None","None","None","2037689000","5559123000","111702000","None","276873366"
"2015-12-31","USD","5393627000","836553000","None","81167000","4909487000","482702000","83562000","195136000","2790000","-1328730000","656093000","2440431000","3988010000","321132000","1000488000","190315000","194227000","-97135000","627529000","778088000","24348000","-2794282000","0","375789000","3169344000","0","615037000","0","0","2790000","0","-1328730000","-110548000","None","642214000","44464000","4615539000","None","3169344000","656093000","3908999000","None","None","None","2016325000","5393627000","321132000","None","274955830"
"2015-09-30","USD","5331720000","872237000","None","27966000","4872980000","458021000","253883000","219105000","2779000","-1433129000","639894000","2425963000","3957979000","132695000","1278118000","420244000","None","-101537000","583795000","789946000","24024000","-2840179000","0","629285000","2701085000","0","638769000","0","0","2779000","0","-1433129000","-11528000","None","635755000","None","4541774000","None","2701085000","639894000","3594862000","None","None","None","2001436000","5331720000","132695000","None","277204130"
