"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-09-30","USD","-8888000","-27743000","-8888000","38000","-31393000","565611000","-884000","-22254000","-310093000","364690000","-192033000","22091000","95560000","0","597888000","None","None","21829000","8926000","4386000","None","364690000"
"2020-06-30","USD","-10896000","-198595000","-10896000","38000","1071575000","1070047000","-1528000","50422000","-444202000","623684000","-435467000","27782000","99406000","0","0","None","None","21854000","10896000","57483000","None","623684000"
"2020-03-31","USD","-32850000","-24852000","-32850000","-4413000","356047000","238146000","-79357000","-41711000","-211897000","245727000","40431000","47274000","96854000","-38544000","0","None","None","11475000","28437000","120580000","None","245727000"
"2019-12-31","USD","5085000","-53716000","-134544000","-111502000","-18952000","-58297000","-6760000","30008000","10756000","-35946000","156895000","35393000","103709000","-38323000","5738000","None","32964000","27649000","23042000","32964000","None","-35946000"
"2019-09-30","USD","-32319000","-24738000","-32319000","-7391000","-18953000","-58449000","-2450000","-27297000","64584000","75936000","166704000","-22342000","104608000","-38310000","1264000","None","36986000","6559000","24928000","36986000","None","75936000"
"2019-06-30","USD","-38299000","-50850000","-38299000","-8967000","-11827000","-128661000","-32903000","-5103000","29444000","-61299000","105661000","4613000","105840000","-38281000","-45650000","None","-8507000","23973000","29332000","-8507000","None","-61299000"
"2019-03-31","USD","-37864000","84603000","-37864000","-8967000","-11828000","-164314000","-74904000","-75172000","57762000","-50178000","152000000","-7305000","104436000","-38594000","-38988000","None","-95354000","7810000","37864000","-95354000","None","-50178000"
"2018-12-31","USD","8823000","-11050000","-69595000","8681000","-10260000","-54097000","-4596000","-13834000","85550000","64912000","188604000","-40209000","106786000","-38523000","-718000","None","68457000","-23458000","78276000","68457000","2560000","64944000"
"2018-09-30","USD","None","8206000","-73778000","8681000","-11828000","-50884000","-1673000","-41525000","74543000","69692000","194354000","3024000","103725000","-38504000","1121000","0","-30881000","39434000","73778000","-30881000","929000","74318000"
"2018-06-30","USD","None","-84430000","-67187000","8681000","-11827000","-73054000","-2887000","-18791000","93325000","6406000","146647000","-19941000","103935000","-38493000","-19847000","0","6255000","45578000","67187000","6255000","4419000","8900000"
"2018-03-31","USD","None","45150000","-64699000","8681000","-13395000","-128471000","-71719000","-84042000","89242000","2022000","195192000","6137000","102879000","-38560000","-4797000","0","-89417000","40062000","64699000","-89417000","-1161000","-278000"
"2017-12-31","USD","11142000","17467000","-74573000","-948000","7201000","-55844000","-14410000","-170026000","83477000","91710000","222127000","-107495000","106149000","-38387000","-10248000","0","-108596000","41650000","73625000","79425000","2615000","93113000"
"2017-09-30","USD","None","6733000","-75542000","-141000","-18524000","-138624000","-8185000","-33158000","92296000","-36136000","178030000","11203000","98318000","-38540000","-73375000","0","0","30996000","75401000","-62108000","-1436000","-38428000"
"2017-06-30","USD","None","15330000","-79092000","0","-14575000","-54524000","2447000","15769000","-5374000","21225000","154841000","-23541000","94182000","-38995000","-3401000","0","0","80145000","79092000","-6857000","-1234000","19057000"
"2017-03-31","USD","None","33542000","-88318000","0","43017000","-107788000","-102437000","-76144000","77245000","-73071000","123035000","-19804000","108145000","-38939000","-9429000","0","0","41117000","88318000","-119056000","-1558000","-76475000"
"2016-12-31","USD","45959000","72671000","-27095000","361000","5796000","-143378000","-23410000","-165947000","25711000","96393000","266866000","6315000","112903000","-35997000","-89767000","0","-12949000","-12086000","73415000","57957000","-571000","92110000"
"2016-09-30","USD","45959000","-416000","-89143000","496000","168509000","127687000","-5450000","-41344000","40815000","203692000","168750000","-25424000","112076000","-36298000","12303000","0","0","24648000","89639000","12645000","-243000","203692000"
"2016-06-30","USD","45959000","-40304000","-95430000","-6309000","-36500000","-63432000","2361000","-68377000","72019000","-35243000","123619000","-49533000","100389000","-36104000","6811000","0","0","37053000","89121000","-9189000","380000","-43390000"
"2016-03-31","USD","None","24025000","-234140000","-158668000","-71296000","-110902000","-1647000","None","106269000","-204877000","140165000","-21686000","98229000","-35956000","-2003000","0","0","3810000","75472000","-74362000","-673000","-209430000"
"2015-12-31","USD","11981000","-43859000","-84536000","-910000","298914000","132399000","-50072000","-188752000","130421000","187360000","139497000","-55811000","98492000","-25042000","-91401000","0","10662000","-63560000","83626000","74958000","-67000","188437000"
"2015-09-30","USD","None","31611000","-516690000","-441582000","-76291000","-73488000","5632000","None","177016000","-468467000","121711000","-41723000","89949000","-24635000","21806000","0","0","-93365000","75108000","-16649000","-1999000","-445338000"
