"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-09-30","USD","278365000","395988000","115426000","162939000","-262273000","-310218000","None","None","-329924000","125000","395988000","-29224000","-233049000","None","67651000","-20364000","None","-67651000","None","None","None","-20364000","-29224000","-533000","-309560000","-312449000","2231000"
"2020-06-30","USD","83044000","116563000","350551000","-267507000","-296713000","-444131000","None","None","-449248000","-71000","116563000","-6597000","-384070000","None","58581000","-5718000","None","-58581000","None","None","None","-5718000","-6597000","-672000","-443530000","-444131000","None"
"2020-03-31","USD","658977000","198873000","611515000","47462000","-103722000","-212680000","None","None","-237025000","783000","198873000","-48172000","-151411000","None","37442000","-27254000","-38128000","-37442000","-2126000","None","None","-27254000","-48172000","-2126000","-209771000","-212680000","None"
"2019-12-31","USD","941422000","150554000","733231000","208191000","54394000","10091000","None","None","15367000","665000","150554000","-3243000","57637000","None","39027000","3543000","-38956000","-39027000","-1068000","None","None","3543000","-3243000","-1068000","11824000","10091000","None"
"2019-09-30","USD","984199000","119918000","750821000","233378000","216333000","63813000","None","None","72975000","771000","119918000","-742000","113460000","None","39743000","7795000","-38716000","-39743000","-596000","None","None","7795000","-742000","-596000","65180000","63813000","None"
"2019-06-30","USD","1000006000","154705000","763388000","236618000","184694000","27838000","None","None","40239000","1606000","154705000","-2066000","81913000","None","39608000","12145000","-39195000","-39608000","1350000","None","None","12145000","-2066000","1350000","28094000","27838000","None"
"2019-03-31","USD","1049361000","151391000","787563000","261798000","212513000","56850000","None","None","71057000","912000","151391000","-1337000","110407000","None","38013000","11843000","-37480000","-38013000","-1452000","None","None","11843000","-1337000","-1452000","59214000","56850000","None"
"2018-12-31","USD","923928000","129479000","673430000","250498000","229150000","84400000","0","0","83149000","1150000","129479000","2338000","121019000","0","40208000","None","None","None","25252000","0","0","-3879000","-42386000","-1478000","87028000","84400000","None"
"2018-09-30","USD","970283000","130152000","703368000","266915000","237923000","73005000","0","0","95900000","1538000","130152000","-1572000","136763000","0","39291000","None","None","None","0","0","0","25021000","-46088000","3664000","70879000","73005000","None"
"2018-06-30","USD","984376000","123784000","721759000","262617000","234992000","92246000","0","0","92640000","1079000","123784000","-6784000","138833000","0","39409000","None","None","None","0","0","0","75000","-47213000","760000","92565000","92246000","None"
"2018-03-31","USD","988369000","130111000","692857000","295512000","267342000","87880000","0","0","126724000","1362000","130111000","-568000","165401000","0","38109000","None","None","None","0","0","0","36275000","-39505000","-1207000","90449000","87880000","None"
"2017-12-31","USD","881862000","116050000","631234000","250628000","285962000","82090000","0","0","154382000","1387000","126938000","-96795000","134600000","0","37348000","None","None","None","0","-10888000","0","71201000","-142031000","296000","83181000","82090000","None"
"2017-09-30","USD","900606000","91840000","631970000","268636000","270393000","90989000","0","0","133420000","1307000","91840000","-4457000","176796000","0","38919000","None","None","None","0","-10910000","0","40595000","-5040000","-529000","92825000","90989000","None"
"2017-06-30","USD","900663000","238856000","643067000","257596000","203518000","-6487000","0","0","-19618000","1113000","146856000","-239000","18718000","0","38097000","None","None","None","0","92000000","0","-15466000","15561000","-1222000","-4152000","-6487000","None"
"2017-03-31","USD","915353000","144441000","607586000","307767000","254660000","75939000","0","0","109429000","1306000","144441000","-14336000","163326000","0","39561000","None","None","None","0","92022000","0","31707000","-53897000","-477000","77722000","75939000","None"
"2016-12-31","USD","829620000","190229000","583430000","246190000","-78337000","24561000","0","0","37760000","1150000","190229000","-134298000","55961000","0","41837000","None","None","None","0","-10910000","0","6740000","-150911000","-5309000","31020000","24561000","None"
"2016-09-30","USD","838982000","155182000","593650000","245332000","87149000","40815000","0","0","49464000","1047000","155182000","-3001000","90150000","0","38002000","None","None","None","0","92022000","0","7208000","-5115000","-394000","42256000","40815000","None"
"2016-06-30","USD","845242000","146886000","556317000","288925000","143678000","72019000","0","0","106468000","1078000","145254000","1639000","143671000","0","37210000","None","None","None","0","0","0","31273000","1508000","-2098000","75195000","74117000","None"
"2016-03-31","USD","859543000","133856000","554265000","305278000","175545000","105167000","0","0","134343000","1102000","133856000","4123000","171422000","0","41202000","None","None","None","0","0","0","41424000","-37079000","13350000","92919000","105167000","None"
"2015-12-31","USD","758455000","145035000","504020000","254435000","-65745000","129441000","0","0","63898000","980000","145035000","-175145000","109400000","0","43655000","None","None","None","0","81112000","0","34386000","-198623000","100909000","29512000","129441000","None"
"2015-09-30","USD","785002000","166324000","509906000","275096000","201712000","176340000","0","0","161131000","676000","166324000","92940000","108772000","0","40581000","None","None","None","0","0","0","38007000","122699000","53892000","123124000","176340000","None"
