"date","open","high","low","close","volume"
"2021-02-05","10.9500","13.1000","10.7410","12.5300","34272184"
"2021-01-29","11.9100","11.9400","10.3700","10.7800","40208008"
"2021-01-22","11.9400","12.5600","11.7300","12.0200","21145443"
"2021-01-15","12.1900","13.1150","11.5800","11.5900","34861561"
"2021-01-08","12.2350","12.8750","11.0400","12.5700","42713270"
"2020-12-31","11.5400","12.3600","11.4790","12.0200","21373902"
"2020-12-24","11.1135","11.8800","10.8250","11.3600","24299890"
"2020-12-18","11.3800","12.0900","10.5600","11.5000","43784503"
"2020-12-11","12.4200","12.5676","10.8500","10.9700","47029007"
"2020-12-04","11.8000","12.4800","10.8100","12.3950","62115298"
"2020-11-27","10.3200","11.7600","10.0500","11.7000","50715314"
"2020-11-20","10.4750","10.6600","9.5550","10.0000","52421333"
"2020-11-13","9.1700","10.3450","8.6200","9.5000","89101646"
"2020-11-06","6.6300","7.6800","6.4900","7.0800","31201386"
"2020-10-30","7.0686","7.2200","6.0000","6.5200","36006320"
"2020-10-23","6.5500","7.8150","6.4250","7.2900","56840564"
"2020-10-16","6.8800","6.9100","6.2600","6.5000","23120148"
"2020-10-09","6.9800","7.1500","6.6500","6.9000","26338061"
"2020-10-02","6.1500","6.9400","6.1300","6.9150","48258416"
"2020-09-25","6.7600","6.7900","5.5000","6.0500","45233340"
"2020-09-18","7.0100","7.2100","6.6350","6.9200","37891768"
"2020-09-11","7.4500","7.8900","6.8400","6.8900","29267649"
"2020-09-04","7.3600","7.7499","6.6000","7.6000","52784288"
"2020-08-28","6.9000","7.3900","6.6750","7.3500","60222423"
"2020-08-21","8.0700","8.1250","6.6400","6.7600","120340565"
"2020-08-14","7.7000","8.9400","7.5450","8.0600","27607754"
"2020-08-07","7.5800","8.3700","7.3300","7.6350","25261059"
"2020-07-31","7.5000","7.8000","7.1907","7.5600","17206777"
"2020-07-24","7.7200","8.0100","7.4100","7.4400","17073935"
"2020-07-17","8.2500","8.6400","7.4900","7.7500","27305603"
"2020-07-10","8.2500","8.3500","7.4700","8.2100","30976634"
"2020-07-02","7.7500","8.7950","7.4200","8.0600","25206651"
"2020-06-26","8.0900","8.5300","7.4700","7.5700","33250617"
"2020-06-19","8.0200","9.2000","7.8700","8.1300","34087870"
"2020-06-12","11.4800","11.5000","7.7900","8.5100","69809928"
"2020-06-05","6.9800","11.4900","6.8800","10.3500","58540328"
"2020-05-29","7.7400","8.8900","6.9100","6.9700","57536756"
"2020-05-22","6.0100","7.3300","5.9850","7.2500","49582546"
"2020-05-15","6.7500","6.8200","5.3250","5.5500","49122179"
"2020-05-08","6.4850","7.2601","6.1199","6.7250","35616447"
"2020-05-01","5.6500","7.5500","5.5100","7.0000","57509860"
"2020-04-24","5.8500","5.9300","5.3700","5.5900","41716828"
"2020-04-17","6.1500","6.4400","5.2500","5.9950","109814353"
"2020-04-09","4.6700","7.4650","4.6500","7.0000","39077434"
"2020-04-03","5.9100","6.3100","4.2700","4.2900","38390753"
"2020-03-27","3.6100","6.9950","3.3000","6.0900","70475282"
"2020-03-20","7.3000","7.6700","3.3100","3.3100","45856052"
"2020-03-13","9.3000","10.5200","6.9900","8.3300","29400452"
"2020-03-06","13.8600","13.8600","9.8900","10.1500","40623721"
"2020-02-28","21.2200","21.2700","13.4900","13.6150","52020156"
"2020-02-21","22.0200","22.5000","21.7100","21.8800","3544342"
"2020-02-14","21.6700","22.3450","21.4400","22.0400","4506405"
"2020-02-07","21.5600","22.8300","21.4900","21.7500","6310836"
"2020-01-31","22.4600","22.4600","21.2350","21.5400","7972086"
"2020-01-24","23.1100","23.1200","22.1000","22.6750","9011444"
"2020-01-17","22.4100","23.2500","22.2100","23.1150","6404768"
"2020-01-10","22.5800","22.9400","22.3500","22.4800","5384084"
"2020-01-03","22.8600","22.8600","22.4000","22.7700","4096959"
"2019-12-27","22.9600","22.9700","22.5900","22.8500","2043543"
"2019-12-20","22.5800","23.0700","22.3900","22.9700","10236351"
"2019-12-13","22.5900","22.7400","22.0300","22.5250","6202755"
"2019-12-06","22.5200","22.6400","21.9800","22.5400","6830326"
"2019-11-29","22.0300","22.6800","21.9989","22.4300","4067054"
"2019-11-22","22.5300","22.6400","21.7300","21.9400","7584488"
"2019-11-15","22.5100","22.7500","22.2000","22.5300","4896985"
"2019-11-08","22.8600","23.0100","22.2300","22.6500","7666938"
"2019-11-01","21.9100","23.8600","21.5700","22.7500","12152146"
"2019-10-25","20.9500","21.8200","20.9500","21.8100","8728309"
"2019-10-18","21.3400","21.5800","20.7500","20.8950","11318853"
"2019-10-11","21.6200","21.9700","21.0300","21.4600","6801933"
"2019-10-04","22.2100","22.5900","21.4300","21.6500","7991561"
"2019-09-27","23.1300","23.3100","22.0700","22.1800","11152415"
"2019-09-20","23.3800","23.5100","22.9600","23.1100","7886127"
"2019-09-13","23.6100","23.8100","22.9800","23.5200","8178208"
"2019-09-06","23.5700","23.8800","23.2300","23.5200","10125759"
"2019-08-30","23.4100","23.8700","22.7900","23.6400","4691902"
"2019-08-23","23.9600","24.1400","23.0800","23.1600","6054915"
"2019-08-16","24.7100","25.4400","22.9000","23.7200","9430839"
"2019-08-09","24.5500","25.2500","24.4100","24.9200","11905845"
"2019-08-02","23.8100","25.1100","23.3900","25.0200","9587398"
"2019-07-26","23.1400","23.8850","22.4100","23.8200","4305234"
"2019-07-19","23.2500","23.3800","22.7700","23.0700","3772459"
"2019-07-12","23.0200","23.2400","22.7250","23.2100","6751711"
"2019-07-05","22.5300","23.1500","22.3000","23.1300","4816020"
"2019-06-28","22.8800","23.0700","21.5100","22.2000","16858652"
"2019-06-21","22.2500","23.6050","20.7700","22.8600","20143342"
"2019-06-14","21.7700","22.4200","21.7400","22.2900","9156057"
"2019-06-07","20.2600","21.6400","20.1425","21.6200","9602993"
"2019-05-31","19.8400","20.6200","19.7800","20.2800","10470662"
"2019-05-24","19.5300","20.2500","19.4050","19.7600","8446762"
"2019-05-17","20.1800","20.4100","19.4750","19.7400","8008349"
"2019-05-10","21.4900","21.5900","20.1300","20.5600","11318030"
"2019-05-03","22.9400","23.2400","20.4501","21.9000","18740070"
"2019-04-26","21.7700","23.2700","21.7608","22.9200","15901545"
"2019-04-18","21.8800","22.1850","21.6800","21.9300","5625356"
"2019-04-12","21.7600","22.0000","21.5300","21.8800","6033607"
"2019-04-05","21.5700","21.9300","21.4200","21.7900","8533748"
"2019-03-29","20.9100","21.5500","20.7500","21.3900","8478060"
"2019-03-22","21.4200","21.7000","20.9200","21.0300","12795549"
"2019-03-15","21.1800","21.7200","21.1350","21.3500","13782450"
"2019-03-08","22.7700","22.7700","20.7500","21.0700","12425107"
"2019-03-01","22.8700","22.8700","21.8300","22.6800","12262024"
"2019-02-22","22.4400","22.8100","21.9300","22.7900","9135457"
"2019-02-15","23.7600","24.0000","21.0000","22.5300","16067751"
"2019-02-08","23.3400","23.7800","23.1100","23.7100","6470097"
"2019-02-01","22.7800","23.4550","22.5700","23.3400","5763219"
"2019-01-25","22.8100","23.1300","22.4000","23.0200","5733730"
"2019-01-18","21.7600","22.9400","21.3200","22.8500","8807290"
"2019-01-11","21.4600","22.6800","21.3700","22.6300","9255375"
"2019-01-04","21.6800","21.7718","20.7100","21.4000","8137491"
"2018-12-28","21.1500","21.8100","20.6000","21.5000","5990768"
"2018-12-21","23.4500","24.8500","21.1000","21.2900","14306344"
"2018-12-14","24.9700","25.4700","23.3300","23.4300","12041936"
"2018-12-07","26.1500","26.4000","24.6900","24.9900","14076847"
"2018-11-30","24.9200","26.1700","24.6701","25.5700","25276488"
