"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","USD","None","None","None","None","None","None","None","2210000000","22225000000","None","4614000000","None","1536000000","None","14248000000","None","None","None","23375000000","26717000000","None","21705000000","None","1886000000","None","4101000000","6051000000","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"2020-09-30","USD","45691000000","318000000","None","1238000000","28143000000","16031000000","None","5092000000","1000000","-5669000000","3151000000","203000000","1436000000","14531000000","13302000000","None","2766000000","125000000","11848000000","21744000000","None","16166000000","None","1757000000","9476000000","4218000000","8210000000","None","None","1000000","None","-5669000000","None","None","8836000000","None","2742000000","2921000000","None","14841000000","14841000000","None","656000000","None","21574000000","45691000000","14531000000","None","948000000"
"2020-06-30","USD","38135000000","312000000","None","1218000000","26754000000","9855000000","None","5522000000","186000","-6000000000","3010000000","196000000","1415000000","8615000000","12270000000","None","3317000000","-40000000","11009000000","15336000000","None","10004000000","None","1485000000","9291000000","4018000000","6748000000","None","None","None","None","-6000000000","None","None","8758000000","None","2524000000","2869000000","None","14484000000","14484000000","None","657000000","None","15895000000","38135000000","8615000000","None","186000000"
"2020-03-31","USD","37250000000","323000000","None","1045000000","26518000000","9173000000","None","5191000000","185000","-6104000000","2891000000","193000000","1373000000","8080000000","11986000000","None","2851000000","-113000000","10638000000","14893000000","None","9349000000","None","1274000000","9539000000","4494000000","6795000000","None","None","None","None","-6104000000","None","None","8676000000","None","2527000000","2810000000","10726000000","14532000000","14532000000","None","692000000","None","15390000000","37250000000","8080000000","None","185000000"
"2019-12-31","USD","34309000000","339000000","None","246000000","26842000000","6618000000","None","3636000000","181000","-6083000000","2905000000","198000000","1469000000","6268000000","10667000000","1785000000","1785000000","-36000000","20199000000","12103000000","1000000","6081000000","None","1324000000","11634000000","3552000000","3771000000","None","None","None","None","None","None","None","1077000000","None","22206000000","1050000000","11634000000","408000000","16175000000","None","None","None","12736819000","None","6268000000","None","177000000"
"2019-09-30","USD","32795000000","351000000","None","893000000","25913000000","6040000000","None","441000000","180000","-6188000000","2784000000","186000000","1472000000","5338000000","10146000000","2030000000","2030000000","-120000000","19845000000","10940000000","398000000","5503000000","None","1128000000","11313000000","3581000000","3468000000","None","None","None","None","-6188000000","None","None","1075000000","None","21855000000","1070000000","11313000000","405000000","15767000000","None","600000000","None","12348000000","32795000000","5338000000","None","180000000"
"2019-06-30","USD","31872597000","327358000","None","697754000","25302363000","5715393000","None","526758000","179000","-6331639000","2823616000","153475000","1208525000","4954740000","9588773000","1791085000","1791085000","-5605000","10082458000","10181952000","400308000","5814787000","None","1147100000","11234401000","3382358000","3133587000","None","None","179000","None","-6331639000","None","None","1208525000","None","21690645000","1075346000","11234401000","410565000","15713590000","None","580227000","None","12052458000","31872597000","4954740000","None","179118000"
"2019-03-31","USD","28912524000","273568000","None","595858000","22874618000","4605596000","None","3717022000","174000","-5923305000","2797416000","74312000","1564204000","2198169000","9242800000","1705711000","1705711000","-35019000","9850929000","7677822000","413181000","4828000000","None","1046945000","9787950000","3836850000","5525778000","None","None","174000","None","-5923305000","None","None","8650210000","None","19262200000","1000886000","9787950000","13631818000","13631818000","None","570284000","None","10563746000","28912524000","2198169000","None","173682000"
"2018-12-31","USD","29739614000","282492000","None","558222000","23426010000","4923243000","None","1925733000","173000","-5317832000","2317802000","68159000","1379265000","3685618000","9992136000","2567699000","2283746000","-8218000","11330077000","8306308000","421548000","5128556000","192551000","949022000","8460873000","3113446000","5498704000","None","None","173000","None","-5317832000","None","None","969876000","None","13072152000","None","9403672000","4030202000","13433874000","None","555964000","None","10249120000","29739614000","3685618000","None","172603000"
"2018-09-30","USD","29262713000","291476000","None","483859000","23409144000","4508838000","0","2081707000","171000","-5457315000","2285172000","65226000","1233979000","2967504000","9775324000","2106538000","2106538000","8271000","11246295000","7920491000","422897000","4703400000","158627000","1155001000","9726589000","3314127000","5587079000","0","0","171000","0","-5457315000","0","None","828654000","None","12854548000","None","9669879000","3963941000","13633820000","None","551264000","None","9957711000","29262713000","2967504000","None","171578000"
