"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","None","0","-1047000000","122000000","-2305000000","None","10000000","1242000000","None","None","3019000000","None","None","None","None","None","None","889000000","0","None","None","None"
"2020-09-30","USD","-1039000000","1286000000","-1039000000","-34000000","2818000000","4450000000","-3436000000","-259000000","369000000","5811000000","2400000000","-264000000","634000000","None","5068000000","-67000000","-314000000","756000000","1005000000","-314000000","None","5811000000"
"2020-06-30","USD","-566000000","22000000","-566000000","-20000000","2073000000","123000000","-1964000000","-290000000","129000000","521000000","964000000","-440000000","615000000","None","14000000","446000000","-222000000","414000000","546000000","-222000000","None","521000000"
"2020-03-31","USD","-480000000","-282000000","-480000000","-25000000","2705000000","2708000000","-2418000000","-240000000","68000000","1788000000","-440000000","-112000000","599000000","None","2421000000","-981000000","-14000000","282000000","455000000","-14000000","None","1788000000"
"2019-12-31","USD","-403000000","716000000","-403000000","46000000","-195000000","-79000000","20000000","-324000000","105000000","957000000","1425000000","None","577000000","None","1285000000","56000000","-217000000","447000000","449000000","None","None","None"
"2019-09-30","USD","-485612000","112519000","-485612000","-100221000","2027042000","118178000","-1981508000","-317333000","149907000","388566000","756000000","-158898000","586728000","None","72644000","-132572000","18312000","180004000","385391000","18312000","None","388566000"
"2019-06-30","USD","-241545000","143478000","-241545000","8132000","2929540000","2142841000","-1805538000","-337047000","-389262000","2764902000","863606000","-201733000","620587000","-63502000","1018839000","456724000","-68672000","302484000","249677000","-68672000","None","2764902000"
"2019-03-31","USD","-305843000","-54997000","-305843000","-25911000","1352418000","-653019000","-2044954000","-57620000","-667645000","-1598468000","-639606000","215631000","507685000","-85257000","39517000","-809152000","-99640000","268512000","279932000","-99640000","None","-1598468000"
"2018-12-31","USD","None","127644000","-365009000","-40031000","1928727000","-112309000","-2138851000","-294767000","210078000","757243000","1234561000","-178900000","534594000","None","97815000","87347000","189371000","264427000","324978000","189371000","None","757243000"
"2018-09-30","USD","None","642110000","-560965000","-50694000","619145000","-84218000","-842526000","98770000","254673000","746098000","1391281000","368265000","549279000","None","139163000","-55055000","-587594000","219603000","510271000","-587594000","None","746098000"
"2018-06-30","USD","None","631921000","-682817000","-73004000","1124167000","398622000","-879328000","-157586000","-742706000","-413859000","-129664000","-126399000","520329000","None","153783000","-733475000","70633000","250033000","609813000","70633000","None","-413859000"
"2018-03-31","USD","None","370577000","-728637000","-72975000","1649189000","371660000","-1392309000","-197981000","-784627000","-755353000","-398376000","-208764000","455578000","None","114780000","-322081000","-169142000","260083000","655662000","-169142000","None","-755353000"
"2017-12-31","USD","None","596676000","-961876000","-175188000","1803159000","285842000","-1552915000","-1150226000","-770807000","-166143000","509891000","-367308000","500030000","None","-155117000","240120000","-24635000","230172000","786688000","81008000","4027000","-162116000"
"2017-09-30","USD","None","333224000","-1314932000","-198498000","3021449000","2101506000","-1030656000","-1046681000","-671163000","486012000","-300562000","-1031560000","397086000","None","110713000","702185000","105643000","152352000","1116434000","-182686000","8094000","494106000"
"2017-06-30","USD","None","90436000","-1215216000","-256148000","671340000","428767000","-517239000","-44366000","-401427000","-986621000","-200172000","42847000","422985000","None","274666000","-537676000","-77043000","197161000","959068000","-14498000","15952000","-970669000"
"2017-03-31","USD","None","296656000","-926943000","-374319000","1905124000","1598749000","-895047000","-67498000","-397181000","601995000","-69811000","-61106000","406939000","None","588672000","-583479000","91541000","176819000","552624000","91541000","11382000","613377000"
"2016-12-31","USD","16667000","251546000","-594751000","-73139000","1361313000","1372827000","-179119000","-978031000","-219469000","329867000","-448209000","-146302000","350301000","None","190633000","-667489000","-216565000","85791000","521612000","-102587000","-20908000","308959000"
"2016-09-30","USD","None","633643000","-268006000","-20395000","1314622000","-320870000","-1678475000","12556000","21878000","-165227000","423649000","25571000","302696000","0","42983000","-580283000","110510000","129228000","247611000","-109084000","3183000","-162044000"
"2016-06-30","USD","16667000","678800000","-319854000","-41801000","217210000","1976584000","None","28043000","-293188000","1807066000","150336000","44210000","204315000","0","1759374000","-705260000","1426000","63558000","294720000","157901000","-2554000","1804512000"
"2016-03-31","USD","16667000","416965000","-233819000","-16960000","662597000","715435000","None","-15996000","-282267000","232011000","-249605000","-15996000","177073000","0","52838000","-512671000","159327000","126618000","216859000","-159327000","12870000","244881000"
"2015-12-31","USD","16667000","502676000","-414280000","-3058000","229478000","225038000","-17025000","-755740000","-320397000","-219091000","-29849000","-3698000","164410000","0","-4440000","-482478000","46267000","141744000","411222000","-32106000","-10037000","-229128000"
