"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","None","None","None","None","None","None","None","None","None","1454000000","None","None","None","None","None","None","None","None","None","None","None","83000000","None","None","None","270000000","None"
"2020-09-30","USD","8771000000","1254000000","6708000000","2063000000","1302000000","331000000","366000000","None","555000000","38000000","888000000","-91000000","809000000","None","163000000","186000000","6000000","-157000000","None","None","None","186000000","-97000000","None","369000000","300000000","None"
"2020-06-30","USD","6036000000","940000000","4769000000","1267000000","887000000","104000000","279000000","None","150000000","25000000","661000000","-7000000","327000000","None","170000000","21000000","8000000","-162000000","None","None","None","21000000","-15000000","None","129000000","104000000","None"
"2020-03-31","USD","5985000000","951000000","4751000000","1234000000","792000000","16000000","324000000","None","70000000","52000000","627000000","-44000000","283000000","None","169000000","2000000","10000000","-159000000","None","None","None","2000000","-54000000","None","68000000","16000000","None"
"2019-12-31","USD","7384000000","7037000000","5993000000","1391000000","909000000","105000000","345000000","None","174000000","1492000000","699000000","None","347000000","None","170000000","42000000","10000000","-160000000","None","None","None","42000000","-13000000","None","132000000","113000000","None"
"2019-09-30","USD","6303000000","6042000000","5112000000","1191000000","891851000","143000000","334000000","None","176000000","1442000000","596000000","100000000","261000000","None","185000000","26000000","15000000","-170000000","None","None","None","26000000","85000000","None","150000000","143000000","None"
"2019-06-30","USD","6349676000","6399789000","5428630000","921046000","498065000","-408334000","323898000","None","-369831000","19072000","647261000","-30394000","-50113000","117345000","171979000","19431000","10362000","-161617000","None","None","None","19431000","-158101000","None","-389262000","-408334000","None"
"2019-03-31","USD","4541464000","1087574000","3975721000","565743000","23729000","-702135000","340174000","None","-644772000","34490000","703929000","34512000","-521831000","43471000","157453000","22873000","8762000","-148691000","None","None","None","22873000","-17721000","None","-667645000","-702135000","None"
"2018-12-31","USD","7225873000","1029364000","5782973000","1442900000","909031000","139483000","356297000","0","231956000","70595000","667452000","-6857000","413536000","5615000","174723000","None","None","None","0","0","0","21878000","-187195000","0","210078000","139483000","None"
"2018-09-30","USD","6824413000","1106908000","5300748000","1523665000","975549000","311516000","350848000","0","271320000","-56843000","729876000","29783000","416757000","26184000","175220000","None","None","None","0","0","0","16647000","-171621000","0","254673000","311516000","None"
"2018-06-30","USD","4002231000","1240322000","3383301000","618930000","23272000","-717539000","386129000","0","-728999000","-25167000","750759000","55975000","-621392000","103434000","163582000","None","None","None","0","0","0","13707000","-211041000","0","-742706000","-717539000","None"
"2018-03-31","USD","3408751000","1053500000","2952225000","456526000","-213243000","-709551000","367096000","0","-779022000","-75076000","686404000","-32502000","-596974000","0","149546000","None","None","None","0","0","0","5605000","-182048000","0","-784627000","-709551000","None"
"2017-12-31","USD","3288249000","1036927000","2849463000","438786000","-163932000","-675350000","354637000","0","-779901000","-95457000","682290000","-35397000","-598141000","0","146363000","None","None","None","0","0","0","-9094000","-602746000","0","-770807000","-675350000","None"
"2017-09-30","USD","2984675000","984620000","2535535000","449140000","-153715000","-619376000","331622000","0","-671448000","-51787000","652998000","-18859000","-535480000","0","117109000","None","None","None","0","0","0","-285000","0","0","-671163000","-619376000","None"
"2017-06-30","USD","2789557000","907531000","2122942000","666615000","111832000","-336397000","369774000","0","-385780000","-65030000","537757000","-36423000","-240916000","0","108441000","None","None","None","0","0","0","15647000","0","0","-401427000","-336397000","None"
"2017-03-31","USD","2696270000","925495000","2028324000","667946000","104045000","-330277000","322040000","0","-371903000","-66904000","603455000","-15008000","-257549000","0","99346000","None","None","None","0","0","0","25278000","0","0","-397181000","-330277000","None"
"2016-12-31","USD","2284631000","701976000","1849353000","435278000","-143295000","-121337000","245960000","0","-208399000","-98132000","456016000","123403000","-266698000","0","65104000","None","None","None","0","0","0","11070000","-100708000","0","-219469000","-121337000","None"
"2016-09-30","USD","2298436000","551113000","1661701000","636735000","76724000","21878000","214302000","0","30011000","2355525000","336811000","-8898000","85622000","0","46713000","None","None","None","0","0","0","8133000","0","0","21878000","21878000","None"
"2016-06-30","USD","1270017000","512816000","995241000","274776000","-243171000","-293188000","191664000","0","-289539000","-2355525000","321152000","-5131000","-238040000","0","46368000","None","None","None","0","0","0","3649000","0","0","-293188000","-293188000","None"
"2016-03-31","USD","1147048000","500692000","894580000","252468000","-237796000","-282267000","182482000","0","-278421000","785175000","318210000","10428000","-248224000","0","40625000","None","None","None","0","0","0","3846000","0","0","-282267000","-282267000","None"
"2015-12-31","USD","1214380000","478897000","995816000","218564000","-276732000","-320397000","190243000","0","-315349000","1152214000","288654000","-16399000","-260333000","0","38617000","None","None","None","0","0","0","5048000","-158995000","0","-320397000","-320397000","None"
