"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","TWD","2760711000000","None","None","17317000000","911054000000","1849657000000","None","287457000000","259304000000","1588686000000","38833000000","None","85209000000","660171000000","617151000000","88559000000","None","-54680000000","1640798000000","1092185000000","None","1849657000000","None","146038000000","254105000000","137353000000","41095000000","None","None","None","None","None","None","None","None","None","None","None","254105000000","None","None","None","None","None","56347000000","None","791477000000","None","None"
"2020-09-30","TWD","2635572214000","20785726000","None","8090994000","848211185000","1787361029000","None","276324406000","259303805000","1513976388000","11855424000","5553787000","27781944000","7134844000","588241723000","155377630000","155377630000","-42259146000","1525262200000","1029673918000","26514639000","1761021516000","147872514000","162618870000","228027883000","109509486000","40892346000","None","None","None","None","None","None","None","4002111000","None","1605898296000","19180809000","247208692000","2280460000","259064116000","None","None","None","56339982000","None","749571524000","None","None"
"2020-06-30","TWD","2448664522000","21778129000","None","7482088000","728286541000","1720377981000","None","271675755000","259303805000","1441491990000","11050858000","5617471000","23722673000","6121628000","614795728000","176040348000","188840348000","-36757795000","1514597844000","860031580000","22916825000","1692982381000","147838889000","152180816000","82439681000","85788094000","39533744000","None","None","None","None","None","None","None","1726374000","None","1588632942000","19164873000","101604554000","2143738000","112655412000","None","None","None","56339981000","None","614697543000","None","None"
"2020-03-31","TWD","2343295696000","21504612000","None","6792979000","667029696000","1676266000000","0","288135882000","259303805000","1385495748000","10833293000","5727459000","22624435000","5050890000","589468059000","142303242000","155103242000","-24873338000","1459935933000","802470040000","31033217000","1649033929000","141472816000","146480802000","46475148000","78277834000","39774214000","0","0","0","0","0","0","0","1489645000","0","1540825656000","19490665000","65965813000","1922467000","76799106000","0","0","0","56339785000","0","571033485000","0","5186000000"
"2019-12-31","TWD","2264805032000","14959652000","None","5600921000","643394908000","1621410124000","0","331870367000","259303805000","1333334979000","11832072000","5693376000","21756244000","2664958000","590735701000","118522290000","150322300000","-27568369000","1369609807000","822613914000","30092000000","1600757096000","139064400000","139822312000","25100000000","82981196000","40149847000","0","0","0","0","0","0","0","1742900000","0","1442111100000","15041800000","40141833000","2128300000","51973900000","0","0","0","56339709000","0","594177813000","0","5186000000"
"2019-09-30","TWD","2134234450000","12259114000","None","4815333000","547378384000","1586856066000","0","32321763000","259303805000","1281906438000","11824785000","5834459000","21116745000","5610574000","494781125000","85573710000","85573710000","-9877596000","1215462124000","849427436000","30134572000","1568762493000","150170187000","145421637000","25100000000","96685730000","128761982000","0","0","0","0","0","0","0","1680835000","0","1284807014000","15031539000","40131539000","2081256000","51956324000","0","0","0","56320929000","0","602448155000","0","5183000000"
"2019-06-30","TWD","2239343671000","11662433000","None","4904835000","685529092000","1553814579000","0","48165309000","259303805000","1245575785000","11960277000","5838397000","21434697000","4146082000","622256378000","78261120000","78261120000","-6480274000","1160913492000","1010179338000","29315314000","1536313749000","129851519000","116130708000","35300000000","108231879000","102831608000","0","0","0","0","0","0","0","1740212000","0","1229164333000","15405489000","50705489000","2201551000","62665766000","0","0","0","56320929000","0","779370162000","0","5180000000"
"2019-03-31","TWD","2187436785000","12166308000","None","5082738000","443919183000","1742845624000","0","48362453000","9365.89","1437946154000","485.59","5807709000","773.10","645670527000","378267634000","0","76592550000","-387.38","40695.51","991324815000","30038613000","62301.25","125098555000","103904657000","35300000000","108682382000","104071875000","0","0","0","0","0","0","0","1605395000","0","1196111970000","16907533000","55059107.55","2029105000","65651549000","0","0","0","59396923.01","0","770658342000","0","5186000000"
"2018-12-31","USD","78175.72","419.17","None","210.94","16043.59","62106.83","0","4961.93","9699.02","50879.25","568.13","216.78","751.49","21612.63","13347.17","0","1311.16","-577.89","40099.07","35596.71","1092.50","61470.88","1225.02","4834.96","2128.29","3861.26","1284.85","0","0","0","0","0","0","0","0","0","0","0","65080","0","0","0","0","0","64411.97","0","816268.71","0","5186000000"
"2018-09-30","USD","64470259793.81","269206545.57","None","174811422.03","12896703878.25","51552018131.24","0","3624628604.16","8486460644.74","41817629160.53","508217476.68","188629618.72","600762493.86","15995160235.64","10526270724.92","0","1142202585.50","-595032204.22","34315720340.37","28120559810.18","975380985.11","51094181966.95","881921093.11","4241674455.90","1862215676.65","3447441531.66","991820520.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5186000000"
