"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","TWD","None","0","-90959000000","-961000000","-36847000000","-88615000000","469000000","2281000000","584777000000","204772000000","259131000000","None","331725000000","-259304000000","None","None","None","16522000000","507239000000","None","None","None"
"2020-09-30","TWD","-96079669000","808432000","-96079669000","2836211000","112979258000","12588708000","-719241000","-2799225000","423669819000","148795777000","190171227000","None","228890246000","-194477853000","None","-23721392000","-12992401000","-1382710000","427267950000","None","None","None"
"2020-06-30","TWD","-129750164000","-182296000","-129750164000","3632200000","70994006000","-34845358000","-256002000","11419592000","268545816000","12214107000","170334959000","None","136065309000","-129651902000","None","-7510260000","-2715082000","-22937278000","327745665000","None","None","None"
"2020-03-31","TWD","-188993268000","-296602000","-188993268000","3689041000","25057127000","-40757411000","-988587000","11232888000","132147178000","-24622107000","203029442000","0","67083741000","-64825951000","0","4703362000","-8595331000","11090086000","193405710000","0","0","0"
"2019-12-31","TWD","-171605000000","4256453000","-171605106000","3818724000","35203748000","-269638166000","-525763000","8157631000","389845336000","-122415265000","202954417000","0","281411832000","-259303805000","0","0.02","0.01","-10923986000","469752019000","0","0","0"
"2019-09-30","TWD","-108290000000","3273230000","-287196541000","7640523000","-19817179000","-252455390000","-3782311000","-15958237000","261063363000","-125384301000","412184327000","0","215274524000","-207443044000","0","11546149000","-30709956000","6085123000","294837064000","0","0","0"
"2019-06-30","TWD","-114717951000","4435491000","-178906424000","16070543000","-162513000","-23343147000","-1930291000","8886395000","148727092000","71882661000","270431306000","0","149897048000","0","0","450503000","-11460654000","-26115847000","194976967000","0","0","0"
"2019-03-31","TWD","-64188473000","-220.51","-2318.45","239.22","-767.55","-22412645000","-41.98","42.44","61393851000","67855926000","152670278000","0","77547804000","0","0","-5451406000","20639442000","112.82","78043144000","0","0","0"
"2018-12-31","USD","-127.81","157.07","-4386.04","163.63","534.74","534.26","-0.48","506.35","4185.74","3332.05","7083.31","0","2813","-7759.22","0","78.76","-44.73","-637.73","4267.99","0","0","0"
"2018-09-30","USD","26558926.53","-24607101.95","-2077341286.21","235468433.97","1173962690.23","-5643419603.99","-28213778.43","-774439371.62","2915124464.08","-4696375683.19","3079119031.26","0","2385497856.32","-6789168515.79","0","-206332809.69","-1403341809.85","183331827.85","2289269383.08","0","0","0"
"2018-06-30","USD","-105787915.99","68024718.03","-1966822144.74","128857470.25","-906705953.61","-960771988.41","-54066034.80","-191663343.65","2366728510.86","1782544058.67","4248665389.84","None","2316115831","-6791502365.40","0","-452975953.12","592629802.42","-492864640.12","1953908559.64","None","None","None"
"2018-03-31","USD","-3893954000","-984571000","-73459190000","76773000","-56573745000","-57627226000","-1053481000","-8663819000","3085382000","24391267000","5523227000","None","70871737000","-207443044000","None","-11335152000","458515000","6522427000","2468975000","None","None","None"
"2017-12-31","USD","-16286800000","2572100000","-336164900000","207088000","-27737100000","-215697600000","-6447800000","26143300000","3600537000","12137900000","19890823000","None","257832000000","-6123910000","-3800000","-25229100000","28114000","-29801400000","11153447000","None","None","None"
"2017-09-30","USD","-8229560000","2851345000","-65662683000","87809000","-28102420000","-212792956000","-3177873000","-12274443000","2973252000","-162389263000","12708132000","None","70545524000","-5984592000","None","-12883354000","193342000","-16188115000","8882562000","None","None","None"
"2017-06-30","USD","4953963000","1622491000","-98219755000","84552000","-42165000","-638888000","-596723000","11407896000","2181403000","5741692000","8708750000","None","57472164000","-181512663000","None","-10621503000","520252000","-20515197000","6836540000","None","None","None"
"2017-03-31","USD","-7736868000","-3020849000","-109230259000","28318000","-10252785000","-11909919000","-1657134000","-2812529000","2884427000","23471433000","5299804000","None","59647154000","-181512663000","None","-1706789000","615989000","1034196000","3374114000","None","None","None"
"2016-12-31","USD","-76691100000","7295400000","-395439700000","114809000","-4511200000","-157800200000","70781000","15407700000","2753367000","-21435100000","16830660000","None","222097600000","-4801923000","-7300000","566978000","-49806500000","-647600000","10124855000","None","None","None"
"2016-09-30","USD","None","None","-106884722000","30214000","None","-169191709000","-3176474000","-8216281000","3223760000","-158387645000","11340416000","None","55832203000","-4975448000","None","421175000","-19167935000","None","6891669000","None","None","None"
"2016-06-30","USD","None","None","None","25916000","None","None","None","None","2247852000","None","7082720000","None","None","None","None","196972000","None","None","3467631000","None","None","None"
"2016-03-31","USD","None","None","None","16152000","None","None","None","None","2013098000","None","3776534000","None","None","None","None","304845000","None","None","1185252000","None","None","None"
"2015-12-31","USD","35673400000","-2693400000","-217245800000","12969000","3109600000","-116734000000","-3194000000","364900000","2262390000","204239900000","16263695000","None","220833000000","-3558508000","33900000","-655200000","807898000","-18702100000","7853517000","None","None","None"
