"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","TWD","361533000000","None","166297000000","195236000000","None","142766000000","None","None","161107000000","965000000","8381000000","None","157120000000","-205000000","None","18283000000","2240000000","None","None","None","None","18283000000","None","None","None","142766000000","None"
"2020-09-30","TWD","356439030000","100225291000","165945534000","190493496000","247771320000","137310040000","29683751000","None","155124003000","905346000","11207604000","None","150043318000","-458034000","373164000","17745852000","4820918000","1524799000","None","None","None","17745852000","3551855000","None","185714412000","137310040000","None"
"2020-06-30","TWD","310629333000","179534795000","146005542000","164623791000","205571606000","120822193000","24893043000","None","136398638000","835401000","8627666000","None","131095976000","77578000","409145000","15506124000","4857965000","2069217000","None","None","None","15506124000","3234883000","None","120892514000","120822193000","None"
"2020-03-31","TWD","310589510000","182067873000","149813002000","160776508000","200659096000","116986720000","24968883000","0","132147178000","762531000","7354163000","0","128520011000","-60502000","530564000","15084285000","3759222000","2458505000","0","0","0","15084285000","1167036000","0","117062893000","116986720000","0"
"2019-12-31","TWD","317237000000","192993000000","158035000000","159202000000","191776000000","116035081000","25636000000","0","128781973000","685302000","9307000000","0","124244659000","-895323000","0","12703779000","4243946000","2675000000","0","0","0","12703779000","1863000000","0","116078000000","116035081000","0"
"2019-09-30","TWD","293025712000","185138420000","153613278000","139412434000","179509950000","101069886000","23972076000","0","112336271000","640935000","7406877000","0","107883654000","165916000","843434000","11233817000","4417771000","3072664000","0","0","0","11233817000","1376315000","0","101102454000","101069886000","0"
"2019-06-30","TWD","241055305000","164751252000","137325245000","103730060000","156585143000","66764850000","21393728000","0","80545440000","606948000","5771267000","0","76300155000","204182000","864751000","13769589000","4187997000","3682166000","0","0","0","13769589000","559221000","0","66775851000","66764850000","0"
"2019-03-31","TWD","218709901000","154443878000","128352344000","90357557000","146935662000","61393851000","20417311000","0","68181652000","24.27","5600702000","0","64266023000","13.35","899065000","6794342000","4408776000","3509711000","0","0","0","245.41","405918000","0","61387310000","2217.51","0"
"2018-12-31","USD","289771000000","6699.46","151652000000","138119000000","183154000000","4185.74","886.08","0","4156.15","25.30","7163000000","0","4139.14","-32.69","-32.76","None","None","None","0","0","0","-30.38","17.02","0","4186.53","4185.74","0"
"2018-09-30","USD","260333679000","5403459368.35","136967039000","123366640000","173716315000","2915124464.08","716288627.07","0","3236686041.56","21537784.32","6242253000","0","3117171690.39","235967.93","-24188119.78","None","None","None","0","0","0","320696121.75","119514351.17","0","2915989919.82","2915124464.08","0"
"2018-06-30","USD","233219641000","4857186367.43","121688707000","111530934000","159782553000","2366728510.86","651231907.54","0","2867541063.04","20748187.07","6548571000","None","2780090752.84","7579040.42","-20569464.22","None","None","None","0","0","0","500719704.04","87450310.20","0","2366821359","2366728510.86","None"
"2018-03-31","USD","247961516000","151251725000","123103977000","124857539000","172067953000","3085382000","702014000","0","3434489000","102000","6299800000","None","3375788000","1419354000","27765000","None","None","None","0","0","0","349005000","3116675000","0","89787574000","3085382000","None"
"2017-12-31","USD","277602795000","559376820000","138854833000","138747962000","184586026000","3600537000","761511000","0","3987015000","864000","7624475000","None","3918422000","273951000","29938000","None","None","None","0","0","0","385614000","10297112000","0","300010168000","3600537000","None"
"2017-09-30","USD","252110812000","177923989000","126230664000","125880148000","172169774000","2973252000","695969000","0","3324131000","784000","6491277000","None","3251432000","-192693000","27891000","None","None","None","0","0","0","350095000","1272340000","0","153999996000","2973252000","None"
"2017-06-30","USD","213810623000","-285086219000","105101969000","108708654000","144580220000","2181403000","627303000","0","2834676000","-1709838000","6309358000","None","2744575000","200649000","27647000","None","None","None","0","0","0","653285000","-4548261000","0","-196592072000","2181403000","None"
"2017-03-31","USD","233918370000","138562010000","112428734000","121489636000","158328780000","2884427000","638986000","0","3219964000","796662000","6744090000","None","3137689000","-23207000","26882000","None","None","None","0","0","0","335800000","2470109000","0","87620908000","2884427000","None"
"2016-12-31","USD","7328634000","415883237000","2050665000","342822128000","271649178000","2753367000","558919000","0","3151589000","562000","628860000","None","3093906000","45800000","22263000","None","None","None","0","0","0","397660000","8010400000","0","331797300000","2753367000","None"
"2016-09-30","USD","8728684000","154143763000","2560062000","132039072000","106262122000","3223760000","629461000","0","3617977000","992000","715845000","None","3548549000","0","27884000","None","None","None","0","0","0","393225000","0","0","0","3223760000","None"
"2016-06-30","USD","6876378000","0","1758106000","0","0","2247852000","524027000","0","2896231000","681000","573103000","None","2831775000","0","25461000","None","None","None","0","0","0","647698000","0","0","0","2247852000","None"
"2016-03-31","USD","6323659000","0","1889556000","0","0","2013098000","485362000","0","2245367000","345000","508306000","None","2190338000","0","26432000","None","None","None","0","0","0","231924000","0","0","0","2013098000","None"
"2015-12-31","USD","6319168000","521709000000","1639632000","410379800000","321788400000","2262390000","486487000","0","2506798000","144000","521650000","None","2413037000","124900000","25426000","None","None","None","0","0","0","244264000","28689200000","0","302832900000","2262390000","None"
