"date","open","high","low","close","volume"
"2021-02-05","124.5400","130.2488","123.3800","127.7800","42798794"
"2021-01-29","131.8300","132.1700","120.5500","121.5200","83603907"
"2021-01-22","130.5900","136.1300","128.4400","129.1400","72577661"
"2021-01-15","119.7400","134.6450","118.0000","125.2300","101232120"
"2021-01-08","111.4700","126.2900","110.4450","118.6900","64987853"
"2020-12-31","107.6000","109.7000","105.2200","109.0400","24231222"
"2020-12-24","103.5600","106.3400","102.9100","105.9700","18210319"
"2020-12-18","103.7700","106.3800","103.1550","104.2800","34465202"
"2020-12-11","106.0200","107.8400","102.2000","104.0300","44500908"
"2020-12-04","97.5600","104.3000","96.2000","103.7300","56643815"
"2020-11-27","97.1600","99.2700","96.0200","98.7400","25353684"
"2020-11-20","96.4200","102.4400","95.3000","95.3300","48685243"
"2020-11-13","92.2000","93.8100","86.7000","93.2200","41697516"
"2020-11-06","84.6000","91.5000","84.5300","91.4100","33565647"
"2020-10-30","87.2100","87.7800","83.1600","83.8700","30421233"
"2020-10-23","88.3400","89.6200","87.2900","88.3100","32565856"
"2020-10-16","89.1200","91.2700","86.4400","86.7000","44260554"
"2020-10-09","81.5500","88.8600","81.5500","88.7800","47900616"
"2020-10-02","80.3100","82.7200","79.3100","80.8000","30395093"
"2020-09-25","79.8000","80.8900","76.1700","78.8800","39885415"
"2020-09-18","80.5000","86.7900","79.9500","80.2300","63264031"
"2020-09-11","78.0200","81.2300","77.2200","78.8200","38516305"
"2020-09-04","79.0000","82.7100","77.4100","78.9100","66317757"
"2020-08-28","79.7300","82.3100","78.4900","80.4400","34058068"
"2020-08-21","79.8000","80.8900","75.9800","78.3400","42744809"
"2020-08-14","80.5500","80.8500","77.7300","78.4100","34999703"
"2020-08-07","77.7700","84.0000","77.4100","80.0300","55699035"
"2020-07-31","81.3600","83.4000","76.4900","78.8900","128550741"
"2020-07-24","66.7000","76.8900","65.8000","73.9000","74121964"
"2020-07-17","65.2000","68.0000","64.3200","66.4000","66937052"
"2020-07-10","60.6700","64.9700","60.5600","63.8500","55696864"
"2020-07-02","56.3400","59.0700","55.6600","58.6200","29056665"
"2020-06-26","55.5000","57.2600","55.3200","56.3300","30116965"
"2020-06-19","54.7100","57.0000","54.5200","55.3100","38375468"
"2020-06-12","55.7400","58.0400","54.7100","56.0000","44543683"
"2020-06-05","50.9100","56.3400","50.5400","55.2000","43662086"
"2020-05-29","51.3000","51.7400","49.8600","50.3300","39371015"
"2020-05-22","50.9400","52.2100","49.6100","49.8000","54359653"
"2020-05-15","52.6100","52.8300","49.3800","49.8000","55055984"
"2020-05-08","51.7900","53.3400","51.2800","52.9100","35074638"
"2020-05-01","53.1500","54.6900","51.0900","51.1000","39505047"
"2020-04-24","53.0000","53.8200","50.5200","52.7300","44575401"
"2020-04-17","48.7400","54.1900","47.9600","53.6900","60196212"
"2020-04-09","48.6300","51.3200","47.7200","48.3300","32529291"
"2020-04-03","47.1800","49.0300","46.3000","47.0600","38427323"
"2020-03-27","45.1200","50.4600","43.5200","46.9100","55235287"
"2020-03-20","46.3400","48.5600","42.7000","44.5300","70382433"
"2020-03-13","51.5500","54.6200","48.5100","52.2300","70646823"
"2020-03-06","54.3700","57.0900","53.8300","55.0700","61305292"
"2020-02-28","53.5500","55.4700","51.0000","53.8400","59077936"
"2020-02-21","56.1000","57.9400","55.5200","55.5900","32859355"
"2020-02-14","56.4400","59.7500","56.3400","58.1900","30149767"
"2020-02-07","54.3500","58.2800","54.1400","56.2000","39974334"
"2020-01-31","55.6200","57.5200","53.6000","53.9400","49226270"
"2020-01-24","57.9900","59.0000","56.6200","57.7300","38387520"
"2020-01-17","60.1500","60.6400","58.0100","58.5800","42735839"
"2020-01-10","57.6000","59.7100","56.7400","58.8600","31695541"
"2020-01-03","58.6600","60.1200","57.4600","58.0600","25448792"
"2019-12-27","58.0300","58.7100","57.5500","58.4600","12052391"
"2019-12-20","58.2900","59.7100","57.3200","57.9300","39480315"
"2019-12-13","55.0500","59.5200","54.3200","58.2500","47596268"
"2019-12-06","53.5500","55.0300","52.1800","54.9400","26951036"
"2019-11-29","53.0900","54.0600","52.8000","53.0900","16871889"
"2019-11-22","53.3900","54.1400","52.7400","52.7900","24979192"
"2019-11-15","52.3900","53.3900","52.0300","53.2900","29334339"
"2019-11-08","53.5500","54.3700","52.5300","52.8300","31939765"
"2019-11-01","51.4000","52.1000","51.0500","52.1000","28594176"
"2019-10-25","49.5300","51.2300","49.3300","51.1300","38045971"
"2019-10-18","49.4200","51.2100","49.1300","49.2800","52918425"
"2019-10-11","47.7300","49.7900","47.4300","49.4200","53148533"
"2019-10-04","46.5700","47.8500","46.1200","47.4200","37788946"
"2019-09-27","44.1800","46.5100","43.8500","45.5100","45330531"
"2019-09-20","44.5300","45.2200","43.8700","43.8700","27938579"
"2019-09-13","43.9100","44.8300","43.3600","44.7400","26466292"
"2019-09-06","42.1500","44.5100","41.5800","43.7100","21232402"
"2019-08-30","41.3700","42.8900","41.0500","42.6300","23851805"
"2019-08-23","42.1600","42.6400","40.8600","40.9500","25924980"
"2019-08-16","41.0500","41.9900","40.2500","41.5400","34535620"
"2019-08-09","40.4100","42.1800","39.7800","41.4100","32097239"
"2019-08-02","43.5200","43.9500","41.0100","41.6500","35649244"
"2019-07-26","44.2000","44.8800","43.3800","43.4600","34725232"
"2019-07-19","41.7500","44.0200","41.5200","43.8300","40529553"
"2019-07-12","39.5700","41.2700","39.2400","41.2300","32116587"
"2019-07-05","41.5400","41.9000","39.6400","39.9300","21805921"
"2019-06-28","39.5600","40.0700","38.9100","39.1700","40909943"
"2019-06-21","37.9200","40.7200","37.6600","40.5200","52188274"
"2019-06-14","39.4900","40.6000","37.8300","37.8400","38544035"
"2019-06-07","38.9600","39.2600","37.9200","38.8200","35515238"
"2019-05-31","38.1300","38.9700","37.1800","38.3500","42182319"
"2019-05-24","39.2500","39.3900","37.4100","38.2000","63253421"
"2019-05-17","41.3700","42.3300","40.0900","40.2500","43987388"
"2019-05-10","43.3200","44.0500","42.1900","42.8300","48637665"
"2019-05-03","43.8500","45.1400","43.2600","44.7100","44652241"
"2019-04-26","44.7900","45.5900","43.3200","43.9400","55982074"
"2019-04-18","42.5800","45.6400","42.4600","45.4000","44279206"
"2019-04-12","42.2400","42.6500","41.9500","42.5800","27648413"
"2019-04-05","41.0800","42.3400","40.7400","42.2300","31276367"
"2019-03-29","40.0000","41.0500","39.7700","40.9600","30884682"
"2019-03-22","39.8600","41.2400","39.6000","40.4300","32987371"
"2019-03-15","38.2300","40.0700","38.2000","39.6500","31478392"
"2019-03-08","39.3300","39.3300","37.9400","38.2000","28004580"
"2019-03-01","39.8700","39.9200","39.0000","39.3900","29888019"
"2019-02-22","38.2200","39.5100","38.1050","39.3900","25009513"
"2019-02-15","37.9200","38.7700","37.7600","38.0900","38887770"
"2019-02-08","37.5000","38.8200","37.3800","37.7900","38456689"
"2019-02-01","36.9200","38.1000","36.2900","37.5700","47540955"
"2019-01-25","36.5000","38.2600","36.1000","38.1400","58158302"
"2019-01-18","36.1300","37.0100","34.8300","36.8400","59862589"
"2019-01-11","35.0100","36.7700","34.6400","36.6100","45211488"
"2019-01-04","37.4300","37.5850","34.2100","34.9700","40049986"
"2018-12-28","35.5600","37.6800","35.2700","37.1400","32409605"
"2018-12-21","36.6300","37.2750","35.5400","35.7100","59141809"
"2018-12-14","36.3100","37.7000","36.0800","36.5300","41276007"
"2018-12-07","38.8200","39.0000","35.6100","36.5200","43655701"
"2018-11-30","36.7100","38.3700","36.3900","37.5900","38119225"
"2018-11-23","36.6400","36.7200","35.2200","35.9600","36198715"
"2018-11-16","37.8600","38.5700","36.6600","36.8700","64351510"
"2018-11-09","38.7200","39.3000","37.8100","38.0700","37667754"
"2018-11-02","37.1700","39.4900","35.9700","38.7800","57071913"
"2018-10-26","39.1900","39.2300","36.1400","36.6700","55728863"
"2018-10-19","39.4700","40.0900","38.3400","38.4500","47952564"
"2018-10-12","40.7600","41.3000","38.3300","39.6600","44082446"
"2018-10-05","44.5500","44.9600","41.1700","41.6300","31907876"
"2018-09-28","43.8400","45.2300","43.7900","44.1600","33911578"
"2018-09-21","43.6300","44.4300","43.3500","44.0600","32814379"
"2018-09-14","45.0000","45.0600","43.2700","44.4100","44558240"
"2018-09-07","43.2600","45.2400","43.1900","44.8800","40118470"
"2018-08-31","41.4300","44.4900","41.3700","43.6000","45304053"
"2018-08-24","40.0200","41.4100","39.9000","41.2400","24103077"
"2018-08-17","40.6900","41.1900","39.7900","40.1300","31541980"
"2018-08-10","41.2000","42.1100","40.7900","41.0300","31396825"
"2018-08-03","41.4500","41.9500","40.8900","41.6900","25442559"
"2018-07-27","40.8200","41.9200","40.3100","41.4500","39518574"
"2018-07-20","37.8800","40.8500","37.3500","40.7300","54413248"
"2018-07-13","37.8700","38.0300","36.9000","37.7700","31874907"
"2018-07-06","36.2100","37.3500","36.0400","37.2700","30369565"
"2018-06-29","36.3000","36.7700","35.3500","36.5600","43433969"
"2018-06-22","38.3100","38.5900","37.3500","38.1200","47095829"
"2018-06-15","39.0000","39.8900","38.5500","38.6900","39582473"
"2018-06-08","39.8500","40.0000","38.5200","38.9300","41401004"
"2018-06-01","38.4900","39.2000","38.0300","39.2000","29710946"
"2018-05-25","39.3400","39.7900","38.7800","39.3000","31803485"
"2018-05-18","40.1300","40.5500","38.2800","38.4200","34056508"
"2018-05-11","38.4500","40.1800","38.2400","39.9100","30710312"
"2018-05-04","38.6900","38.9400","37.3000","38.5900","41492649"
"2018-04-27","38.9600","39.2100","37.9900","38.1700","52502806"
"2018-04-20","42.8100","43.0100","38.8200","38.9500","66825590"
"2018-04-13","43.0900","44.2200","42.5600","42.6500","30596001"
"2018-04-06","43.3400","44.2800","42.2600","42.4200","29281313"
"2018-03-29","43.8100","44.8400","42.4400","43.7600","28712292"
"2018-03-23","44.7200","44.9100","42.5800","42.5800","30799007"
"2018-03-16","44.7900","45.7500","44.7500","44.9700","27386684"
"2018-03-09","43.0500","44.6000","42.8700","44.5900","34520669"
"2018-03-02","44.1100","44.4100","42.1500","43.0100","28908945"
"2018-02-23","43.0800","44.1600","42.1800","43.9000","31093136"
"2018-02-16","42.0300","43.9600","41.8800","43.4800","30174007"
"2018-02-09","44.0500","44.8100","39.9600","41.4700","62346281"
"2018-02-02","45.4700","45.9300","44.4000","44.5100","46920636"
"2018-01-26","46.0000","46.5700","45.0300","45.7200","36109392"
"2018-01-19","42.0100","45.5400","41.8100","44.6700","34609177"
"2018-01-12","42.4000","42.5000","40.7200","41.1900","27100641"
"2018-01-05","40.5100","42.5700","40.4200","42.4600","22154574"
"2017-12-29","39.3100","40.2200","38.8100","39.6500","14104744"
"2017-12-22","39.3800","39.6600","39.1200","39.6300","22618964"
"2017-12-15","39.1900","39.6500","39.0800","39.5000","26881816"
"2017-12-08","40.0500","40.1300","38.5200","39.0000","36592242"
"2017-12-01","41.6700","41.6800","39.0000","39.7000","41276928"
"2017-11-24","42.0700","43.0200","41.9600","42.9900","12392062"
"2017-11-17","41.7200","42.4200","41.2800","42.0700","15444993"
"2017-11-10","42.1900","42.7099","41.2900","41.7200","20597607"
"2017-11-03","42.3600","42.6600","41.5900","42.1900","22537564"
"2017-10-27","41.3700","42.1800","40.7000","42.1500","20991816"
"2017-10-20","40.8800","41.7200","40.5000","41.1200","27905003"
"2017-10-13","38.6000","40.8600","38.5000","40.8200","24528701"
"2017-10-06","37.8300","38.8500","37.7650","38.4600","19084237"
"2017-09-29","37.5000","37.6000","36.7900","37.5500","28130335"
"2017-09-22","37.8700","38.4300","37.4400","37.7700","33687612"
"2017-09-15","37.3900","37.9400","37.3500","37.6500","28472635"
"2017-09-08","37.2500","37.6800","36.6463","37.5000","20489898"
"2017-09-01","36.5900","37.2400","36.5000","37.2200","16425170"
"2017-08-25","35.9100","37.0600","35.6300","36.8500","17266469"
"2017-08-18","36.0300","36.4900","35.6100","35.8600","17944754"
"2017-08-11","36.2600","36.9600","35.3400","36.1400","21211501"
"2017-08-04","36.0300","36.4700","35.6500","36.0300","27250688"
"2017-07-28","36.1100","36.6100","35.7000","35.8600","27382304"
"2017-07-21","36.0300","36.4200","35.6400","35.8500","29889097"
"2017-07-14","34.6100","36.3500","34.5500","36.2500","43432154"
"2017-07-07","35.0400","35.1700","34.3100","34.6300","28124160"
"2017-06-30","36.4400","36.5150","34.5310","34.9600","39025163"
"2017-06-23","36.1300","36.9200","36.0700","36.7300","27672328"
"2017-06-16","35.2000","35.9500","35.0100","35.8700","35098426"
"2017-06-09","36.5600","36.9000","35.2000","35.7900","36019349"
"2017-06-02","35.6800","36.2300","35.1000","36.1800","23678509"
"2017-05-26","35.3900","35.7900","35.2600","35.5100","27964447"
"2017-05-19","35.3600","35.3900","34.3900","35.2000","39546198"
"2017-05-12","34.7000","35.8000","34.6300","35.3700","35696453"
"2017-05-05","33.1600","34.4400","33.1400","34.4200","27612197"
"2017-04-28","32.5800","33.2950","32.4850","33.0700","28235391"
"2017-04-21","32.0400","32.1400","31.4900","32.0800","25892391"
"2017-04-13","32.8700","32.8700","31.8200","31.8300","26149195"
"2017-04-07","32.9400","33.3300","32.7050","32.8700","20509820"
"2017-03-31","32.8500","33.4300","32.5700","32.8400","23016283"
"2017-03-24","32.8000","33.5300","32.3700","32.8100","32810079"
"2017-03-17","31.2700","32.7600","31.2000","32.5900","27193031"
"2017-03-10","30.8000","31.5200","30.7100","31.0600","28786310"
"2017-03-03","31.8200","31.8200","30.5400","30.8500","31475076"
"2017-02-24","32.3900","32.4700","31.4700","31.9200","19749939"
"2017-02-17","30.9400","32.4900","30.9400","32.3400","40705731"
"2017-02-10","30.9500","30.9700","30.1700","30.7100","32806314"
"2017-02-03","31.0700","31.3100","30.6150","30.9700","29586854"
"2017-01-27","30.3100","31.4499","30.2100","31.2500","36490073"
"2017-01-20","29.6100","30.2600","29.3900","30.0700","31251312"
"2017-01-13","29.7900","30.3000","28.9800","29.4400","46264048"
"2017-01-06","29.2500","29.9100","29.0600","29.6300","20327114"
"2016-12-30","29.0000","29.3200","28.6200","28.7500","16933015"
"2016-12-23","29.4900","29.5600","28.5000","29.0500","30304190"
"2016-12-16","29.9700","30.6400","29.3850","29.4800","27129591"
"2016-12-09","28.9400","30.6300","28.8743","30.1200","20671696"
"2016-12-02","29.7100","29.9400","28.3410","28.8600","38788383"
"2016-11-25","29.6000","30.1450","29.4600","29.6600","19634829"
"2016-11-18","29.2800","30.0200","28.7700","29.4700","40691995"
"2016-11-11","30.7200","31.5000","28.7600","29.9300","34666668"
"2016-11-04","30.9300","31.2000","30.0200","30.2400","23625289"
"2016-10-28","31.1400","31.6150","30.7500","30.7700","22559200"
"2016-10-21","30.5200","31.1500","30.3800","31.0800","30965794"
"2016-10-14","31.1900","31.4800","29.5200","30.6600","54700923"
"2016-10-07","30.6400","31.2100","30.3600","31.1800","25361631"
"2016-09-30","30.0200","30.6800","29.6500","30.5900","25892712"
"2016-09-23","29.9100","30.9543","29.8700","30.1200","34845810"
"2016-09-16","28.5500","29.2700","28.2005","28.9100","31441350"
"2016-09-09","29.5100","30.5500","28.5500","28.5900","35550086"
"2016-09-02","28.5800","29.2100","28.5300","29.1400","24937243"
"2016-08-26","28.3000","28.8950","28.2200","28.6400","28965246"
"2016-08-19","29.3800","29.4500","28.5100","28.6400","26594194"
"2016-08-12","28.7600","29.4500","28.7100","29.2400","36237286"
"2016-08-05","28.3500","28.8500","27.9100","28.7900","26026354"
"2016-07-29","27.4900","28.4900","27.4900","27.7800","37148595"
"2016-07-22","27.3100","27.8200","27.1500","27.7400","30074797"
"2016-07-15","27.1600","27.3700","26.6400","27.0100","43286350"
"2016-07-08","26.1600","26.7950","25.7500","26.7300","22849789"
"2016-07-01","24.6400","26.6500","24.3550","26.5300","49224708"
"2016-06-24","26.3200","26.9200","25.5100","25.6800","40363367"
"2016-06-17","25.5500","26.0300","25.3800","25.8500","31984120"
"2016-06-10","25.6000","26.5800","25.4300","25.8600","32836891"
"2016-06-03","24.8300","25.6000","24.5300","25.5300","23356648"
"2016-05-27","24.6300","25.0100","24.2100","24.8000","33151134"
"2016-05-20","22.9700","24.0200","22.9000","23.9100","30870353"
"2016-05-13","23.4000","23.4900","22.7500","22.8200","29262055"
"2016-05-06","23.5800","23.7500","23.1550","23.4100","35837618"
"2016-04-29","25.1500","25.3500","23.4200","23.5900","52110956"
"2016-04-22","25.3800","25.6800","24.7400","25.0700","37769470"
"2016-04-15","25.7000","26.2050","25.0850","25.4600","41145693"
"2016-04-08","26.1300","26.1300","25.0200","25.2800","37237373"
"2016-04-01","25.7200","26.6200","25.4400","26.1200","23207912"
"2016-03-24","25.8800","26.0600","25.4400","25.7300","22756188"
"2016-03-18","25.3100","26.2500","24.7200","26.0400","37296655"
"2016-03-11","24.4000","25.3800","24.0600","25.3500","40495315"
"2016-03-04","23.5700","24.9500","23.4600","24.6500","37536173"
"2016-02-26","24.0200","24.1300","22.8300","23.7700","33317853"
"2016-02-19","22.6200","24.1900","22.5900","23.7800","47530285"
"2016-02-12","22.4800","22.9100","21.7850","22.2400","40263456"
"2016-02-05","22.1800","23.3600","22.1500","22.7500","47757173"
"2016-01-29","21.7100","22.4000","21.4800","22.3500","38785211"
"2016-01-22","21.6300","21.9500","20.7400","21.9300","43096417"
"2016-01-15","21.1700","21.8650","20.4500","21.1000","64988601"
"2016-01-08","22.2400","22.4150","20.7700","20.8100","45348909"
"2015-12-31","23.1500","23.2300","22.5650","22.7500","13709230"
"2015-12-24","22.9300","23.2800","22.7500","23.1500","17695035"
"2015-12-18","22.3300","23.2900","22.0700","22.9300","42296917"
"2015-12-11","23.4500","23.5000","22.1600","22.1800","37929682"
"2015-12-04","22.4400","23.3699","22.3800","23.3100","37938329"
"2015-11-27","22.9200","22.9400","22.1600","22.4500","23851374"
"2015-11-20","21.8300","22.9400","21.8000","22.8300","35435344"
"2015-11-13","22.7500","22.9800","21.5700","21.8900","34842416"
"2015-11-06","21.8600","23.6600","21.7700","22.8200","50086272"
"2015-10-30","22.4700","22.5200","21.5200","21.9600","45880476"
"2015-10-23","22.0800","22.7500","21.9600","22.4700","43905288"
"2015-10-16","22.0700","22.7850","21.6600","22.1600","69787385"
"2015-10-09","21.0600","22.4300","20.7900","21.9500","57245979"
"2015-10-02","19.9700","21.0000","19.4900","20.7600","68325729"
"2015-09-25","20.5300","20.7200","19.5600","20.0500","69775154"
"2015-09-18","19.9900","21.0200","19.8900","20.6100","56184187"
"2015-09-11","19.9600","20.6600","19.2700","19.9000","48065933"
"2015-09-04","20.1100","20.2350","19.2537","19.6700","55056957"
"2015-08-28","17.7400","20.0800","17.3200","20.0000","107200660"
"2015-08-21","19.9000","20.3100","18.8700","18.8800","74036998"
"2015-08-14","21.1200","21.8900","20.1800","20.3800","84240066"
"2015-08-07","21.9000","21.9150","20.9900","21.0300","62820018"
"2015-07-31","21.5700","22.7800","21.3300","22.1100","69764230"
"2015-07-24","22.6200","23.1600","21.6100","21.6400","70255487"
"2015-07-17","22.6900","23.0850","21.7000","23.0300","74306117"
"2015-07-10","23.0000","23.2600","22.1100","22.5700","52754154"
