"fiscalDateEnding","reportedCurrency","totalAssets","intangibleAssets","earningAssets","otherCurrentAssets","totalLiabilities","totalShareholderEquity","deferredLongTermLiabilities","otherCurrentLiabilities","commonStock","retainedEarnings","otherLiabilities","goodwill","otherAssets","cash","totalCurrentLiabilities","shortTermDebt","currentLongTermDebt","otherShareholderEquity","propertyPlantEquipment","totalCurrentAssets","longTermInvestments","netTangibleAssets","shortTermInvestments","netReceivables","longTermDebt","inventory","accountsPayable","totalPermanentEquity","additionalPaidInCapital","commonStockTotalEquity","preferredStockTotalEquity","retainedEarningsTotalEquity","treasuryStock","accumulatedAmortization","otherNonCurrrentAssets","deferredLongTermAssetCharges","totalNonCurrentAssets","capitalLeaseObligations","totalLongTermDebt","otherNonCurrentLiabilities","totalNonCurrentLiabilities","negativeGoodwill","warrants","preferredStockRedeemable","capitalSurplus","liabilitiesAndShareholderEquity","cashAndShortTermInvestments","accumulatedDepreciation","commonStockSharesOutstanding"
"2020-12-31","USD","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","177400000000","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"2020-09-30","USD","358043000000","None","None","2002000000","173431000000","177400000000","24467000000","1217000000","15997000000","407728000000","70075000000","None","24285000000","8832000000","56468000000","21911000000","21911000000","-20189000000","250496000000","48693000000","43609000000","177400000000","None","19974000000","46888000000","17885000000","34557000000","None","None","15997000000","None","407728000000","-226136000000","None","15245000000","None","309350000000","None","46888000000","45608000000","116963000000","None","None","None","None","358043000000","8832000000","None","4228000000"
"2020-06-30","USD","361495000000","None","None","1747000000","174342000000","180183000000","24725000000","1102000000","15812000000","412124000000","70509000000","None","23522000000","12576000000","57270000000","22952000000","22952000000","-21617000000","250524000000","53016000000","43192000000","180183000000","None","19036000000","46563000000","19657000000","34318000000","None","None","15812000000","None","412124000000","-226136000000","None","14763000000","None","308479000000","None","46563000000","45784000000","117072000000","None","None","None","None","361495000000","12576000000","None","4228000000"
"2020-03-31","USD","355804000000","None","None","1465000000","167061000000","182079000000","24863000000","1203000000","15636000000","416919000000","70431000000","None","22701000000","11412000000","64773000000","27755000000","27755000000","-24339000000","248409000000","50249000000","42981000000","182079000000","None","20871000000","31857000000","16501000000","37018000000","None","None","15636000000","None","416919000000","-226137000000","None","14165000000","None","305555000000","None","31857000000","45568000000","102288000000","None","None","None","None","355804000000","11412000000","None","4228000000"
"2019-12-31","USD","362597000000","None","None","1469000000","163659000000","191650000000","25620000000","14190000000","15637000000","421341000000","68707000000","None","23413000000","3089000000","63989000000","20578000000","20578000000","-19493000000","253018000000","50052000000","43164000000","191650000000","None","26966000000","24672000000","18528000000","43411000000","None","None","15637000000","None","421341000000","-225835000000","None","16363000000","None","312545000000","1670000000","26342000000","47708000000","99670000000","None","None","None","None","362597000000","3089000000","None","4234000000"
"2019-09-30","USD","359361000000","None","None","1759000000","162252000000","189915000000","26513000000","2458000000","15795000000","419367000000","67571000000","None","17761000000","5351000000","64195000000","21196000000","21196000000","-19277000000","257065000000","50008000000","42920000000","189915000000","None","25308000000","25950000000","17590000000","40541000000","None","None","15795000000","None","419367000000","-225970000000","None","15921000000","None","309353000000","None","25950000000","21997000000","98057000000","None","None","None","None","359361000000","5351000000","None","4231000000"
"2019-06-30","USD","360729000000","None","None","1563000000","162264000000","191377000000","26846000000","2612000000","15639000000","419913000000","68660000000","None","17990000000","4213000000","70287000000","26195000000","26195000000","-18205000000","250853000000","51743000000","42533000000","191377000000","None","27132000000","19001000000","18835000000","41480000000","None","None","15639000000","None","419913000000","-225970000000","None","15600000000","None","308986000000","None","19001000000","22127000000","91977000000","None","None","None","None","360729000000","4213000000","None","4231000000"
"2019-03-31","USD","356189000000","None","None","1553000000","158168000000","191222000000","27287000000","2761000000","15476000000","420498000000","69748000000","None","9542000000","4586000000","66632000000","21794000000","21794000000","-18782000000","248563000000","51576000000","42068000000","191222000000","None","27105000000","17730000000","18332000000","44838000000","None","None","15476000000","None","420498000000","-225970000000","None","13982000000","None","304613000000","None","19031000000","45218000000","91536000000","None","None","None","None","356189000000","4586000000","None","4231000000"
"2018-12-31","USD","346196000000","None","None","1272000000","147668000000","191794000000","27244000000","15537000000","15258000000","421653000000","69992000000","None","24530000000","3042000000","57138000000","17258000000","4070000000","-19564000000","247101000000","47973000000","40790000000","191794000000","None","24701000000","19235000000","18958000000","39880000000","None","None","15258000000","None","421653000000","-225553000000","None","10332000000","None","298223000000","None","20538000000","42748000000","90530000000","None","None","None","None","346196000000","3042000000","None","4237000000"
"2018-09-30","USD","354628000000","0","None","1665000000","157797000000","190365000000","27084000000","4409000000","15254000000","419155000000","71885000000","0","20042000000","5669000000","65288000000","19413000000","None","-18370000000","249153000000","53975000000","40427000000","190365000000","0","27880000000","19275000000","18761000000","45875000000","0","0","15254000000","0","419155000000","-225674000000","None","11073000000","None","300653000000","None","20624000000","44801000000","92509000000","None","None","None","None","354628000000","5669000000","None","4234000000"
