"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","None","None","None","None","None","None","None","None","-20070000000","None","None","None","None","None","None","None","None","None","0","None","None","None"
"2020-09-30","USD","-1403000000","0","-3709000000","1501000000","-928000000","-4494000000","150000000","863000000","-709000000","-3814000000","4389000000","863000000","4983000000","-3760000000","194000000","-115000000","None","-633000000","3291000000","None","None","-3814000000"
"2020-06-30","USD","-796000000","0","-5081000000","132000000","9838000000","6277000000","-21000000","-1460000000","-1169000000","1196000000","6274000000","-1460000000","4916000000","-3763000000","223000000","-2069000000","None","-218000000","4417000000","None","None","1196000000"
"2020-03-31","USD","-728000000","0","-6367000000","306000000","12760000000","8785000000","49000000","-942000000","-770000000","8692000000","6274000000","-942000000","5819000000","-3764000000","-211000000","2245000000","None","-78000000","5945000000","None","None","8692000000"
"2019-12-31","USD","117000000","3725000000","-4264000000","2323000000","-660000000","-4456000000","93000000","-2798000000","5730000000","-2368000000","6352000000","-4187000000","4923000000","-3751000000","-45000000","72000000","-2640000000","-1271000000","6704000000","-2640000000","None","-2368000000"
"2019-09-30","USD","-802000000","0","-6150000000","937000000","1958000000","-1666000000","92000000","1550000000","3247000000","1263000000","9079000000","1550000000","4873000000","-3773000000","149000000","72000000","-2640000000","-591000000","6285000000","None","None","1211000000"
"2019-06-30","USD","-820000000","0","-6877000000","116000000","4365000000","548000000","-102000000","-1243000000","3391000000","-382000000","5947000000","-347000000","4631000000","-3772000000","-45000000","72000000","-2640000000","-1728000000","6173000000","None","9000000","-373000000"
"2019-03-31","USD","-910000000","0","-5793000000","316000000","2999000000","-1044000000","-117000000","2257000000","2406000000","1501000000","8338000000","1361000000","4571000000","-3548000000","-495000000","72000000","-2640000000","-840000000","5199000000","None","43000000","1544000000"
"2018-12-31","USD","118000000","2321000000","-5584000000","392000000","-2272000000","-5501000000","469000000","2257000000","6206000000","-2478000000","8607000000","2441000000","5028000000","-3553000000","324000000","-3107000000","-545000000","-3737000000","6094000000","-545000000","-149000000","-2627000000"
"2018-09-30","USD","-409000000","0","-3907000000","1706000000","-1299000000","-4959000000","-156000000","957000000","6446000000","2242000000","11108000000","4000000","4658000000","-3560000000","-100000000","-3107000000","-545000000","-747000000","5204000000","None","-3000000","2239000000"
"2018-06-30","USD","-566000000","0","-5096000000","397000000","568000000","-3244000000","-308000000","-1333000000","3986000000","-560000000","7780000000","-795000000","4589000000","-3594000000","-218000000","-3107000000","-545000000","574000000","4927000000","None","-135000000","-695000000"
"2018-03-31","USD","-138000000","0","-1859000000","1628000000","-1922000000","-5742000000","-102000000","351000000","4783000000","918000000","8519000000","-734000000","4470000000","-3334000000","-486000000","-3107000000","-545000000","-952000000","3349000000","None","30000000","948000000"
"2017-12-31","USD","-1481000000","5104000000","-6536000000","-554000000","1789000000","-1837000000","-334000000","-117000000","8409000000","-962000000","7411000000","2472000000","5842000000","-3334000000","-292000000","-1682000000","-3954000000","-8780000000","4501000000","-3954000000","-127000000","-1089000000"
"2017-09-30","USD","-157000000","0","-2555000000","2515000000","-1589000000","-4988000000","-109000000","-319000000","4085000000","-8000000","7535000000","-1430000000","4880000000","-3337000000","-62000000","0","0","-996000000","4913000000","None","232000000","224000000"
"2017-06-30","USD","-55000000","0","-2878000000","275000000","-1681000000","-5059000000","-76000000","-1021000000","3264000000","-990000000","6947000000","-969000000","4652000000","-3336000000","-42000000","0","0","-34000000","3098000000","None","135000000","-855000000"
"2017-03-31","USD","-1738000000","5104000000","-3761000000","867000000","433000000","-3246000000","-44000000","793000000","4090000000","1166000000","8173000000","-436000000","4519000000","-3178000000","-501000000","0","0","-1229000000","2890000000","None","74000000","1240000000"
"2016-12-31","USD","883000000","915000000","-1672000000","1332000000","-3323000000","-6746000000","-162000000","171000000","2024000000","-1022000000","7396000000","5465000000","8117000000","-3173000000","-250000000","-388000000","-2090000000","-6647000000","3887000000","-2090000000","-414000000","-1436000000"
"2016-09-30","USD","-1087000000","915000000","-3235000000","1256000000","1875000000","-1296000000","None","-661000000","2889000000","824000000","5355000000","-2139000000","4605000000","-3170000000","-1000000","0","0","-1478000000","3404000000","None","-89000000","735000000"
"2016-06-30","USD","-77000000","915000000","-3147000000","1201000000","1400000000","-1775000000","None","-1326000000","1681000000","-403000000","4519000000","-1983000000","4821000000","-3176000000","1000000","0","0","-657000000","4271000000","None","-85000000","-488000000"
"2016-03-31","USD","-234000000","915000000","-4349000000","486000000","4341000000","524000000","None","-399000000","1781000000","987000000","4812000000","-1734000000","4765000000","-3096000000","-721000000","0","0","-1335000000","4601000000","None","154000000","1141000000"
"2015-12-31","USD","647000000","-7471000000","-5324000000","165000000","4257000000","413000000","2000000","45000000","2830000000","-531000000","4380000000","2702000000","4755000000","-3097000000","-749000000","-379000000","4692000000","-2749000000","6136000000","4692000000","-60000000","-591000000"
