"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","46540000000","73153000000","None","None","-26613000000","-20070000000","None","None","-26613000000","None","None","None","-26613000000","7344000000","None","-6010000000","None","None","None","None","None","-6010000000","None","None","-20603000000","-20070000000","None"
"2020-09-30","USD","45425000000","15239000000","36036000000","9389000000","4890000000","-680000000","None","None","-372000000","-29000000","2444000000","None","-93000000","5255000000","279000000","337000000","238000000","-279000000","None","188000000","None","337000000","502000000","None","-709000000","-680000000","None"
"2020-06-30","USD","32277000000","12964000000","25880000000","6397000000","3593000000","-1080000000","None","None","-1640000000","-89000000","2409000000","None","-1323000000","5187000000","317000000","-471000000","-214000000","-317000000","None","214000000","None","-471000000","57000000","None","-1169000000","-1080000000","None"
"2020-03-31","USD","55134000000","15787000000","46199000000","8935000000","5810000000","-610000000","None","None","-258000000","-160000000","2579000000","None","-9000000","6088000000","249000000","512000000","526000000","-249000000","None","288000000","None","512000000","755000000","None","-770000000","-610000000","None"
"2019-12-31","USD","63024000000","16304000000","49177000000","13847000000","11538000000","5690000000","None","None","6414000000","40000000","3048000000","None","9924000000","5130000000","201000000","684000000","976000000","-201000000","740000000","357000000","None","684000000","3942000000","None","5730000000","5690000000","None"
"2019-09-30","USD","63422000000","59739000000","49011000000","14411000000","9826000000","3170000000","None","None","4721000000","7194000000","2753000000","None","3683000000","7676000000","232000000","1474000000","964000000","-232000000","None","299000000","None","1474000000","1270000000","None","3247000000","3170000000","None"
"2019-06-30","USD","67491000000","63930000000","53095000000","14396000000","9479000000","3130000000","None","None","4632000000","261000000","2827000000","1359000000","3561000000","4944000000","216000000","1241000000","1143000000","-216000000","None","333000000","None","1241000000","1287000000","None","3391000000","3130000000","None"
"2019-03-31","USD","61646000000","15384000000","48342000000","13304000000","9041000000","2350000000","None","None","4289000000","56000000","2770000000","1709000000","2761000000","4929000000","181000000","1883000000","1528000000","-181000000","None","280000000","None","1883000000","1621000000","None","2406000000","2350000000","None"
"2018-12-31","USD","68253000000","16602000000","51985000000","16268000000","13364000000","6000000000","0","0","8121000000","206000000","2848000000","1756000000","6580000000","5361000000","215000000","None","None","None","20000000","555000000","0","1915000000","2727000000","0","6206000000","6000000000","None"
"2018-09-30","USD","74187000000","16452000000","55531000000","18656000000","13938000000","6240000000","0","0","9080000000","206000000","2892000000","1960000000","7320000000","4965000000","200000000","None","None","None","0","292000000","0","2634000000","2218000000","0","6446000000","6240000000","None"
"2018-06-30","USD","71456000000","16597000000","54834000000","16622000000","11248000000","3950000000","0","0","6512000000","36000000","2993000000","1729000000","4930000000","4897000000","147000000","None","None","None","0","332000000","0","2526000000","1898000000","0","3986000000","3950000000","None"
"2018-03-31","USD","65436000000","15988000000","49249000000","16187000000","11914000000","4650000000","0","0","7240000000","133000000","2747000000","1910000000","5534000000","4807000000","204000000","None","None","None","0","287000000","0","2457000000","1538000000","0","4783000000","4650000000","None"
"2017-12-31","USD","50832000000","4349000000","34821000000","16011000000","9045000000","8380000000","1063000000","0","3017000000","29000000","3004000000","673000000","2530000000","7133000000","186000000","None","None","None","0","703000000","0","-5392000000","4600000000","0","8409000000","8380000000","None"
"2017-09-30","USD","64415000000","20427000000","50510000000","13905000000","10574000000","3970000000","0","0","5583000000","115000000","2725000000","1472000000","4222000000","4602000000","111000000","None","None","None","0","284000000","0","1498000000","0","0","4085000000","3970000000","None"
"2017-06-30","USD","60825000000","19435000000","48842000000","11983000000","8966000000","3350000000","0","0","4156000000","-86000000","2628000000","1525000000","2789000000","4126000000","158000000","None","None","None","0","514000000","0","892000000","0","0","3264000000","3350000000","None"
"2017-03-31","USD","61090000000","18532000000","48065000000","13025000000","10583000000","4010000000","0","0","5918000000","80000000","2599000000","1710000000","4354000000","4032000000","146000000","None","None","None","0","289000000","0","1828000000","0","0","4090000000","4010000000","None"
"2016-12-31","USD","61056000000","24692000000","36880000000","24176000000","812000000","1680000000","1058000000","0","617000000","344000000","14867000000","1328000000","-516000000","9485000000","195000000","None","None","None","0","340000000","0","-1407000000","3433000000","0","2024000000","1680000000","None"
"2016-09-30","USD","56767000000","18794000000","35744000000","21023000000","3332000000","2650000000","0","0","3226000000","239000000","14669000000","1103000000","2229000000","3798000000","106000000","None","None","None","0","327000000","0","337000000","0","0","2889000000","2650000000","None"
"2016-06-30","USD","56360000000","19807000000","35206000000","21154000000","2471000000","1700000000","0","0","2396000000","-19000000","14751000000","1124000000","1347000000","4611000000","75000000","None","None","None","0","445000000","0","715000000","0","0","1681000000","1700000000","None"
"2016-03-31","USD","47105000000","18281000000","28268000000","18837000000","1807000000","1810000000","0","0","1730000000","-29000000","13512000000","1251000000","556000000","4414000000","77000000","None","None","None","0","355000000","0","-51000000","0","0","1781000000","1810000000","None"
"2015-12-31","USD","58170000000","20276000000","36725000000","21445000000","2688000000","2780000000","1008000000","0","2628000000","50000000","15121000000","1519000000","1169000000","4637000000","60000000","None","None","None","0","518000000","0","-202000000","7531000000","0","2830000000","2780000000","None"
