"date","open","high","low","close","volume"
"2021-02-05","45.5800","50.1200","44.2900","49.9500","144879821"
"2021-01-29","46.9000","47.8600","44.5100","44.8400","146711295"
"2021-01-22","48.4500","49.7400","46.6400","47.4300","99598427"
"2021-01-15","45.0400","51.0800","44.7500","47.8900","181754419"
"2021-01-08","41.4500","45.8200","41.0000","45.4600","166440965"
"2020-12-31","41.6900","42.5500","40.9700","41.2200","90595658"
"2020-12-24","41.1100","42.3900","40.5300","41.6000","76806378"
"2020-12-18","44.3400","44.4600","42.0600","42.7300","159909177"
"2020-12-11","41.4200","44.4690","40.4400","43.8000","158835563"
"2020-12-04","39.8000","41.7600","37.9700","41.6800","164978659"
"2020-11-27","37.5000","42.0800","37.2800","40.1900","119060059"
"2020-11-20","37.5900","39.1250","36.5600","36.9400","141499844"
"2020-11-13","36.4200","38.0100","34.8700","36.0800","220274730"
"2020-11-06","33.1400","34.4900","32.5300","32.7800","177123045"
"2020-10-30","33.6100","33.7700","31.1100","32.6200","186646554"
"2020-10-23","34.1000","35.0800","33.0200","34.1600","134566332"
"2020-10-16","34.5400","34.8700","33.2650","34.1000","102552919"
"2020-10-09","33.3200","35.9500","33.1700","34.7400","137118514"
"2020-10-02","35.1400","35.9000","32.2100","32.9800","135993628"
"2020-09-25","36.4300","36.8400","33.7600","34.6400","144188456"
"2020-09-18","36.9100","38.1500","36.2100","37.1900","152319988"
"2020-09-11","38.2500","38.8400","36.4900","36.9000","125602386"
"2020-09-04","40.6400","40.7200","38.6500","39.0800","127600841"
"2020-08-28","41.2800","42.5078","39.3050","40.6900","141800837"
"2020-08-21","43.1700","43.1900","40.7100","41.0100","84121362"
"2020-08-14","43.9900","46.4200","42.4100","43.2000","106798474"
"2020-08-07","42.0500","44.3100","41.4700","43.4400","91403213"
"2020-07-31","43.2300","44.2500","40.9100","42.0800","113905642"
"2020-07-24","43.2100","45.1900","42.4800","43.4300","103054794"
"2020-07-17","42.9800","45.0900","42.2300","43.5200","91353192"
"2020-07-10","44.6700","45.0800","41.1000","42.6500","103226249"
"2020-07-02","43.8100","45.3800","43.1600","44.0800","74671241"
"2020-06-26","45.6900","47.2200","43.5000","43.6200","114875757"
"2020-06-19","45.3500","49.7500","44.7500","45.9800","143669170"
"2020-06-12","54.7200","55.3600","45.9100","47.1700","161970450"
"2020-06-05","45.3200","53.4500","44.8000","53.0800","124758298"
"2020-05-29","45.7400","47.1400","44.3700","45.4700","86685821"
"2020-05-22","44.4000","46.6300","43.4500","44.6000","107627418"
"2020-05-15","46.1100","46.2000","40.2000","42.0000","125651040"
"2020-05-08","42.5100","47.1500","42.2200","46.1800","121458825"
"2020-05-01","43.5900","47.6800","42.2300","43.1400","156747505"
"2020-04-24","40.7500","44.8900","39.6300","43.7300","174547723"
"2020-04-17","44.4500","44.6900","38.9300","43.2200","164985113"
"2020-04-09","39.8800","46.7100","39.2300","43.1300","183509192"
"2020-04-03","36.2300","42.1800","35.8600","39.2100","233611560"
"2020-03-27","32.5300","39.5600","30.1100","36.9500","273470362"
"2020-03-20","34.4000","37.8800","31.2300","32.7400","269485426"
"2020-03-13","41.7100","46.2600","35.0000","38.1200","330010575"
"2020-03-06","52.5900","54.1500","47.2000","47.6900","209136707"
"2020-02-28","57.6200","57.8000","48.0100","51.4400","208810222"
"2020-02-21","60.1500","60.6200","58.7900","59.1300","66759439"
"2020-02-14","60.4800","61.5300","59.6200","60.6500","81468467"
"2020-02-07","61.3800","63.0100","59.8900","61.4700","122541085"
"2020-01-31","65.4200","65.7300","61.8600","62.1200","107877154"
"2020-01-24","68.3800","68.4200","66.0400","66.3200","72843124"
"2020-01-17","69.2000","69.8700","68.2900","68.5600","69083890"
"2020-01-10","70.3200","71.3600","68.6300","69.1400","79417321"
"2020-01-03","70.0900","71.3700","69.0100","70.3300","55682094"
"2019-12-27","69.8600","70.5000","69.5300","69.8900","37507758"
"2019-12-20","69.7000","70.3800","69.2400","69.9400","91676030"
"2019-12-13","69.0800","70.5400","68.6700","69.2300","68512056"
"2019-12-06","68.5000","69.8700","67.5200","69.5100","61838387"
"2019-11-29","69.3700","69.4400","68.0000","68.1300","42501366"
"2019-11-22","68.7000","70.1800","67.3200","69.3700","65846306"
"2019-11-15","70.2100","70.6100","68.1800","69.1900","57164628"
"2019-11-08","70.0700","73.1200","69.9400","70.7700","69938464"
"2019-11-01","69.4600","69.6700","67.1400","69.6000","68194498"
"2019-10-25","67.8200","70.0500","67.8200","69.2500","45361566"
"2019-10-18","68.6000","70.0000","67.6100","67.6100","46727320"
"2019-10-11","68.7000","69.4900","66.6400","68.9800","49153754"
"2019-10-04","71.2400","71.4500","66.3100","68.9700","59481462"
"2019-09-27","71.5200","72.3600","70.6300","71.4800","46828363"
"2019-09-20","75.0400","75.1800","71.8600","72.0800","70007961"
"2019-09-13","71.1600","72.8500","70.7000","72.6400","53181858"
"2019-09-06","67.8900","70.9500","67.6300","70.9300","37128079"
"2019-08-30","68.1200","69.0800","66.9700","68.4800","44671070"
